aaeA,19.9492756418,24.2069793563,26.82402944
aaeB,35.9086961552,32.679422131,40.1448059646
aaeR,114.375847013,127.086641621,102.734207991
aaeX,5.31980683781,3.63104690344,5.10933894095
aas,121.02560556,125.876292653,134.485099982
aat,22.6091790607,20.5759324528,42.8819518259
abgA,14.629468804,6.05174483907,8.02896119293
abgB,29.258937608,32.679422131,24.8167891418
abgR,9.30966196617,10.8931407103,10.0362014912
abgT,25.2690824796,18.1552345172,18.6125918563
abrB,82.4570059861,84.724427747,77.3699896773
accA,384.356044032,363.104690344,426.81227796
accB,490.752180788,498.66377474,413.126548654
accC,853.828997469,837.561485728,888.112593772
accD,664.975854727,689.898911654,709.103254448
aceA,2038.81597059,2012.81033348,2355.58772817
aceB,4567.05417026,4776.037027,4209.000429
aceE,8587.49818794,8506.3325458,8584.96675554
aceF,3827.60101981,3873.11669701,3474.16800346
aceK,345.787444458,364.315039312,355.828961959
ackA,2276.87732658,2225.83175181,2402.48416059
acnA,448.193726086,469.615399512,415.681218125
acnB,1079.92078808,1077.21058135,1024.23998127
acpH,10.6396136756,26.6276772919,23.904407188
acpP,1392.4594398,1419.73933925,1608.52938445
acpS,51.8681166687,78.6726829079,58.2099686487
acpT,158.264253425,136.769433363,185.943442173
acrA,391.005802579,277.169913629,278.094019501
acrB,676.945420112,752.837057981,812.567368003
acrD,65.1676337632,72.6209380689,83.0267577905
acrE,11.9695653851,10.8931407103,10.4011542727
acrF,54.5280200876,37.5208180022,55.107870006
acrR,55.857971797,60.5174483907,65.5090242787
acs,14.629468804,18.1552345172,23.904407188
actP,10.6396136756,21.7862814207,24.2693599695
ada,66.4975854727,87.1451256826,97.6248690504
add,77.1371991483,66.5691932298,75.1802729883
ade,31.9188410269,33.8897710988,44.7067157334
adhE,9458.61655763,9733.62639916,9398.2640291
adhP,62.5077303443,59.3070994229,66.0564534509
adiA,1747.55654622,1791.31647237,1848.1208855
adiC,3016.33047704,2970.19636702,3288.04208489
adiY,191.513046161,174.290251365,182.293914358
adk,845.849287212,869.030558891,739.941764485
adrA,29.258937608,19.365583485,22.9920252343
adrB,30.5888893174,24.2069793563,35.9478489774
aegA,73.1473440199,79.8830318758,101.274396865
aer,26.5990341891,21.7862814207,33.7581322884
aes,7.97971025672,22.9966303885,16.9703043396
agaB,1.32995170945,1.21034896781,3.28457503347
agaC,1.32995170945,3.63104690344,3.46705142422
agaD,3.98985512836,4.84139587126,7.11657923919
agaI,6.64975854727,3.63104690344,7.48153202068
agaR,136.985026074,157.345365816,168.790661442
agaS,29.258937608,19.365583485,20.0724029823
agaV,2.65990341891,2.42069793563,3.64952781497
agp,91.7666679523,76.2519849723,85.0339980887
aidB,2951.16284328,2988.35160153,1624.58730683
ais,2.65990341891,2.42069793563,1.45981112599
alaA,275.300003857,265.066423951,285.39307513
alaC,91.7666679523,102.879662264,98.3547746134
alaE,583.84880045,590.650296293,481.555195185
alaS,1619.88118211,1625.49866377,1823.12161997
aldA,47.8782615403,39.9415159379,35.9478489774
aldB,33.2487927363,26.6276772919,23.7219307973
alkA,45.2183581214,29.0483752275,45.4366212963
alkB,26.5990341891,29.0483752275,21.5322141083
allA,14.629468804,3.63104690344,6.93410284844
allB,18.6193239323,18.1552345172,14.4156348691
allD,6.64975854727,6.05174483907,5.83924450395
allR,320.518361978,313.480382664,243.605981649
allS,7.97971025672,9.68279174252,5.83924450395
alr,192.842997871,177.921298269,163.863798892
alx,6.64975854727,9.68279174252,12.4083945709
amiA,62.5077303443,71.410589101,79.5597063663
amiB,220.771983769,211.811069368,219.154145289
amiC,86.4468611145,107.721058135,89.9608606389
amiD,238.061355992,219.073163174,199.811647869
amn,449.523677795,422.411789767,458.928122732
ampC,26.5990341891,33.8897710988,23.904407188
ampD,119.695653851,127.086641621,96.1650579244
ampE,79.7971025672,98.038266393,109.66831084
ampG,53.1980683781,31.4690731632,50.728436628
ampH,86.4468611145,116.19350091,76.2751313328
amtB,55.857971797,54.4657035516,46.5314796408
anmK,73.1473440199,60.5174483907,71.3482687826
ansA,136.985026074,140.400480266,131.200524948
ansB,70.487440601,70.2002401332,60.217208947
ansP,18.6193239323,14.5241876138,21.8971668898
apaG,109.056040175,124.665943685,117.332319251
apaH,113.045895304,114.983151942,137.039769452
apbE,70.487440601,56.8864014873,59.487303384
aphA,33.2487927363,32.679422131,39.7798531831
appA,1864.59229665,1804.63031101,1661.44753776
appB,2860.72612703,2731.75762036,3095.89444544
appC,5935.57447929,5691.06084666,4761.17398741
apt,131.665219236,124.665943685,141.784155611
aqpZ,33.2487927363,24.2069793563,22.8095488435
araA,30.5888893174,32.679422131,32.2983211625
araB,18.6193239323,24.2069793563,16.0579223859
araC,22.6091790607,30.2587241954,21.3497377176
araD,13.2995170945,3.63104690344,7.84648480218
araE,42.5584547025,38.7311669701,51.8232949725
araF,13.2995170945,6.05174483907,7.84648480218
araG,34.5787444458,22.9966303885,31.5684155995
araH,38.5685995741,39.9415159379,38.6849948387
araJ,39.8985512836,37.5208180022,45.0716685148
arcA,1726.27731887,1722.3265812,1750.31354006
arcB,325.838168816,348.580502731,309.844911491
argA,33.2487927363,42.3622138735,45.6190976871
argB,22.6091790607,21.7862814207,21.1672613268
argC,15.9594205134,10.8931407103,13.1383001339
argD,67.8275371821,60.5174483907,49.4511018928
argE,162.254108553,137.979782331,131.56547773
argG,125.015460689,127.086641621,109.303358058
argH,86.4468611145,65.358844262,70.8008396104
argI,5.31980683781,10.8931407103,8.57639036517
argK,15.9594205134,13.313838646,14.0506820876
argO,21.2792273513,16.9448855494,26.82402944
argP,175.553625648,182.76269414,204.373557638
argR,62.5077303443,65.358844262,76.0926549421
argS,231.411597445,245.700840466,271.707345824
argT,6.64975854727,6.05174483907,9.48877231892
arnA,127.675364108,140.400480266,112.770409482
arnB,45.2183581214,44.7829118091,46.7139560316
arnC,22.6091790607,36.3104690344,20.4373557638
arnD,37.2386478647,31.4690731632,33.393179507
arnE,9.30966196617,6.05174483907,12.7733473524
arnF,19.9492756418,9.68279174252,11.6784890079
arnT,50.5381649592,49.6243076804,45.4366212963
aroA,1282.07344791,1331.3838646,990.481848982
aroB,486.76232566,479.298191255,454.183736573
aroC,191.513046161,223.914559046,246.708080292
aroD,109.056040175,85.9347767148,97.6248690504
aroE,222.101935479,231.176652853,144.703777863
aroF,152.944446587,150.083272009,140.506820876
aroG,4301.06382837,4469.81873814,4931.42445997
aroH,122.35555727,121.034896781,120.434417894
aroK,333.817879073,338.897710988,268.2402944
aroL,191.513046161,193.65583485,189.957922769
aroM,26.5990341891,31.4690731632,29.9261280827
aroP,845.849287212,846.033928502,1036.46589945
arsB,15.9594205134,14.5241876138,20.0724029823
arsC,9.30966196617,4.84139587126,9.30629592817
arsR,9.30966196617,7.26209380689,7.48153202068
artI,41.2285029931,43.5725628413,58.9398742117
artJ,18.6193239323,22.9966303885,22.2621196713
artM,25.2690824796,41.1518649057,29.013746129
artP,42.5584547025,38.7311669701,48.3562435483
artQ,15.9594205134,26.6276772919,28.4663169567
