b2836,149.0
b0185,620.0
b3255,822.0
b3256,1482.0
b2316,1003.0
b4015,3416.0
b4014,3645.0
b0114,5661.0
b0115,3017.0
b2296,361.0
b1276,540.0
b0118,4999.0
b0404,18.0
b1094,2004.0
b2563,20.0
b3475,30.0
b0463,470.0
b0462,1216.0
b2470,23.0
b3265,2.0
b3266,20.0
b4069,248.0
b4067,68.0
b1623,76.0
b1241,3001.0
b1478,127.0
b4117,11.0
b4115,2.0
b0474,751.0
b1002,104.0
b2290,239.0
b2379,175.0
b2697,2242.0
b1415,875.0
b3588,32.0
b0505,0.0
b0512,2.0
b0517,2.0
b4053,136.0
b2435,71.0
b4169,117.0
b2817,87.0
b1982,320.0
b0110,40.0
b0433,117.0
b0451,202.0
b1640,54.0
b1767,171.0
b2957,15.0
b1453,20.0
b0049,84.0
b4055,7.0
b0980,15.0
b0469,299.0
b0875,20.0
b0062,7.0
b0063,2.0
b0061,3.0
b2841,10.0
b1901,2.0
b1900,15.0
b4460,23.0
b2818,528.0
b3959,337.0
b3958,474.0
b3359,799.0
b3957,368.0
b3172,2205.0
b3960,860.0
b4254,436.0
b2923,18.0
b1876,495.0
b2310,253.0
b2255,43.0
b2253,18.0
b2254,8.0
b2256,9.0
b4544,3.0
b2258,4.0
b2257,13.0
b0908,885.0
b3389,666.0
b2329,401.0
b1693,84.0
b3281,147.0
b2601,957.0
b0754,1716.0
b1704,208.0
b3390,411.0
b0388,181.0
b0112,1082.0
b3502,7.0
b3503,8.0
b0863,225.0
b0860,558.0
b0861,87.0
b0864,159.0
b0862,68.0
b2715,16.0
b3433,2891.0
b3744,271.0
b0674,485.0
b0930,1404.0
b4139,115.0
b0928,1541.0
b1866,977.0
b1747,15.0
b1745,18.0
b1748,18.0
b1746,14.0
b1744,5.0
b3734,5895.0
b3738,1165.0
b3731,829.0
b3732,3639.0
b3737,577.0
b3736,2151.0
b3733,2256.0
b3735,1158.0
b3739,260.0
b3572,556.0
b3057,59.0
b2480,542.0
b2901,292.0
b3722,43.0
b2132,209.0
b0774,62.0
b0775,113.0
b0777,32.0
b0778,28.0
b0776,66.0
b3412,41.0
b3551,209.0
b0401,83.0
b1711,38.0
b1709,87.0
b1710,89.0
b0158,36.0
b1270,41.0
b4131,9.0
b4132,0.0
b0037,15.0
b0036,4.0
b0040,3.0
b0126,832.0
b0032,2076.0
b0033,4558.0
b2201,9.0
b2200,2.0
b2199,16.0
b2198,0.0
b2197,5.0
b2143,53.0
b3918,14.0
b0175,215.0
b1661,566.0
b1216,62.0
b1734,9.0
b2155,1003.0
b0617,0.0
b0616,0.0
b0615,2.0
b0614,0.0
b0155,57.0
b1592,16.0
b0910,162.0
b3974,112.0
b3634,34.0
b0103,66.0
b0638,23.0
b1992,44.0
b1991,88.0
b1993,29.0
b0446,21.0
b0484,822.0
b3816,122.0
b4213,89.0
b2049,11.0
b2048,2.0
b2417,1479.0
b2810,85.0
b0123,319.0
b0575,411.0
b0574,310.0
b0572,614.0
b0573,188.0
b3806,882.0
b3807,43.0
b4208,324.0
