	EX_hdcea_e	EX_lipoate_e	EX_fe2_e	EX_lys__L_e	EX_nh4_e	EX_skm_e	EX_xtsn_e	EX_etha_e	EX_pyr_e	EX_mn2_e	EX_gua_e	EX_mal__L_e	EX_mobd_e	EX_arg__L_e	EX_for_e	EX_h2o_e	EX_ca2_e	EX_ade_e	EX_mg2_e	EX_ni2_e	EX_pro__L_e	EX_tyr__L_e	EX_zn2_e	EX_feenter_e	EX_pnto__R_e	EX_cobalt2_e	EX_thm_e	EX_ptrc_e	EX_leu__L_e	EX_g6p_e	EX_cu_e	EX_his__L_e	EX_asn__L_e	EX_ser__L_e	EX_metsox_R__L_e	EX_adocbl_e	EX_mmet_e	EX_h_e	EX_nmn_e	EX_cu2_e	EX_phe__L_e	EX_succ_e	EX_akg_e	EX_ac_e	EX_gam6p_e	EX_spmd_e	EX_amp_e	EX_thr__L_e	EX_thymd_e	EX_cys__L_e	EX_ump_e	EX_so4_e	EX_cit_e	EX_btn_e	EX_trp__L_e	EX_damp_e	EX_cytd_e	EX_glyclt_e	EX_gthrd_e	EX_hxan_e	EX_no2_e	EX_glyc_e	EX_alaala_e	EX_pydx_e	EX_dad_2_e	EX_colipa_e	EX_ocdcea_e	EX_LalaDgluMdap_e	EX_o2_e	EX_xan_e	EX_ala__L_e	EX_cl_e	EX_k_e	EX_co2_e	EX_hdca_e
367	-18.246627970216988	-0.0002538366979394898	-1000.0	-28.213779751508994	1000.0000000000001	-0.1509482230413863	0.0	0.0	70.20425479799758	-0.055674849081394744	0.0	1000.0	-0.011591875872570033	-24.319247907255924	0.1886852788015858	-1000.0	-0.41899977606545097	-16.760075654850578	-0.6983047560315363	-0.025975955422474446	-18.174538348002198	-11.337446889002019	-0.027414363377464897	-0.01886852788016874	-0.048736646004404714	-0.0020306935835159184	-0.018868527880168736	-39.93713299988616	37.22166258383664	-13.046106315065364	-0.0570286448037387	-7.789063688505889	-19.818892477254188	-25.939656774669515	0.0	-0.01886852788016874	-0.1132111672811039	273.6486975964693	0.0	0.0	-15.23197873325496	830.9488646831832	-1000.0	1000.0	-4.666703079384859	-0.570624896967973	0.0	-907.899283964346	0.0	0.0	0.0	-0.349110071899445	1000.0	-0.00016922446529299315	995.3265279420036	-8.466456002550995e-15	-1000.0	0.07547411152067492	-1000.0	0.0	999.9999999999998	0.542702860194629	-2.168357686031769	0.0	0.0	-0.6896743083015937	-4.1143544246685435	-2.3333515396924374	-1000.0	0.0	1000.0000000000001	-0.418999776065451	-15.71164548012795	1000.0	0.0
368	-18.246627970216988	-0.0002538366979394898	-1000.0	-28.213779751508994	1000.0000000000001	-0.1509482230413863	0.0	0.0	70.20425479799758	-0.055674849081394744	0.0	1000.0	-0.011591875872570033	-24.319247907255924	0.1886852788015858	-1000.0	-0.41899977606545097	-16.760075654850578	-0.6983047560315363	-0.025975955422474446	-18.174538348002198	-11.337446889002019	-0.027414363377464897	-0.01886852788016874	-0.048736646004404714	-0.0020306935835159184	-0.018868527880168736	-39.93713299988616	37.22166258383664	-13.046106315065364	-0.0570286448037387	-7.789063688505889	-19.818892477254188	-25.939656774669515	0.0	-0.01886852788016874	-0.1132111672811039	273.6486975964693	0.0	0.0	-15.23197873325496	830.9488646831832	-1000.0	1000.0	-4.666703079384859	-0.570624896967973	0.0	-907.899283964346	0.0	0.0	0.0	-0.349110071899445	1000.0	-0.00016922446529299315	995.3265279420036	-8.466456002550995e-15	-1000.0	0.07547411152067492	-1000.0	0.0	999.9999999999998	0.542702860194629	-2.168357686031769	0.0	0.0	-0.6896743083015937	-4.1143544246685435	-2.3333515396924374	-1000.0	0.0	1000.0000000000001	-0.418999776065451	-15.71164548012795	1000.0	0.0
369	-18.246627970216988	-0.0002538366979394898	-1000.0	-28.213779751508994	1000.0000000000001	-0.1509482230413863	0.0	0.0	70.20425479799712	-0.055674849081394744	0.0	1000.0	-0.011591875872570033	-24.319247907255914	0.1886852788015858	-1000.0	-0.41899977606545097	-16.760075654851807	-0.6983047560315363	-0.025975955422474446	-18.174538348002198	-11.337446889002019	-0.027414363377464897	-0.01886852788016874	-0.048736646004404714	-0.0020306935835159184	-0.018868527880168736	-39.93713299988638	37.22166258383707	-13.046106315065364	-0.0570286448037387	-7.789063688505889	-19.818892477254188	-25.939656774669174	0.0	-0.01886852788016874	-0.1132111672811039	273.6486975964742	0.0	0.0	-15.23197873325496	830.9488646831827	-1000.0	1000.0	-4.666703079384859	-0.570624896967973	0.0	-907.8992839643456	0.0	0.0	0.0	-0.349110071899445	1000.0	-0.00016922446529299315	995.3265279420036	-8.466456002550995e-15	-1000.0	0.07547411152067492	-1000.0	0.0	999.9999999999998	0.542702860194629	-2.168357686031769	0.0	0.0	-0.6896743083015937	-4.1143544246685435	-2.3333515396924374	-1000.0	0.0	1000.0000000000001	-0.418999776065451	-15.71164548012795	1000.0	0.0
370	-18.246627970217073	-0.0002538366979394898	-1000.0	-28.213779751508994	1000.0000000000001	-0.1509482230413863	0.0	0.0	70.20425479799712	-0.055674849081394744	0.0	1000.0	-0.011591875872570033	-24.319247907255896	0.1886852788015858	-1000.0	-0.41899977606545097	-16.760075654850976	-0.6983047560315363	-0.025975955422474446	-18.174538348002145	-11.337446889002019	-0.027414363377464897	-0.01886852788016874	-0.048736646004404714	-0.0020306935835159184	-0.018868527880168736	-39.93713299988616	37.22166258383664	-13.046106315065364	-0.0570286448037387	-7.789063688505889	-19.818892477254188	-25.939656774668833	0.0	-0.01886852788016874	-0.11321116728109341	273.64869759646854	0.0	0.0	-15.23197873325496	830.9488646831832	-1000.0	1000.0	-4.666703079384859	-0.570624896967973	0.0	-907.8992839643458	0.0	0.0	0.0	-0.349110071899445	1000.0	-0.00016922446529299315	995.3265279420036	-8.466456002550995e-15	-1000.0	0.07547411152067492	-1000.0	0.0	999.9999999999998	0.542702860194629	-2.168357686031769	0.0	0.0	-0.6896743083015937	-4.1143544246685435	-2.3333515396924374	-1000.0	0.0	1000.0000000000001	-0.418999776065451	-15.71164548012795	1000.0	0.0
371	-18.246627970216988	-0.0002538366979394898	-1000.0	-28.213779751508994	1000.0000000000001	-0.1509482230413863	0.0	0.0	70.20425479799712	-0.055674849081394744	0.0	1000.0	-0.011591875872570033	-24.319247907255914	0.1886852788015858	-1000.0	-0.41899977606545097	-16.760075654851807	-0.6983047560315363	-0.025975955422474446	-18.174538348002198	-11.337446889002019	-0.027414363377464897	-0.01886852788016874	-0.048736646004404714	-0.0020306935835159184	-0.018868527880168736	-39.93713299988638	37.22166258383707	-13.046106315065364	-0.0570286448037387	-7.789063688505889	-19.818892477254188	-25.939656774669174	0.0	-0.01886852788016874	-0.1132111672811039	273.6486975964742	0.0	0.0	-15.23197873325496	830.9488646831827	-1000.0	1000.0	-4.666703079384859	-0.570624896967973	0.0	-907.8992839643456	0.0	0.0	0.0	-0.349110071899445	1000.0	-0.00016922446529299315	995.3265279420036	-8.466456002550995e-15	-1000.0	0.07547411152067492	-1000.0	0.0	999.9999999999998	0.542702860194629	-2.168357686031769	0.0	0.0	-0.6896743083015937	-4.1143544246685435	-2.3333515396924374	-1000.0	0.0	1000.0000000000001	-0.418999776065451	-15.71164548012795	1000.0	0.0
372	-18.246627970216988	-0.0002538366979394898	-1000.0	-28.213779751508994	1000.0000000000001	-0.1509482230413863	0.0	0.0	70.20425479799701	-0.055674849081394744	0.0	1000.0	-0.011591875872570033	-24.31924790725597	0.1886852788015858	-1000.0	-0.41899977606545097	-16.760075654850997	-0.6983047560315363	-0.025975955422474446	-18.174538348002137	-11.337446889002019	-0.027414363377464897	-0.01886852788016874	-0.048736646004404714	-0.0020306935835159184	-0.018868527880168736	-39.937132999886174	37.22166258383666	-13.046106315065364	-0.0570286448037387	-7.789063688505889	-19.818892477254188	-25.939656774668833	0.0	-0.01886852788016874	-0.1132111672811039	273.6486975964704	0.0	0.0	-15.23197873325496	830.9488646831834	-1000.0	1000.0	-4.666703079384859	-0.570624896967973	0.0	-907.8992839643458	0.0	0.0	0.0	-0.349110071899445	1000.0	-0.00016922446529299315	995.3265279420036	-8.466456002550995e-15	-1000.0	0.07547411152067492	-1000.0	0.0	999.9999999999998	0.542702860194629	-2.168357686031769	0.0	0.0	-0.6896743083015937	-4.1143544246685915	-2.3333515396924374	-1000.0	0.0	1000.0000000000001	-0.418999776065451	-15.71164548012795	1000.0	0.0
373	-18.246627970216995	-0.0002538366979394898	-1000.0	-28.213779751508994	1000.0000000000001	-0.15094822304139566	0.0	0.0	0.0	-0.055674849081394744	0.0	1000.0	-0.011591875872570033	-24.31924790725512	0.1886852788015858	-1000.0	-0.41899977606545097	-16.760075654852894	-0.6983047560315363	-0.025975955422474446	-18.174538348003257	-11.337446889002019	-0.027414363377464897	-0.01886852788016874	-0.04873664600438919	-0.0020306935835159184	-0.018868527880168736	-8.925704953259356	-37.04137398351793	-1.6053563584279733e-12	-0.0570286448037387	-7.789063688505889	-243.34767305399322	-25.939656774669402	0.0	-0.01886852788016874	-0.1132111672811039	0.0	0.0	0.0	-15.23197873325496	215.7572372953425	-1000.0	1000.0	-122.52628416960913	-0.570624896967973	0.0	-1000.0	0.0	0.0	0.0	-73.68420115137636	1000.0	-0.00016922446529299315	995.3265279420036	-8.466456002550995e-15	-944.429595888569	0.07547411152067492	-1000.0	0.0	999.9999999999998	0.542702860194629	-22.079435190754225	0.0	0.0	-0.6896743083015937	-4.1143544246685435	-2.3333515396924374	-1000.0	0.0	1000.0000000000001	-0.418999776065451	-15.71164548012795	1000.0	0.0
374	-18.24662797021699	-0.0002538366979394898	-1000.0	-28.213779751508994	1000.0000000000001	-0.15094822304139568	0.0	14.219762594105031	0.0	-0.055674849081394744	0.0	979.1323949983318	-0.011591875872570033	-24.31924790725605	0.1886852788015858	-1000.0	-0.41899977606545097	-16.760075654849697	-0.6983047560315363	-0.025975955422474446	-18.174538348002176	-11.337446889002019	-0.027414363377464897	-0.01886852788016874	-0.04873664600438417	-0.0020306935835159184	-0.018868527880168736	-2.815048980148796	-37.04137398351798	-13.046106315065366	-0.0570286448037387	-7.789063688505889	-359.70134696247544	-25.939656774669174	0.0	-0.01886852788016874	-0.113211167281104	0.0	-0.1928312782012219	0.0	-15.23197873325496	343.9006333143654	-1000.0	1000.0	-4.666703079388731	-0.570624896967973	0.0	-1000.0	0.0	0.0	0.0	0.0	1000.0	-0.00016922446529299315	995.3265279420036	-8.466456002550995e-15	-931.6870041973023	111.12342926542647	-1000.0	0.0	999.9999999999998	0.542702860194629	8.19257204189825e-14	0.0	0.0	-0.6896743083015937	-4.1143544246685435	-2.3333515396924374	-968.140858166703	0.0	973.7856919181589	-0.418999776065451	-15.71164548012795	1000.0	0.0
375	-41.18486429919002	-0.0002538366979394898	-1000.0	-28.213779751508994	1000.0000000000001	-0.15094822304139568	0.0	14.219762594105283	0.0	-0.055674849081394744	0.0	587.4334251413586	-0.011591875872570033	-24.31924790725605	0.1886852788015858	-1000.0	-0.41899977606545097	-16.760075654851548	-0.6983047560315363	-0.025975955422474446	-18.174538348002176	-11.337446889002019	-0.027414363377464897	-0.01886852788016874	-0.048736646004403375	-0.0020306935835159184	-0.018868527880168736	-2.8150489801489416	-37.04137398351798	-1.6053563584279733e-12	-0.0570286448037387	-7.789063688505889	-343.51488834600434	-48.87789310364201	0.0	-0.01886852788016874	-0.11321116728104785	0.0	-0.19283127820156706	0.0	-15.23197873325496	768.7713824968233	-1000.0	1000.0	-50.543175737330635	-0.570624896967973	0.0	-1000.0	0.0	0.0	0.0	0.0	1000.0	-0.00016922446529299315	995.3265279420036	-8.466456002550995e-15	-881.4480772682599	0.4245841834202035	-1000.0	0.0	999.9999999999998	0.542702860194629	0.0	0.0	0.0	-0.6896743083015937	-4.1143544246685515	-2.3333515396924374	-881.2308593310585	0.0	955.8977352021323	-0.418999776065451	-15.71164548012795	1000.0	0.0
376	-22.148142245157295	-0.0002538366979394898	-1000.0	-28.626192177512753	1000.0000000000001	-0.15202023263454686	0.0	14.386847066881758	0.0	-0.05650529597474393	0.0	403.83106984251054	-0.011746908650054903	-24.674732057006466	0.1910973003862182	-1000.0	-0.42525516836629396	-17.005600704014153	-0.7087304098662746	-0.02636413826842493	-18.440203236582928	-11.503170919110957	-0.027824178703994663	-0.01886852788016874	-0.0494288853829189	-0.0020607386954315902	-0.01913653027845653	-2.8150489801489456	-37.58282415617717	-1.6053563584279733e-12	-0.05788072417766716	-7.902920241012568	-322.94347166030866	-26.36661704386256	0.0	-0.01886852788016874	-0.11374717207767407	0.0	-0.19556898879916093	0.0	-15.454631039617242	911.1396059166124	-1000.0	1000.0	-11.868185223752558	-0.570624896967973	0.0	-1000.0	0.0	0.0	0.0	0.0	1000.0	-0.00017094032554411718	995.2582137701387	-8.466456002550995e-15	-960.9008488808155	0.43060161843449	-1000.0	0.0	999.9999999999998	0.542702860194629	0.0	0.0	0.0	-0.6896743083015937	-4.1143544246685435	-2.3667472824889457	-815.3694121889854	0.0	955.2324547016148	-0.42525516836629396	-15.946229301334183	1000.0	0.0
