aaeA,14.3661132122,4.59468027917,12.7607336911
aaeB,10.7745849091,2.29734013959,10.2085869529
aaeR,57.4644528486,45.9468027917,33.177907597
aaeX,7.18305660608,0.0,7.65644021469
aas,149.048424576,153.921789352,117.398749959
aat,41.3025754849,32.1627619542,30.6257608587
abgA,5.38729245456,4.59468027917,2.55214673823
abgB,17.9576415152,9.18936055835,5.10429347646
abgR,17.9576415152,13.7840408375,15.3128804294
abgT,10.7745849091,4.59468027917,5.10429347646
abrB,14.3661132122,11.4867006979,20.4171739058
accA,536.933481304,620.281837688,655.901711725
accB,973.304170124,822.447769972,806.47836928
accC,1481.505425,1373.80940347,1720.14690157
accD,975.099934275,1010.82966142,1002.99366812
aceA,3237.76276519,3416.14478756,3521.96249876
aceB,3645.40122758,3673.4468832,3608.73548786
aceE,5550.70699235,5816.86523343,5660.66146539
aceF,3016.88377455,2984.24484132,3218.25703691
aceK,553.095358668,452.576007499,525.742228075
ackA,360.948594455,379.061123032,283.288287943
acnA,571.053000183,539.874932803,477.251440049
acnB,4999.40739783,4999.01214374,5584.09706324
acpH,19.7534056667,18.3787211167,10.2085869529
acpP,2004.0727931,2033.14602353,1390.91997233
acpS,19.7534056667,29.8654218146,20.4171739058
acpT,44.894103788,29.8654218146,20.4171739058
acrA,470.490207698,457.170687778,512.981494384
acrB,1215.73233058,1238.26633524,1171.43535285
acrD,23.3449339698,18.3787211167,30.6257608587
acrE,0.0,2.29734013959,2.55214673823
acrF,19.7534056667,20.6760612563,10.2085869529
acrR,44.894103788,43.6494626521,38.2822010734
acs,247.81545291,211.355292842,260.318967299
actP,68.2390377577,96.4882858626,61.2515217175
ada,23.3449339698,13.7840408375,25.5214673823
add,70.0348019093,75.8122246064,84.2208423616
ade,35.9152830304,22.9734013959,30.6257608587
adhE,3000.72189719,2961.27143993,3031.95032502
adhP,127.499254758,126.353707677,160.785244508
adiA,10.7745849091,18.3787211167,7.65644021469
adiC,1.79576415152,4.59468027917,0.0
adiY,3.59152830304,4.59468027917,5.10429347646
adk,826.051509699,751.230225645,612.515217175
