MeanDecreaseAccuracy	feature
0.0694749216300941	ALAALAtex
0.0682950191570881	EX_alaala_e
0.0653866248693835	ALAALAr
0.0369383490073145	THRtex
0.0350923023336816	EX_thr__L_e
0.0208725182863114	FLDR2
0.0125	EX_lys__L_e
0.0124695228143504	LYStex
0.0115552072448624	ASPTA
0.0114507140369209	PIt2rpp
0.0110370950888192	LYSt2pp
0.011032741205155	NTRIR3pp
0.0107236154649948	FUM
0.0102359804946012	ECOAH8
