	EX_mn2_e	EX_ca2_e	EX_adocbl_e	EX_h2o_e	EX_co2_e	EX_h_e	EX_zn2_e	EX_so4_e	EX_cu2_e	EX_mg2_e	EX_glyclt_e	EX_cl_e	EX_o2_e	EX_k_e	EX_for_e	EX_glyc_e	EX_nh4_e	EX_mobd_e	EX_cobalt2_e	EX_ni2_e	EX_ac_e
0	-0.02120927362011571	-0.15961751210704733	-0.007187945314967692	876.6645223518148	479.5685533899872	1000.0	-0.010443472116890007	-8.122152575374912	-0.02172500063818461	-0.2660184425320722	0.028751781260636343	-0.15961751210681996	-424.3235727931004	-5.985334374625836	709.3702830471502	0.2067420683877117	-338.6123065338627	-0.004415912592548921	-0.000773590527160195	-0.009895512160142061	540.8344487316747
1	-0.018892995255214373	-0.14218558131312875	-0.006402945200534305	849.3199608460301	429.90817688073116	779.6613879508031	-0.009302933833851057	-7.235127087243313	-0.019352399395188513	-0.23696639793570284	0.0256117808026711	-0.14218558131301506	-402.85513656884893	-5.331672171656237	543.9463228541725	0.18416363460096363	-301.632239525415	-0.003933647948315411	-0.0006891062098475231	-0.00881481693522801	461.30839032040416
2	-0.01885687807953218	-0.14191376937719724	-0.006390704881027887	790.3316774469884	425.0110096219122	1000.0	-0.0092851496926869	-7.221295910535559	-0.019315403990390223	-0.23651339633886437	0.025562819525310393	-0.14191376937696987	-412.481117161008	-5.321479772950056	679.7864594267701	0.18381157447197438	-301.05561816742556	-0.0039261281107201285	-0.0006877888661165343	-0.008797965912435757	541.3002811476746
3	-0.01885687807953218	-0.14191376937719724	-0.006390704881027887	718.1400352825435	416.21305489388817	1000.0	-0.0092851496926869	-7.221295910535559	-0.019315403990390223	-0.23651339633886437	0.025562819525310393	-0.14191376937696987	-353.93840817362116	-5.321479772950056	710.0169773569976	0.18381157447197438	-301.0556181674541	-0.0039261281107201285	-0.0006877888661165343	-0.008797965912435757	502.271808489405
4	-0.01885687807953218	-0.14191376937719724	-0.006390704881027887	641.8001735193616	673.1902313744196	1000.0	-0.0092851496926869	-7.221295910535559	-0.019315403990390223	-0.23651339633886437	0.025562819525310393	-0.14191376937696987	-425.1721000915337	-5.321479772950056	919.5050258922612	0.18381157447197438	-301.0556181674308	-0.0039261281107201285	-0.0006877888661165343	-0.008797965912435757	549.7609364346905
5	-0.022802625811664257	-0.17160881917766346	-0.0077279415743305435	827.9573657351195	695.6129156836247	1000.0	-0.011228040673131545	-8.732331397989128	-0.023357096956033274	-0.28600314714719843	0.030911766298445158	-0.1716088191774361	-441.50289656802545	-6.434984174697547	902.3937833592094	0.22227361999318873	-364.0506440443328	-0.0047476591734039175	-0.0008317067165535263	-0.010638915082381573	546.6242940187777
6	-0.019565744343140068	-0.14724858052750278	-0.0066309437514746605	567.0645468333437	716.4334488094223	999.9999999999997	-0.009634196302727105	-7.492758293017005	-0.02004150712343744	-0.24540438915425966	0.026523775006759686	-0.1472485805272754	-366.57891173754126	-5.521524418038325	996.6638919136446	0.19072140458513331	-312.3728770611524	-0.0040737188069215335	-0.0007136441705597463	-0.009128698348490616	508.1793829182802
7	-0.020200645245836313	-0.15202674051272425	-0.006846115334042224	760.1728610800064	739.6814395539318	669.2717433141555	-0.009946822279175649	-7.735895427019273	-0.02069184634603971	-0.25336766749819617	0.02738446133691854	-0.15202674051249687	-418.7102538866503	-5.700695768537571	760.0626728973567	0.19691024104372445	-322.50925716290726	-0.004205909420534226	-0.0007368016503050967	-0.009424921110166906	430.4343159680246
8	-0.02287745089836335	-0.17217194049919726	-0.007753300228387161	776.6927716022516	837.6972917380087	890.0510325874504	-0.011264884636830175	-8.760985881017405	-0.023433741497683513	-0.28694164477781214	0.031013200914601965	-0.17217194049908358	-444.05883939997295	-6.456100087094455	968.9316443969716	0.22300299401513257	-365.24524861504176	-0.004763238256828117	-0.0008344358990370893	-0.010673825875073817	511.41265936819985
9	-0.020461365879782534	-0.15398888121137588	-0.006934475062507772	638.7968935831602	749.2281748958632	999.9999999999997	-0.0100752014363934	-7.835739146660444	-0.02095890669158962	-0.25663776991859777	0.027737900251149757	-0.1539888812111485	-406.2465432390379	-5.7742720824168146	996.511181635994	0.199451672877899	-326.6717389541542	-0.004260193199797868	-0.0007463112175400965	-0.009546564323841267	531.4412835083178
