	EX_mn2_e	EX_ca2_e	EX_adocbl_e	EX_h2o_e	EX_co2_e	EX_h_e	EX_zn2_e	EX_so4_e	EX_cu2_e	EX_mg2_e	EX_glyclt_e	EX_cl_e	EX_o2_e	EX_k_e	EX_for_e	EX_glyc_e	EX_nh4_e	EX_mobd_e	EX_cobalt2_e	EX_ni2_e	EX_ac_e
0	-0.023492601916461492	-0.17680146609470715	-0.007961778461050022	1000.0	1000.0	1000.0	-0.011567785746099584	-8.99655973968955	-0.024063850595281235	-0.29465720914370325	0.031847113844200484	-0.17680146609470718	-676.4182903139464	-6.629697948127256	995.9943328580304	0.22899931412186023	-375.0663159865423	-0.004891316812393958	-0.0008568730182295989	-0.010960834024853613	715.1223933298435
1	-0.023264327062797817	-0.17508350701363948	-0.007884414794838776	1000.0	1000.0	1000.0	-0.011455382930617772	-8.909141225326788	-0.023830024985297467	-0.2917940596493471	0.031537659179343494	-0.17508350701363953	-644.3026876133684	-6.565277951809919	968.6477243667932	0.22677415468204443	-400.11790900825446	-0.004843788461403193	-0.0008485468837494648	-0.0108543288879619	786.5564730124889
2	-0.023593576296353426	-0.17757964888683775	-0.007075564062252852	1000.0	1000.0	1000.0	-0.011620456436417298	-8.986450217572497	-0.02417198719608611	-0.2959555051491209	0.03093169052306045	-0.17757964888683783	-674.1621234208076	-6.658941160560811	992.8107169646241	0.2035097215035413	-375.76971511671655	-0.004853892153870345	-0.0008597555595420446	-0.011010316549858373	723.3193698335566
3	-0.020877673331669847	-0.15712194276357	-0.007075564062252852	1000.0	1000.0	1000.0	-0.010280191731703693	-7.995165287438045	-0.021385337120889785	-0.261859328277008	0.028302256248986263	-0.15712194276357005	-542.8058999465559	-5.8917555637656145	1000.0	0.0	-345.6182700334033	-0.004346871195195698	-0.0007614956838299033	-0.009740798955657513	664.4992276778742
4	-0.020877673331669847	-0.15712194276357	-0.007075564062252852	1000.0	1000.0	1000.0	-0.010280191731703693	-7.995165287438045	-0.021385337120889785	-0.261859328277008	0.028302256248986263	-0.15712194276357005	-542.4675380185197	-5.8917555637656145	1000.0	0.0	-347.1129813619878	-0.004346871195195698	-0.0007614956838299033	-0.009740798955657513	677.093899569044
5	-0.020877673331669847	-0.15712194276357	-0.007075564062252852	1000.0	1000.0	1000.0	-0.010280191731703693	-7.995165287438045	-0.021385337120889785	-0.261859328277008	0.028302256248986263	-0.15712194276357005	-550.8867035214457	-5.8917555637656145	1000.0	0.0	-507.198220226401	-0.004346871195195698	-0.0007614956838299033	-0.009740798955657513	1000.0
6	-0.020877673331669847	-0.15712194276357	-0.007075564062252852	1000.0	1000.0	1000.0	-0.010280191731703693	-7.995165287438045	-0.021385337120889785	-0.261859328277008	0.028302256248918824	-0.15712194276357005	-678.094274458152	-5.8917555637656145	1000.0	0.0	-352.22341378476006	-0.004346871195195698	-0.0007614956838299033	-0.009740798955657513	1000.0
7	-0.020877673331669847	-0.15712194276357	-0.007075564062252852	1000.0	1000.0	1000.0	-0.010280191731703693	-7.995165287438045	-0.021385337120889785	-0.261859328277008	0.028302256249011403	-0.15712194276357005	-563.9612843761901	-5.8917555637656145	1000.0	0.0	-559.4443024956726	-0.004346871195195698	-0.0007614956838299033	-0.009740798955657513	970.3481188559516
8	-0.020877673331669847	-0.15712194276357	-0.007075564062252852	893.3426403916995	1000.0	1000.0	-0.010280191731703693	-10.127104143122606	-0.021385337120889785	-0.261859328277008	0.028302256248976868	-0.15712194276357005	-631.588627602826	-5.8917555637656145	1000.0	0.0	-431.78390642541063	-0.004346871195195698	-0.0007614956838299033	-0.009740798955657513	1000.0
9	-0.020877673331669847	-0.15712194276357	-0.007075564062252852	1000.0	1000.0	1000.0	-0.010280191731703693	-7.995165287438045	-0.021385337121131637	-0.261859328277008	0.028302256249011486	-0.15712194276357005	-580.9833956218588	-5.8917555637656145	1000.0	0.0	-490.52929775012234	-0.004346871195195698	-0.0007614956838299033	-0.009740798955657513	1000.0
