Metabolite	Median_exchange_flux
Trimethylamine_N-oxide	-1000.0
Potassium	-0.016
L-Threonine	-516.765
L-Glutamine	-35.846
2-Oxoglutarate	-176.134
Dimethyl_sulfoxide	-759.332
L-Serine	-641.787
O2_O2	-1000.0
Magnesium	-0.001
Hydrogen	-1000.0
L-Glutamate	-332.06
Meso-2,6-Diaminoheptanedioate	-0.262
