Metabolite	Median_exchange_flux
Trimethylamine_N-oxide	-1000.0
Nitrate	-1000.0
Zinc	-0.001
UDPgalactose	-713.185
Potassium	-0.368
L-Arginine	-0.453
Manganese	-0.001
L-Glutamine	-93.538
2-Oxoglutarate	-484.32
1,4-alpha-D-glucan	-29.971
D-Gluconate	-1000.0
Calcium	-0.01
O2_O2	-1000.0
Magnesium	-0.016
L-tartrate	-1000.0
Ethanol	-991.322
Cu+	-1000.0
Hydrogen	-1000.0
Chloride	-0.01
Indole	-1000.0
Glycerophosphoserine	-1.573
Nickel	-0.001
L-Glutamate	-1000.0
Myo-Inositol_hexakisphosphate	-113.292
