gene	5FU_6	5FU_6	5FU_6	5FU_6	5FU_6	5FU_6
ENSRNOG00000000001	17	10	6	16	19	13
ENSRNOG00000000007	2	1	2	0	1	2
ENSRNOG00000000008	7.101	10.0586	5.7624	5.0927	11.1318	10.0677
ENSRNOG00000000009	19	13	11	29	28	36
ENSRNOG00000000010	2	0	1	1	0	1
ENSRNOG00000000012	19.6235	15.1228	28.5203	23.9973	24.8652	17.0333
ENSRNOG00000000017	36	60	52	55	45	52
ENSRNOG00000000021	589.205	439.737	527.516	494.534	510.76	422.693
ENSRNOG00000000024	678	676	603	728	678	683
ENSRNOG00000000033	402	495	599	692	593	527
ENSRNOG00000000034	225	118	131	132	127	134
ENSRNOG00000000035	0	0	0	0	0	0
ENSRNOG00000000036	242	144	189	137	173	112
ENSRNOG00000000040	532.99975	569.99959	782.99896	863.00103	735.00036	792.99926
ENSRNOG00000000041	57.1846	46.0907	33.1594	36.0616	67.1146	84.1145
ENSRNOG00000000042	1124.005	970.9996	1068.0001	1230.9959	1167.0052	1370.9976
ENSRNOG00000000043	591.815	658.909	824.841	768.938	748.885	938.886
ENSRNOG00000000044	521	527	626	534	581	611
ENSRNOG00000000047	1123	1378	1260	1407	1514	1422
ENSRNOG00000000048	765	846	1025	979	984	1067
ENSRNOG00000000053	226.52	132.185	132.695	133.901	163.38	269.787
ENSRNOG00000000054	1130	1162	1173	1227	1392	1124
ENSRNOG00000000055	1	0	0	0	2	0
ENSRNOG00000000060	147	100	83	149	85	154
ENSRNOG00000000062	598	592	735	765	730	651
ENSRNOG00000000064	5939	6259	5475	5610	6423	5303
ENSRNOG00000000065	0	2	0	1	1	0
ENSRNOG00000000066	936	790	812	932	925	938
ENSRNOG00000000068	2422	2556	2728	2534	3019	2636
ENSRNOG00000000070	1308.67	1230.01	1311.64	1378.6	1373.57	1394.33
ENSRNOG00000000073	225	230	235	263	264	278
ENSRNOG00000000075	750	593	601	683	658	673
ENSRNOG00000000081	701	751	918	991	921	942
ENSRNOG00000000082	1165.119	1511.009	1249.942	1213.349	1246.707	1587.08
ENSRNOG00000000091	204.251	206.883	227.323	275.953	199.102	295.305
ENSRNOG00000000095	536	649	648	732	753	624
ENSRNOG00000000096	70.99999	102	124	148	106	129
ENSRNOG00000000097	24.99999	18	14	18	11	23.99998
ENSRNOG00000000098	1357	2127	2343	2214	2035	2269
ENSRNOG00000000104	1089	893	1002	1182	1079	1012
ENSRNOG00000000105	164.00022	180	233	236	237	219
ENSRNOG00000000108	504	696	666	585	700	674
ENSRNOG00000000109	0	0	0	0	0	0
ENSRNOG00000000111	268	243	255	312	307	277
ENSRNOG00000000112	1269.96	969.153	1049.85	1161.88	1067.82	1247.14
ENSRNOG00000000113	295.367	238.389	239.576	310.451	287.019	303.373
ENSRNOG00000000121	313.1972	215.175	290.444	307.6055	382.5174	298.75849
ENSRNOG00000000122	2183	2027	1970.76	2087	2387	2011.85
ENSRNOG00000000123	1125	1087.998	1212.99977	1092	1158.99534	1164
ENSRNOG00000000124	0	0	0	0	0	0
ENSRNOG00000000127	2008.004	1913.995	2409.003	2316.003	2305.001	2227.001
ENSRNOG00000000129	123	61	71	99	58	82
ENSRNOG00000000130	872	1175	1462.004	1661.996	1362.002	1798.005
ENSRNOG00000000133	986	1253	1161	1108	1227	1086
ENSRNOG00000000137	5	4	2	0	8	3
ENSRNOG00000000138	35.99997	49.00001	41.99999	47.99996	38.00001	30.00005
ENSRNOG00000000142	97	98	101	122	116	121
ENSRNOG00000000145	402	490	670	727	604	694
ENSRNOG00000000150	451	570	487	619	561	596
ENSRNOG00000000151	310	280	357	388	341	342
ENSRNOG00000000155	461	413	500	454	508	527
ENSRNOG00000000156	95.00002554	73.9999853	136.99994434	221.0002	140.0000756	220.999623008
ENSRNOG00000000157	1277	1070	990	1261	1136	1179
ENSRNOG00000000158	31	21	14	25	26	20
ENSRNOG00000000161	124.99951	166	128.000000036539	132	127	157
ENSRNOG00000000164	3036	2691	2684	2606	2897	2568
ENSRNOG00000000165	20.00004	17	23	14	21	16
ENSRNOG00000000166	90	98	90	98	74	99
ENSRNOG00000000167	14	8	4	9	9	3
ENSRNOG00000000168	431	359	422	583	396	549
ENSRNOG00000000169	643.117	467.028	505.438	492.726	510.669	566.67
ENSRNOG00000000170	1171	1250	1293	1352	1232	1405
ENSRNOG00000000172	107	195	160	183	199	191
ENSRNOG00000000175	508	436	618	550	523	600
ENSRNOG00000000177	164	165	172	195	150	180
ENSRNOG00000000184	16	15	7	13	18	21
ENSRNOG00000000185	1231	1254	1250	1220	1509	1124
ENSRNOG00000000186	577	841	771	738	862	646
ENSRNOG00000000187	77	58	79	83	71	74
ENSRNOG00000000190	544	436	709	727	516	780
ENSRNOG00000000195	207.759	310.555	282.992	210.407	278.987	271.91
ENSRNOG00000000196	12.2339	7.94067	16.04	13.5958	10.3042	15.2804
ENSRNOG00000000199	0	1.2	0	4	0	0
ENSRNOG00000000201	186.93	150.696	138.371	154.548	231.513	157.247
ENSRNOG00000000204	1573.994	1523.002	1448.9981	1455.9744	1479.9868	1665.9895
ENSRNOG00000000219	1165	1161	1282	1183	1383	1085
ENSRNOG00000000221	321	511	540	509	534	573
ENSRNOG00000000230	486.388	360.546	359.735	356.694	410.346	361.81
ENSRNOG00000000231	402	515	565	585	572	609
ENSRNOG00000000233	37.8188	33.1105	36.211	43.376	44.0758	99.8967
ENSRNOG00000000236	891	1030	1072	1021	1027	1060
ENSRNOG00000000237	233	222	226	245	294	229
ENSRNOG00000000239	280	151	133	112	128	171
ENSRNOG00000000244	453	329	342	356	369	415
ENSRNOG00000000245	357.9994	307.0004	304.9999	476.0003	307.0001	431.0005
ENSRNOG00000000246	841	1039	1057	967	1076	925
ENSRNOG00000000247	331	456	484	481	466	469
ENSRNOG00000000248	5432	4948	5176	5649	5854	6263
ENSRNOG00000000249	151	123	117	102	140	106
ENSRNOG00000000250	754	568	570	616	637	621
ENSRNOG00000000251	3	1	0	1	6	5
ENSRNOG00000000252	0	1	3	2	4	1
ENSRNOG00000000257	18	19	21	16	32	23
ENSRNOG00000000258	515	613	590	633	682	556
ENSRNOG00000000262	424	436	484	506	532	524
ENSRNOG00000000264	615	664	787	762	730	765
ENSRNOG00000000274	18.00005	5	4	9	4.000001	11
ENSRNOG00000000275	3	19	14	19	25	27
ENSRNOG00000000277	306.0003	249	343	264.9998	228	399.0000550996
ENSRNOG00000000279	1450	1149	1224	1206	1245	1302
ENSRNOG00000000281	217.9999	244	304	241.0003	287	248
ENSRNOG00000000282	0	0	0	0	0	0
ENSRNOG00000000283	674	569	593	643	649	655
ENSRNOG00000000288	369	438	549	453	546	498
ENSRNOG00000000299	1070.0015	962.9996	1363.9994	1430.0042	1325.0005	1297.9976
ENSRNOG00000000302	1129	1146.999	1430	1292.0041	1382.0017	1339.0011
ENSRNOG00000000303	192	232	240	239	232	237
ENSRNOG00000000304	5137	4969	5273	5414	5276	5473
ENSRNOG00000000306	399	426	410	428	475	432
ENSRNOG00000000307	383	456	459	448	464	514
ENSRNOG00000000308	531.807	400.561	400.809	463.105	461.422	465.484
ENSRNOG00000000312	360	472	450	395	487	364
