gene	5FU_6	5FU_6	5FU_6	5FU_6	5FU_6	5FU_6
ENSRNOG00000000314	1351.336	1349.995	1389	1534.004	1546.005	1451.998
ENSRNOG00000000316	153	170	223	232	151	252
ENSRNOG00000000320	0	0	1	0	0	0
ENSRNOG00000000321	18	24	28	43	33	30
ENSRNOG00000000322	598	714	594	637	698	665
ENSRNOG00000000323	64	78	110.99996	49	95.00003	51
ENSRNOG00000000327	381	384	433	474	475	522
ENSRNOG00000000335	7	5	4	6	10	20
ENSRNOG00000000340	3193.9966	3565.0048	2990.9993	3044.9963	3503.9978	2998.9991
ENSRNOG00000000341	2029.28	1886.59	2388.07	2058.17	2025.94	2135.95
ENSRNOG00000000345	0	0	0	0	0	0
ENSRNOG00000000368	1	8.00000323454	1.99999869	1	9	2
ENSRNOG00000000373	376	258	329	391	312	499
ENSRNOG00000000376	0	0	0	0	0	0
ENSRNOG00000000378	465.884	347.829	341.346	386.937	644.484	602.879
ENSRNOG00000000383	473	614	775	902.00000207053	719	874
ENSRNOG00000000384	0	3	1	0	0	0
ENSRNOG00000000386	30	33	32	28	26	33
ENSRNOG00000000387	652.554	632.949	768.974	851.091	754.256	939.927
ENSRNOG00000000390	115	99	97.5	112	95	132.5
ENSRNOG00000000392	935.0003	869.0001	867.99974	895	880.0004	958.9995
ENSRNOG00000000394	36.5366	44.65389	51.75596	53.3566	78.37994	51.9575
ENSRNOG00000000395	503	764	776	869	869	786
ENSRNOG00000000396	492.9998	526.9998	483	443.0004493	490	583
ENSRNOG00000000397	2009	1843	2007	2141	1956	2417
ENSRNOG00000000398	388	454	485	370	499	480
ENSRNOG00000000401	0	0	0	0	1	0
ENSRNOG00000000405	1	0	0	0	0	0
ENSRNOG00000000406	31	14	20	15	20	14
ENSRNOG00000000407	300	314	331	339	321	353
ENSRNOG00000000408	625.248	654.709	714.99	779.114	702.999	819.198
ENSRNOG00000000410	0	0	0	0	0	0
ENSRNOG00000000411	1613.44	1299.91	1361.08	1499.03	1734.32	1522.21
ENSRNOG00000000412	44	46	57	65	49	50
ENSRNOG00000000413	22908	23030	19690	19009	23440	17502
ENSRNOG00000000414	319	190.9999	233.00017	260	213	294
ENSRNOG00000000415	575	567	646	590	724	618
ENSRNOG00000000417	2269.889	2325.757	2751.991	2765.881	2601.055	3034.46
ENSRNOG00000000418	146	129	147	164	179	118
ENSRNOG00000000419	22.47559	0	5.85934	0	9.22594	0
ENSRNOG00000000420	1064.9998	873.0003	830.0003	949.0003	882.0007	880.9996
ENSRNOG00000000421	1188	1069	1178	1176	1134	1136
ENSRNOG00000000422	250	277	272	230	299	278
ENSRNOG00000000423	224	207	209	190	177	184
ENSRNOG00000000428	8	3	8	8	4	5
ENSRNOG00000000431	1384.00268	1297.0039	1469.9955	1496.99502	1584.99502	1439.9976
ENSRNOG00000000432	331	321	345	329	399	302
ENSRNOG00000000433	10	2	10	5.000000371375	7	11
ENSRNOG00000000435	735.999740079731	631.99969	765.999815556	729.00001	681.000360154	696.00009
ENSRNOG00000000436	28.00001	24.99996	23.00005	18.00003	38.00002	16
ENSRNOG00000000437	1985.99836	1805.99998	2132.99681	2130.9962	2101.0036	2107.99789
ENSRNOG00000000438	1252	1066.99792	1078.00162	1185	1401	1220.00373
ENSRNOG00000000439	30.000037	44.999968	35.999981	43.99993	34.999985	54.00001
ENSRNOG00000000440	450.99969	555.99976	632.99971	728.99972	673	669.00045
ENSRNOG00000000441	30	32	30	38	27	29
ENSRNOG00000000442	173	120	154	120	145	146
ENSRNOG00000000443	37.2584	43.1565	40.2991	32.5322	34.943	21.6543
ENSRNOG00000000446	2	0	0	0	0	0.5
ENSRNOG00000000451	16.999954	5.999999	7	8	11	4
ENSRNOG00000000454	2	0	2	1	0	1
ENSRNOG00000000455	128	201.582	223.241	200.426	228.16	203.307
ENSRNOG00000000456	95.15246	147.02352	117.13937	128.33517	130.22831	99.06338
ENSRNOG00000000457	636.1017	659.21221	784.73066	880.53665	770.98156	804.24353
ENSRNOG00000000459	111.00028	211.00028	190	218.9996	225.9998	206.0005
ENSRNOG00000000461	10309.9956	6888.998	8386.99705	8418.99899	7879.0042	8644.99955
ENSRNOG00000000463	58.00007	60.99999	41.5528	33.99995	40.00005	54.99998
ENSRNOG00000000464	1269.99789	993.00057332	1362.00243	1310.00092	1353.00432	1266.9965
ENSRNOG00000000465	2570.00198	2245.99718	2506.00188	2622.00369	2744.00437	2434.99884
ENSRNOG00000000466	864.99995	680.00007	659.99999	652.99977	728.00052	624.99953
ENSRNOG00000000467	688	677	751	836	846	637
ENSRNOG00000000470	1955.1723	1893.22135	2097.03037	2094.20381	2036.0217	2208.77695
ENSRNOG00000000471	74	73	66	65	66	74
ENSRNOG00000000473	1652.9959	1365	1205.00361	1278.99707	1571.99833	1256.0034
ENSRNOG00000000474	1066.06297	1035.42714	1064.77166	1110.14857	1250.02867	1233.2958
ENSRNOG00000000476	694	562	660	733	817	673
ENSRNOG00000000477	756.9453	703.94271	716.81066	723.40940540462	898.4797	805.3812
ENSRNOG00000000479	368	357	392	565	454	539
ENSRNOG00000000480	227.99997	249.00003	319.00012	285.99971	277.00038	347.00015
ENSRNOG00000000481	1528.9999	1524.9992	1496.0013	1335.0003	1605	1407.999
ENSRNOG00000000483	485.9999	535.9999	697.0004	781.0005	580.9996	744.0006
ENSRNOG00000000485	1455.00051	1185.99919	1389	1489.00411	1400.00164	1421.00359
ENSRNOG00000000486	6	8	5	9	10	5
ENSRNOG00000000488	2025	1521	1665	1659.53	1872	1604
ENSRNOG00000000490	4830.96	4454.95	3644.97	3597.38	4524.63	3510.01
ENSRNOG00000000491	4	0	1	1	0	3
ENSRNOG00000000493	975.122	949.797	812.273	763.549	982.735	871.599
ENSRNOG00000000495	1038	925	1234	1386	1164	1268
ENSRNOG00000000498	654	642.0004	838	860	747	801
ENSRNOG00000000499	1	1	1	3	1	0
ENSRNOG00000000500	54	54	86	99	81	122
ENSRNOG00000000501	447	410	503	559	501	481
ENSRNOG00000000502	194.576	233.3	244.651	261.271	227.013	245.731
ENSRNOG00000000503	672.961	686.829	918.7115	941.403	774.85	939.002
ENSRNOG00000000504	490	392	490	397	462	471
ENSRNOG00000000505	12743.8	12729.8	10697.6	11769.3	13371.1	10967.6
ENSRNOG00000000506	1128.8	1082.17	1276.09	1192.11	1251.42	1380.25
ENSRNOG00000000507	1	0	1	0	1	0
ENSRNOG00000000508	0	1	0	0	0	1
ENSRNOG00000000510	0	0	0	2	0	0
ENSRNOG00000000511	950.00001	816.99954	996.00012	992.99972	1009	1022.00169
ENSRNOG00000000512	75.00001	64.99996427	77	63	74	78
ENSRNOG00000000513	1137	1182	1486	1581	1514	1513
ENSRNOG00000000515	12.6625	15.3606	22.5326	24.5038	40.1364	35.3391
ENSRNOG00000000516	2	3	1	0	1	0
ENSRNOG00000000517	618.99984	509.99996	643.9997	633.0003	654.9996	708.0001
ENSRNOG00000000519	1171.22053	1295.88086	1508.17225	1433.29932	1421.28711	1545.65506
ENSRNOG00000000520	5036.81	5503.62	5363.96	5358.12	5396.31	5996.61
ENSRNOG00000000521	12853	9803	11053	13919	10433.49	14032
ENSRNOG00000000522	8.21189	12	15.2531	20.0021	19.3369	12.0005
ENSRNOG00000000523	480	556	527	579	643	470
ENSRNOG00000000524	1601.00003	1517.1365	1607.47748	1599.49456	1667.91098	1545.12261
ENSRNOG00000000525	73.99998	83.99993	77.99997	94.00005	96	85.99996
ENSRNOG00000000527	8349.9991	7777.9999	8012.00235	7803.99975	9238.99615	8418.00191
ENSRNOG00000000528	1	8	3	8	6	8
ENSRNOG00000000529	402	256	304	306	302	306
ENSRNOG00000000531	179	206	199	200	210	153
ENSRNOG00000000532	1574.0011	1475.0023	1622.0041	1653.0021	1800.0018	1635.9973
ENSRNOG00000000536	77.5118	52.2462	74	82.291	81	107.528
ENSRNOG00000000540	202	206	280	242	239	285
ENSRNOG00000000541	3001	3275	2808	3175	3268	3082
ENSRNOG00000000542	5	4.000001	4.999996	5	6.999997	3
ENSRNOG00000000543	60.4424	106.132	77.3179	117.519	81.4004	82.5388
ENSRNOG00000000546	173	199	222	185	214	203
ENSRNOG00000000547	49	49	74	95	62	102
ENSRNOG00000000549	1422	1593	1780	1818	1966	1719
ENSRNOG00000000551	82	80	43	69	82	89
ENSRNOG00000000552	23.00004	12	23.99996	13	26.99998	16.00002
ENSRNOG00000000556	3	0	3	1	0	0
ENSRNOG00000000557	4712.001	4557	4383	4432	4758.003	4462
ENSRNOG00000000559	0	0	0	0	1	0
ENSRNOG00000000560	536.0002	502	620.0002	774	687.9998	638.9998
ENSRNOG00000000561	257	299.99972	400	340	392	340.0003
ENSRNOG00000000562	25	13	9	17	66	24
ENSRNOG00000000563	39	57	62	50.000011	56.00002	59
ENSRNOG00000000564	0	2	2	4	2	4
ENSRNOG00000000565	886	919	1088	1117	1011	1091
ENSRNOG00000000566	250	334	295	299	361	248
ENSRNOG00000000567	1699.62	1466.87	1956.34	2426.42	1732.04	2331.72
ENSRNOG00000000568	181.014	217.713	252.22	233.881	252.635	247.81
ENSRNOG00000000569	40	33	44	48	47	42
ENSRNOG00000000571	12031	11812	13712	12865	12340	12145
ENSRNOG00000000572	269.729	277.266	363.983	446.309	305.624	481.866
ENSRNOG00000000574	0	1.00156	1.00105	1.00074	0	0
ENSRNOG00000000576	1218	972	955	1083	985	1135
ENSRNOG00000000579	373	527	688	720.957	823.642	841
ENSRNOG00000000580	8	17	8	15	11	12
ENSRNOG00000000581	781	803.9996	884.0001	913	850	883.0008
ENSRNOG00000000582	2	2	1	1	3	1
ENSRNOG00000000583	409	486	574	559	590	523
ENSRNOG00000000585	3124	2552	2782	2881	2798	2655
ENSRNOG00000000586	636	581	593	590	679	561
ENSRNOG00000000587	536	427	363	353	410	426
ENSRNOG00000000588	134.999612	132	164	192.00013	166.9998	196
ENSRNOG00000000589	22.5308	3.35154	7.66126	15.3151	4.70086	11.1065
ENSRNOG00000000590	16.8607	10.7396	20.4652	17.5855	25.9132	21.9025
ENSRNOG00000000593	606.361	763.289	768.0982	739.5462	615.422	1083.133
ENSRNOG00000000595	48	72	84	88	67	88
ENSRNOG00000000596	507.99989	594.0003	660.99935	672.9997	704.0003	709.00042
ENSRNOG00000000597	3.82786	1.39547	0	1.38341	4.0641	7.44971
ENSRNOG00000000598	275.172	195.605	230	286.617	282.936	338.55
ENSRNOG00000000599	3900	4129	5160	4939	4616	4797
ENSRNOG00000000604	1939	2021	2166	2252	2408	2237
ENSRNOG00000000605	2	2	0	3	1	3
ENSRNOG00000000606	0	0	0	0	0	0
ENSRNOG00000000607	1	0	0	0	3	0
ENSRNOG00000000609	551.238	582.392	595.342	702.335	650.607	680.305
ENSRNOG00000000610	4126	3602	3370	3301	3738	3281
ENSRNOG00000000611	396	481	530	578	469	545
ENSRNOG00000000613	1036	1051	935	1089	1086	1021
ENSRNOG00000000614	635	667	829	820	792	826
ENSRNOG00000000618	4	2	2	1	4	1
ENSRNOG00000000620	1	1	0	0	0	0
ENSRNOG00000000622	7504	8009	6793	7374	7741	6703
ENSRNOG00000000630	0	0	0	0	0	0
ENSRNOG00000000632	365.9997	386.0003	386.9991	472.9998	444.9999	505.9996
ENSRNOG00000000633	292.9450609	395.0546	461.2758	515.6123	538.914972308	492.4222
ENSRNOG00000000634	821	831	776	816	865	771
ENSRNOG00000000636	61	71	80	104	66	109
ENSRNOG00000000638	286.447	388.758	349.692	541.325	327.777	478.396
ENSRNOG00000000639	497	379	517	551	535	538
ENSRNOG00000000640	110	51	67	93	61	102
ENSRNOG00000000641	579	553.728	544.501	600.418	600.23	600.659
ENSRNOG00000000645	1471	1638	1626	1778	1814	1723
ENSRNOG00000000648	1594	1413	1467	1607	1352	1852
ENSRNOG00000000650	0	0	0	0	0	0
ENSRNOG00000000653	14	13	16	6	8	11
ENSRNOG00000000655	24.2865	38.60993	41.48093	34.1084	43.4408	48.5972
ENSRNOG00000000657	527	567	641	557	666	535
ENSRNOG00000000658	3548.0021200798	3176.9961822835	3777.997	3505.99875433	3831.9995126392	3614.999
ENSRNOG00000000661	183.0004	169	172	195.9999	196.0001	200.9997
ENSRNOG00000000662	177	99	139	104	97	149
ENSRNOG00000000663	1529	1246	1468	1452	1567	1356
ENSRNOG00000000664	704	790	902	857	870	824
ENSRNOG00000000665	1440	1391	1551	1740.997	1535	1695.998
ENSRNOG00000000691	0	4	7	1	0	2
ENSRNOG00000000692	640	496	499	594	622	581
ENSRNOG00000000693	34	34	43	57	32	41
ENSRNOG00000000695	662	582	735	812	640	812
ENSRNOG00000000697	2095	2159	2530	2592	2548	2532
ENSRNOG00000000699	111	100	90	107	79	83
ENSRNOG00000000700	325	450	435	617	573	485
ENSRNOG00000000701	2437	2725	2584	2569	2908	2426
ENSRNOG00000000702	1256	1109	1108	1282	1205	1368
ENSRNOG00000000704	70.0007	60.0793	88.1191	55.6002	91.3046	60.1584
ENSRNOG00000000708	9	3	6	8	5	5
ENSRNOG00000000713	0	0	0	0	0	0
ENSRNOG00000000715	1	2	1	0	0	1
ENSRNOG00000000716	0	1	0	0	0	0
ENSRNOG00000000718	1513	1530	1631	1666	1674	1693
ENSRNOG00000000720	461	457	414	398.624	481.401	447
ENSRNOG00000000723	330.18942	306.472	294.74304	271.88998	299.367	320.79405
ENSRNOG00000000726	0	0	0	0	0	0
ENSRNOG00000000728	162	324	247	197	250	215
ENSRNOG00000000729	346.03326	429	412.01081	287	421.0758	318.12279
ENSRNOG00000000746	0	0	0	0	0	0
ENSRNOG00000000747	0	0	0	0	0	0
ENSRNOG00000000748	14.5574	14.2379	8.23789	4.99967	4.97546	10.1134
ENSRNOG00000000749	0	0	0	0	0	0
ENSRNOG00000000759	0	0	0	0	0	0
ENSRNOG00000000763	29.1235	42.0655	57.2927	41.1365	46.1069	40.3041
ENSRNOG00000000765	0	0	0	0	0	0
ENSRNOG00000000767	0	0	3	2	1	0
ENSRNOG00000000768	0	2	0	0	5	0
ENSRNOG00000000774	1543.97367	1501.8957	1675.9244	1606.83801	1812.85887	1729.89893
ENSRNOG00000000775	49.3698	54	64	65	47	93.8609
ENSRNOG00000000777	269.37342	313.65339	271.0246	321.2933	328.51908	304.7819
ENSRNOG00000000778	174.642532	166.4904	145.88597	137.75307	140.47093	104.97731
ENSRNOG00000000779	295.00007	304.0001	265.99996	291.00049	306.9999	274.99981
ENSRNOG00000000780	716.00048	656.0001	740.99985	721.9997	797.0003	763.99969
ENSRNOG00000000781	49	27	37.99996	47	39.99999	42.00004
ENSRNOG00000000782	2	1	3	2	0	1
ENSRNOG00000000783	0	0	0	0	0	0
ENSRNOG00000000785	206.90279	240.6988	259.6948493	269.28338	236.28731647	298.24837
ENSRNOG00000000786	605.00005	613.9994	519.99999	564.99993	670.99978	562.00016
ENSRNOG00000000787	6.07596	3.41248	2.31086	2.37587	8.57363	11.3108
ENSRNOG00000000795	62	122	118	130.081	93	98.9638
ENSRNOG00000000796	2876.996	2973.002	2653.998	2078.002	1755.996	3936.996
ENSRNOG00000000798	1225.99913	1169.00115	1240.99897	1335.00111	1458.00437	1322.0049
ENSRNOG00000000799	6387.9998	4610.9977	4501.0006	4853.0032	4975.0041	4795.0002
ENSRNOG00000000800	642	568	633.99996	616	633.99986	632.00014
ENSRNOG00000000801	138	146	181	178	143	184
ENSRNOG00000000802	84	107	116	100	111	131
ENSRNOG00000000804	1103.45885	854.11061	861.02604	925.37748	910.5381	931.27838
ENSRNOG00000000805	2408.3	2915.21	3952.93	3288.58	3209.23	2975.97
ENSRNOG00000000808	1293	1490	1532	1506	1541	1666
ENSRNOG00000000809	424.999834	405.000002	480.000578	426.99935646	389.99992	461.999615
ENSRNOG00000000811	2.03925	2.04061	4.03489	9.18069	4.06826	9.19448
ENSRNOG00000000812	752.29757	628.546527	705.44474	848.13065	653.31194	933.97347
ENSRNOG00000000814	0	0	0	0	0	0
ENSRNOG00000000815	156	357	324	289	315	250
ENSRNOG00000000816	623.9992	634.9995	718	806	705.00046	776.9998
ENSRNOG00000000818	286.0004	223.0002	230.99984	247.00046	271.41153	310.6213
ENSRNOG00000000823	203	330	316	198	204	395
ENSRNOG00000000824	177.9995	230.0004	259.0000705244	256.0002	241.0004	275
ENSRNOG00000000825	5	5	5	3	13	6
ENSRNOG00000000826	2832.9961	3414.99918	3374.99942	3603.99556	3804.9965	3576.99623
ENSRNOG00000000827	1630.9961	1618.0002	1505.00100021471	1889.00072	1628.0016	1882.9985
ENSRNOG00000000831	524.9998	473.0003	529.9995	550.0002	544.9998	514.9995
ENSRNOG00000000833	598.0004	557.0001	696	628	612.0004	724
ENSRNOG00000000836	3	3	5	1	1	3
ENSRNOG00000000837	0.0323522	0.0207414	0.0255219	0.0161256	0.0139436	0.054002
ENSRNOG00000000838	0	0	0	1	0	0
ENSRNOG00000000839	191.00008	211.03981	215.04028	235.00034	245.13279	211.05237
ENSRNOG00000000840	733.00029	511.961	507.959	515.0001	547.8673	570.948
ENSRNOG00000000841	4475.977	3840.80003	3993.381	4133.05	4098.27225	4504.86785
ENSRNOG00000000842	1338	1241.0007	1302.9994	1593.9946	1579.9958	1508.0048
ENSRNOG00000000843	1	2	2	2	0	1
ENSRNOG00000000844	0	2	0	0	2	0
ENSRNOG00000000846	0	0	0	0	0	0
ENSRNOG00000000847	3045.7995	2612.0033	2652.7975	2577.99557	2783.99959	2490.99955
ENSRNOG00000000848	283	339.9996	333	389	346.0004	341.0003
ENSRNOG00000000850	18.00003	16	16	17.99997	17	30.99999
ENSRNOG00000000851	7514.36	5606.714	6550.62	7233.78	6644	6833.59
ENSRNOG00000000852	7635.0015	7119.9992	11298.0028	11094.9952	6970.99142	11795.0057
ENSRNOG00000000853	24.99996	38.00004	25	34.000000898	27.00003	42
ENSRNOG00000000854	28	23	20	21	29	16
ENSRNOG00000000855	1	2	5	3	7	5
ENSRNOG00000000857	59	47	31.99999	61	55.99998	69
ENSRNOG00000000858	83	75.99997	83	117.99954	106	100
ENSRNOG00000000860	493	450	505	597	549	656
ENSRNOG00000000861	1.01258	19.2639	7.3279	9.29148	20.5869	10.3056
ENSRNOG00000000866	391	430	365	393	371	415
ENSRNOG00000000867	3116.99907688	2228.00430898718	2550.00314369235	2577.003310278	2643.9983437	2679.9958047
ENSRNOG00000000869	634	394	440	492	455	581
ENSRNOG00000000871	26.0147	10	9.00344	18.0043	17.0089	15.0719
ENSRNOG00000000873	0	0	0	0	0	0
ENSRNOG00000000875	31733.0372	18028.0099	17353.0055	31928.9839	18453.0051	32224.0385
ENSRNOG00000000878	6	0	1	1	5	6
ENSRNOG00000000879	495.038	543.391	568.95	669.434	646.263	629.402
ENSRNOG00000000881	835.479	729.303	765.511	751.493	806.778	805.747
ENSRNOG00000000885	259	290	471	463	306	517
ENSRNOG00000000886	0	0	0	1	0	0
ENSRNOG00000000887	0	0	0	0	0	0
ENSRNOG00000000888	1230	1043	1008	1002	1129	1021
ENSRNOG00000000889	6.01142	6.38984	3.01357	6.54205	2.3157409	7.01968
ENSRNOG00000000891	274.081	284.297	278.629	231.067	193.869	338.77
ENSRNOG00000000893	835.9996	751.00047	927.9998	873.99964	868	788.99979
ENSRNOG00000000894	1531.0051	1777.0033	2284.0038	2714.0042	2199.9091	2704.9973
ENSRNOG00000000895	724	549	603	608	542	632
ENSRNOG00000000896	0	0	0	0	0	0
ENSRNOG00000000897	1	1	1	1	0	2
ENSRNOG00000000900	94	133.9999	116	151	134.00005	161
ENSRNOG00000000901	329	308	286.9996	310	352	306
ENSRNOG00000000902	1241	1077	1178	1314	1279	1184
ENSRNOG00000000903	416	541	512	485	510	460
ENSRNOG00000000904	0	0	0	0	0	0
ENSRNOG00000000905	16	13	14	8	16	11
ENSRNOG00000000906	93	97	119	153	127	111
ENSRNOG00000000907	17	20	19	18	11	7
ENSRNOG00000000909	734.0002	571.9997	642.9995	624.0003	649	631
ENSRNOG00000000913	377.0718	561.0231	580.9998	575.9995	625.0284	493.9996
ENSRNOG00000000916	0	5.59768	6.85634	22.6627	14.3966	23.8133
ENSRNOG00000000917	141	166	133	121	131	111
ENSRNOG00000000918	1199.37	1218.3	1174.66	1132.02	1356.69	978.183
ENSRNOG00000000920	17	40	35	37	30	45
ENSRNOG00000000921	1299	1436	1538	1393	1551	1435
ENSRNOG00000000922	393.9997	474.9992	457	474.9994	461.9997	513.9998
ENSRNOG00000000923	4276.9993	4175.99745	3814.00119	4104.99516	4238.00321	3981.99686
ENSRNOG00000000924	586	736.0005	877	1155.0001	816.000000488076	1113
ENSRNOG00000000925	733.9998	464.9998	471.0003	540.9996	529.9997	511.0004
