gene	DMSO1_6	DMSO1_6	DMSO1_6	DMSO1_6	DMSO1_6	DMSO1_6
ENSRNOG00000000277	333	326	420	374	306	297
ENSRNOG00000000279	1200	1208	1217	1467	1182	1126
ENSRNOG00000000281	207.9999	203.9999	270	263	232.0003	189.0001
ENSRNOG00000000282	0	0	0	0	0	0
ENSRNOG00000000283	613	592	582	667	639	595
ENSRNOG00000000288	475	510	582	677	670	495
ENSRNOG00000000299	936	723.0002	783.0003	931	891.9997	763.9999
ENSRNOG00000000302	906	809.0001	1116.9982	950.0001	916	751.999735
ENSRNOG00000000303	346	341	348	303	279	332
ENSRNOG00000000304	6119	5392	5847	6394	5347	5084
ENSRNOG00000000306	344	286	356	384	315	263
ENSRNOG00000000307	481	484	428	471	516	469
ENSRNOG00000000308	287.829	279.317	278.693	277	236.193	245.234
ENSRNOG00000000312	447	460	576	562	523	402
ENSRNOG00000000314	1885.002	1903.003	1824.005	1811.067	1660	1703.999
ENSRNOG00000000316	207	195	255	308	268	159
ENSRNOG00000000320	0	0	0	0	0	0
ENSRNOG00000000321	75	79	58	60	63	60
ENSRNOG00000000322	652	681	651	736	639	568
ENSRNOG00000000323	60	81	90	110	108	65
ENSRNOG00000000327	561	527	619	566	495	519
ENSRNOG00000000335	57	83	34	83	63	66
ENSRNOG00000000340	2911.9982	3203.0038	3292.0022	3278.0003	3079.0039	3058.0031
ENSRNOG00000000341	2441.4	2037.63000008602	2682.31	3142.38	2778.4400191238	2007.19000006549
ENSRNOG00000000345	0	0	0	0	0	0
ENSRNOG00000000368	3	0	1	4	2	2
ENSRNOG00000000373	368	332	330	408	276	336
ENSRNOG00000000376	0	0	0	0	0	0
ENSRNOG00000000378	415.607	419.188	408.616	420.121	358.705	400.742
ENSRNOG00000000383	1986	1629.998	1276.00000019606	1672.000123729	2030.00000002431	1583
ENSRNOG00000000384	0	0	2	0	0	0
ENSRNOG00000000386	15	27	36	34	39	33
ENSRNOG00000000387	556.082	533.326	591.644	600.897	539.303	557.138
ENSRNOG00000000390	125	137.5	125.5	155	114.5	109.5
ENSRNOG00000000392	910.0002	861.9999	874.0001	984.0005	851.9996	798.0003
ENSRNOG00000000394	48.01688	51.4849	70.2436	45.2888	47.8364	49.46834
ENSRNOG00000000395	1153	1023	1374	1386	1220	1112
ENSRNOG00000000396	1153.0038	998	973	1052.9987	832	971.9998
ENSRNOG00000000397	2211	2033	2138	2368	1908	1854
ENSRNOG00000000398	373	335	377	386	346	329
ENSRNOG00000000401	0	0	0	0	0	0
ENSRNOG00000000405	1	0	0	0	0	0
ENSRNOG00000000406	35	23	36	25.00001	26	26.00001
ENSRNOG00000000407	287	256	238	311	286	250
ENSRNOG00000000408	943	988.925	805.492	895.272	791.415	873.656
ENSRNOG00000000410	0	0	0	0	0	0
ENSRNOG00000000411	1186.54	1371.51	1273.39	1544.95	1271.04	1248.6
ENSRNOG00000000412	64	56	87	72	64	46
ENSRNOG00000000413	32261	31870	42836	40350	34862	31615
ENSRNOG00000000414	197	165.9997	190.0002	177.00041	183.0002	175.9999
ENSRNOG00000000415	712	825	844	874	819	814
ENSRNOG00000000417	3724.39	3117.98	3957.54	3764.04	3468.27	3112
ENSRNOG00000000418	190	220	239	254	242	216
ENSRNOG00000000419	0	20.1715	0	7.38132	0	8.04725
ENSRNOG00000000420	773	839.9996	789.9999	965.9999	885	880.0005
ENSRNOG00000000421	1068	933	1161	1129	1093	990
ENSRNOG00000000422	294	300	311	344	322	255
ENSRNOG00000000423	128	121	126	138	124	118
ENSRNOG00000000428	9	6	10	18	10	4
ENSRNOG00000000431	1609.99608	1506.00501	1496.00424	1770.00311	1702.99649	1448.99894
ENSRNOG00000000432	295	258	301	335	285	273
ENSRNOG00000000433	8	4	11	16.000032	9	5
ENSRNOG00000000435	701.99983	573.00040869942	728.000074	814.99973769	654.99958	553.999700472219
ENSRNOG00000000436	15.99997	29.99998	14.99996	22.00002	16	18
ENSRNOG00000000437	2109.99829	1877.99509	2086.99552	2382.99716	2152.00181	1695.99717
ENSRNOG00000000438	964	1126.00312	1130	1207.00241	1153.99837	1035.99612
ENSRNOG00000000439	36.00002	13.000004	26.99995	22.99999	29.99999	27.000024
ENSRNOG00000000440	1026	968	974	1053	1042.00455	943.9999
ENSRNOG00000000441	34	33	39	43	40	26
ENSRNOG00000000442	154	168	181	302	221	133
ENSRNOG00000000443	40.2347	38.9215	36.7238	49.7941	39.5318	42.7971
ENSRNOG00000000446	0	0.5	0.5	0	0	0
ENSRNOG00000000451	7	8	5	7	4.000002	6
ENSRNOG00000000454	1	0	2	1	2	1
ENSRNOG00000000455	177.363	143.626	219.188	169.64	192.859	133.266
ENSRNOG00000000456	120.151248	119.42039	99.01844115252	101.095309	121.07944	114.23361
ENSRNOG00000000457	331.4361	248.6976	374.47991	355.8841	306.68609	271.398
ENSRNOG00000000459	180.0003	161.0003	203	146.9999	143.99996	180
ENSRNOG00000000461	4857.997	4224.00277	4881.9994	5144.00028	4626.99818	3900.998
ENSRNOG00000000463	14.0000000819149	14.000000262711	25	26	21.7069	16.16698
ENSRNOG00000000464	778.00014	832.00021	1016.00049	1055.0002	911.99965	824.99987
ENSRNOG00000000465	2822.00323	2979.00142	2844.0051	3148.002	2911.99782	2826.003
ENSRNOG00000000466	596.99952	575.9999	580.00013	728.00024	641.00013	632.99974
ENSRNOG00000000467	765	815	855	900	864	864.99957
ENSRNOG00000000470	2104.42946	1948.31075	2119.44782	2321.42853	2125.22841	1811.33942
ENSRNOG00000000471	124	116	107	164	123	130
ENSRNOG00000000473	1098.00077	1321.0034	1289.99891	1483.00202	1309.00404	1215.99832
ENSRNOG00000000474	1145.06619	1084.66868	1211.23628	1276.75925	1219.31105	1071.34598
ENSRNOG00000000476	774	835	882	1075	917	847
ENSRNOG00000000477	719.68204	720.06378	691.53749	759.8369	663.82442	629.7106
ENSRNOG00000000479	823	733	718	798	715	932
ENSRNOG00000000480	288.99993	261.99988	268.00041	319.00014	331.00017	250.9998
ENSRNOG00000000481	1262.0001	1345.0004	1399.9988	1409.0001	1371	1197.0006
ENSRNOG00000000483	1177.9963	906.9996	1187.9955	1256.0028	1191.9978	960.9997
ENSRNOG00000000485	1610.00467	1603.00031	1544	1804.99654	1707	1479.99655
ENSRNOG00000000486	6	5	8	9	13	6
ENSRNOG00000000488	1872	1832	1583	2013	1885	1615
ENSRNOG00000000490	3459.08	4030	3543.25	3812.04	3438.52	3610.42
ENSRNOG00000000491	0	1	3	5	1	2
ENSRNOG00000000493	730.131	807.361	749.251	808.963	699.203	701.821
ENSRNOG00000000495	1765	1351	1096	1414	1239	1387
ENSRNOG00000000498	985	808	1133	1411	1048	866
ENSRNOG00000000499	0	5	3	0	2	2
ENSRNOG00000000500	94	63	72	90	66	75
ENSRNOG00000000501	702	687.0005	849.9997	793	740	712.9997
ENSRNOG00000000502	162.851	107.531	123.731	120.92	116.495	120.003
ENSRNOG00000000503	1181.6099	860.9631	1173.9374	1217.9138	1218.5208	858.0601
ENSRNOG00000000504	329	352	440	437	408	306
ENSRNOG00000000505	10905.5	11663.7	10850.6	11440.9	10719.9	11289.2
ENSRNOG00000000506	1277.47	1261.79	1102.69	1197.17	1273.07	1270.86
ENSRNOG00000000507	1	0	2	0	3	1
ENSRNOG00000000508	1	0	0	0	0	0
ENSRNOG00000000510	0	0	0	0	0	0
ENSRNOG00000000511	1000	1043.99612	851	1103	918.9998	892
ENSRNOG00000000512	73.0001	71	114.9999926	123.0001	77.9999	70
ENSRNOG00000000513	2044	1970.995	1893.999	2068.001	1812.002	1967
ENSRNOG00000000515	11.7731	20.4833	27.441	28.1989	16.295	10.0797
ENSRNOG00000000516	0	1	0	1	2	0
ENSRNOG00000000517	394.9998	333.99987	361.9997	356.00027	348.99982	310.99969
ENSRNOG00000000519	1188.66622	1048.47054	1243.44524	1391.44902	1223.75478	970.7931
ENSRNOG00000000520	5904.033	6820.227	5879.377	5946.422	5909.442	5844.119
ENSRNOG00000000521	4441.54	3482	2805.875	3494	3425	3680
ENSRNOG00000000522	26.0008	25.0001	65.6295	18.8446	32.9277	12.5005
ENSRNOG00000000523	698	680	770	738	664	545
ENSRNOG00000000524	1539.99998	1598.00001	1606.86013	1696.9993	1523.00095	1546.00006
ENSRNOG00000000525	102	105.99995	153.00003	137.99998	134.00032	97
ENSRNOG00000000527	7157.00498	6920.9924	7230.00674	8451.00367	7542.00417	7037.0027
ENSRNOG00000000528	5	12	4	13	7	6
ENSRNOG00000000529	179	209	188	286	242	227
ENSRNOG00000000531	144	178	192	204	226	204
ENSRNOG00000000532	2189.9964	1979.9986	2342.9987	2385.0038	2110.9999	1864.0038
ENSRNOG00000000536	86	47	88	104	69.232	56
ENSRNOG00000000540	361	416	317	349	399	342
ENSRNOG00000000541	2578	2788	2552	2586	2497	2600
ENSRNOG00000000542	3	2	5	8	6	2
ENSRNOG00000000543	126.303	145.952	126.536	139.534	114.314	137.076
ENSRNOG00000000546	193	223	220	251	196	201
ENSRNOG00000000547	176	152	151	163	152	150
ENSRNOG00000000549	1846	1949	1961	2016	1861	1878
ENSRNOG00000000551	86	81	91	125	84	61
ENSRNOG00000000552	23.99995	29	23.00003	25	20.99999	12
ENSRNOG00000000556	0	1	1	0	0	0
ENSRNOG00000000557	5096.004	5192.004	4949.9968	5419.9998	4749.999	4764.9976
ENSRNOG00000000559	0	2	1	1	1	0
ENSRNOG00000000560	593.0003	492	709.9999	695.00026	595.9997	542.0003
ENSRNOG00000000561	485	457	453	569.0001	486	415
ENSRNOG00000000562	29	15	22	21	16	14
ENSRNOG00000000563	186.0004	185	159.9997	144	222.0002	155.0002
ENSRNOG00000000564	1	3	6	2	1	2
ENSRNOG00000000565	1130	1004	1115	1232	1044	954
ENSRNOG00000000566	290	317	335	329	287	259
ENSRNOG00000000567	2962.74	2571.34	1881.27	2893.35	2795.53	2343.42
ENSRNOG00000000568	275.215	243.683	309.468	270.005	264.49	245.016
ENSRNOG00000000569	92	68	72	72	67	68
ENSRNOG00000000571	10329	9007	10823	11697	11017	8678
ENSRNOG00000000572	771.152	706.516	394.32	551.659	532.751	763.674
ENSRNOG00000000574	0	0	2.00325	0	0	0
ENSRNOG00000000576	719	710	667	864	685	670
ENSRNOG00000000579	1406.92	1462.91	1586.93	1879.98	1741.96	1701
ENSRNOG00000000580	12	11	5	11	9	4
ENSRNOG00000000581	564.9994	559.9994	615.0002	556.9994	551.9999	549.0001
ENSRNOG00000000582	0	3	2	4	1	0
ENSRNOG00000000583	650	532	708	670	576	573
ENSRNOG00000000585	1972	2297	2249	2333	1970	2024
ENSRNOG00000000586	576	535	597	627	556	570
ENSRNOG00000000587	402	510	376	468	382	448
ENSRNOG00000000588	217	160.999675	296.00034	302.9996	238.9996	187.000057454
ENSRNOG00000000589	10.0933	13.6262	17.0427	20.0775	17.6534	19.4542
ENSRNOG00000000590	15.0159	11.0793	25.5927	19.8363	12.9863	9.31178
ENSRNOG00000000593	1022.574	956.776	1150.3948	884.6773	830.324	939.833
ENSRNOG00000000595	133	146	148	120	125	124
ENSRNOG00000000596	958.9998	888.9995	985	1052.9995	948.9995	856
ENSRNOG00000000597	0	2.74668	1.29363	1.36362	2.84695	0
ENSRNOG00000000598	209	219.253	229.706	216.636	196.153	241
ENSRNOG00000000599	7008	5627	5834	6925	6896	5552
ENSRNOG00000000604	2750	2690	2940	2895	2713	2655
ENSRNOG00000000605	1	2	4	0	1	1
ENSRNOG00000000606	0	0	0	0	0	0
ENSRNOG00000000607	0	1	0	0	0	0
ENSRNOG00000000609	406.185	390.541	395.017	395.086	367.046	399.567
ENSRNOG00000000610	2689	2836	2859	3607	3167	2694
ENSRNOG00000000611	509	394	495	632	542	371
ENSRNOG00000000613	1043	1166	986	1159	918	976
ENSRNOG00000000614	1506	1280	1484	1406	1440	1334
ENSRNOG00000000618	0	2	1	3	3	2
ENSRNOG00000000620	0	0	2	0	3	0
ENSRNOG00000000622	6286.87	6611	6657	6486.86	6165	6464
ENSRNOG00000000630	0	0	0	0	0	0
ENSRNOG00000000632	1009.0003	907.0005	832.0002	986.9996	805.99974	951.0005
ENSRNOG00000000633	664.0977	543.2784	621.1655	622.2204	602.0002	531.6976
ENSRNOG00000000634	629	624	724	602	629	696
ENSRNOG00000000636	117.1915	96	76	106	85.1348	107.2361
ENSRNOG00000000638	461.178	468.949	334.489	433.992	374.216	410.041
ENSRNOG00000000639	387	344	321	428	378	336
ENSRNOG00000000640	137	99	70	94	74	98
ENSRNOG00000000641	442.286	430.169	382.287	409.591	370.606	386.742
ENSRNOG00000000645	2637	2648	2567	2426	2234	2554
ENSRNOG00000000648	1679	1529	1571	1594	1438	1437
ENSRNOG00000000650	0	0	0	0	0	0
ENSRNOG00000000653	22	9	17	25	8	18
ENSRNOG00000000655	81.01510302393	60.0214	62.1081	55.32596	62.6129141	82.6024
ENSRNOG00000000657	579	562.9997	639	600	529	525
ENSRNOG00000000658	4373.9986	3595.9984003239	5656.00061871	5713.9988864	4633.99633543	3430.99568111
ENSRNOG00000000661	272	184	215.9998	302	243	223
