gene	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6
ENSRNOG00000004018	1	0	1	3	0	1
ENSRNOG00000004019	403	329	404	374	338	357
ENSRNOG00000004022	36.9951	18.6959	29.8539	17.4316	37.8325	19.7334
ENSRNOG00000004026	1557.003	1401.997	1442.001	1467.005	1260	1605.004
ENSRNOG00000004027	2546.6	2352.8	2575.6	2563.08	2534.8	3024.29
ENSRNOG00000004029	5	1	3	3	4	5
ENSRNOG00000004030	3.91397	8.66299	8.56127	5.43677	7.10819	8.7771
ENSRNOG00000004032	1047	807	925	791	794	758
ENSRNOG00000004033	108.99962	100	116	109	91	111.99982
ENSRNOG00000004035	474	398	453	443	413	601
ENSRNOG00000004036	1121.0005	1033.0005	1158.9993	1122.0001	1126.0001	1388.9972
ENSRNOG00000004040	69	83	72	68	60	78
ENSRNOG00000004048	852	658	680	779	703	898
ENSRNOG00000004049	1349	1170	1226	1219	1181	1377
ENSRNOG00000004050	560	514	501	511	486	574
ENSRNOG00000004057	890	792	727	669	711	1165
ENSRNOG00000004059	152.125	174.305	204.331	177	181	285
ENSRNOG00000004060	11207	10278	11981	11703	11156	14682
ENSRNOG00000004061	1738	1555	1522	1558	1502	1868
ENSRNOG00000004062	0	0	2	0	0	1
ENSRNOG00000004063	547	449.9996	489.0001	457.9997	438.9999	392
ENSRNOG00000004066	3	1	7	9	4	2
ENSRNOG00000004067	28	27.0000396	27.0000122853	27.99996	16.999989734	39.0000290422937
ENSRNOG00000004068	2003.142	1567.255	1648.4345	1682.3514	1554.4174	1760.8653
ENSRNOG00000004072	4802	4537	5155	4842	4881	5791
ENSRNOG00000004075	0	2	0	0	0	0
ENSRNOG00000004076	480	441	516	456	438	658
ENSRNOG00000004077	0	0	0	0	1	0
ENSRNOG00000004078	1263	1080	1141	1138	1141	1242
ENSRNOG00000004083	1404.0002	1323.0002	1349.9999	1403.9992	1268.0005	1713
ENSRNOG00000004084	16	20	24.00004	27.00001	22	32.99999
ENSRNOG00000004085	313	331	349	329	289	385
ENSRNOG00000004089	27	29	24	34	30	32
ENSRNOG00000004090	495.909	449.753	656.104	504.218	476.552	714.432
ENSRNOG00000004091	372.318	323.608	342.221	360.768	327.715	401.419
ENSRNOG00000004092	0	2.03618	2.01695	1.02089	1.01595	0
ENSRNOG00000004093	2194.914	2002.087	1969.08	2060.157	2050.671	2520.811
ENSRNOG00000004094	285	264	282	300	244	279
ENSRNOG00000004099	1280	971	1093	961	1071	1012
ENSRNOG00000004100	212	173	158	185	186	174
ENSRNOG00000004101	2	2	1	1	1	1
ENSRNOG00000004103	575	503	565	539	548	730
ENSRNOG00000004104	170.547	159.829	159.126	171.218	145.379	219.758
ENSRNOG00000004107	9738	9133	10816	10228	10232	13977
ENSRNOG00000004108	1.00005	0	0	0	1.00015	0
ENSRNOG00000004109	575	428	508	491	437	530
ENSRNOG00000004110	601	544	547	579	567	691
ENSRNOG00000004111	609	556	537	626	583	643
ENSRNOG00000004112	7	6	11	1	6	8
ENSRNOG00000004117	36.1772	29.3074	19.1093	18.1476	25.2337	27.1597
ENSRNOG00000004118	1	0	1	0	1	0
ENSRNOG00000004120	7	1	2	9	1	7
ENSRNOG00000004122	1	0	0	1	0	1
ENSRNOG00000004124	7.09882	8.11526	8.08303	9.05474	4.0387	4.03801
ENSRNOG00000004125	2	0	4	2	1	5
ENSRNOG00000004127	1254	971	1024	989	932	1366
ENSRNOG00000004130	1380	1351	1380	1443	1315	1723
ENSRNOG00000004131	1433	1264	1452	1333	1403	1420
ENSRNOG00000004132	1518.29	1401.18	1569.1	1498.32	1532.24	1792.1
ENSRNOG00000004133	263.0002	256.254	315.0001	290.0004	271.2823	379.968
ENSRNOG00000004135	252	238	275	282	278	361
ENSRNOG00000004137	741	678	681	735	603	800
ENSRNOG00000004139	1248	1137	1285	1220	1238	1511
ENSRNOG00000004140	125	98	116	100	95	153
ENSRNOG00000004141	569	521	531	512	507	536
ENSRNOG00000004142	0	2	4	3	1	1
ENSRNOG00000004143	3745	3442	3978	3942	3825	4682
ENSRNOG00000004144	170.448	160	176	162	172	221
ENSRNOG00000004145	175	121	186	156	163	201
ENSRNOG00000004146	678	605	688.49163	598	606.48811	678.3748
ENSRNOG00000004147	58	58	60	54.00002	70	68
ENSRNOG00000004148	472	445	458	450	389	521
ENSRNOG00000004149	0	0	0	0	0	0
ENSRNOG00000004150	31	34	30	24	22	34
ENSRNOG00000004152	669	586	619	629	592	675
ENSRNOG00000004155	18	17	22	16	17	16
ENSRNOG00000004158	291.0532	247.0645	264.0565	262.03	222.03042	328.01846
ENSRNOG00000004159	3853	3199	3785	3585	3493	3888
ENSRNOG00000004160	421.55	411.659	423.799	460.611	454.358	654.648
ENSRNOG00000004161	526	467	461	481	434	653
ENSRNOG00000004162	264.32842	203.76355	242.15169	262.8025	266.55834	267.8628
ENSRNOG00000004163	0	0	0	0	0	0
ENSRNOG00000004165	262	239	233	174.9997	206.9997	210.9997
ENSRNOG00000004168	564.9995	487.00021	587.99987	540.99996	501.00001	628
ENSRNOG00000004169	740	731	780	732	722	801
ENSRNOG00000004171	4	6	5	6	5	7
ENSRNOG00000004172	1768	1679	1830	1603	1625	1721
ENSRNOG00000004177	0	3	0	0	2	0
ENSRNOG00000004179	0	0	0	0	0	0
ENSRNOG00000004180	5	8	2	5	5	9
ENSRNOG00000004181	137.99962	110.00026	131.99985	117.00043	126.99968	173.0004
ENSRNOG00000004183	455.683	414.479	470.638	442.065	423.983	555.21
ENSRNOG00000004185	1538.0003	1270.9998	1286.9998	1415.0002	1356.9995	1568.0022
ENSRNOG00000004186	1075	972	987	973	1022	1281
ENSRNOG00000004188	10.7418	10.5664	14.809	14.8854	9.85764	9.48522
ENSRNOG00000004189	474	384	413	451	382	488
ENSRNOG00000004192	21	29	29	21	20	32
ENSRNOG00000004193	628.933	558.211	567.236	610.849	548.948	705.667
ENSRNOG00000004195	381	369	362	383	369	394
ENSRNOG00000004196	9386.23	8244.01	10171.6	9640.54	8856.99	12655
ENSRNOG00000004197	260.0004904987	240.99965	232.99991	271.99982	228.0001	304.9999
ENSRNOG00000004198	100	106	113	95	108	154
ENSRNOG00000004199	0	1.00361	0	0	0	0
ENSRNOG00000004200	8	5	11	7	8	15
ENSRNOG00000004201	86	72.99998	83.00003	76.99997	82	102.999963898
ENSRNOG00000004205	1706	1404	1510	1345	1449	1507
ENSRNOG00000004206	3673	3228	3966	3476	3196	4155
ENSRNOG00000004207	122	107	125	108	99	111
ENSRNOG00000004208	1079.69	999.563	1006.71	957.004	928.528	984.536
ENSRNOG00000004210	35.383	38.3855	43.4403	25.2853	32.1275	46.31
ENSRNOG00000004212	236	194	269	240	229	260
ENSRNOG00000004214	14467.88067	13587.94859	16024.0142	16047.24105	15283.9619	21647.74475
ENSRNOG00000004216	25	17	24	19	24	47
ENSRNOG00000004217	215.314	212.327	240.35641	193.142	212.171	249
ENSRNOG00000004218	173.544	197.247	165.095	180.706	143.966	216.153
ENSRNOG00000004219	1090.31	1098.86	1292.85	1122.59	1098.61	1372.6
ENSRNOG00000004220	407	424	412	405	396	544
ENSRNOG00000004221	1	0	0	1	0	1
ENSRNOG00000004222	0	0	0	0	0	0
ENSRNOG00000004225	10	9	6	5	5	9
ENSRNOG00000004226	163	171	165	187	170	190
ENSRNOG00000004229	26	15	23	13	19	25
ENSRNOG00000004232	331	296	273	330	227	420
ENSRNOG00000004234	1590	1501	1641	1681	1625	1940
ENSRNOG00000004239	2.9942	14.9295	8.9716	7.35366	15.0254	10.7394
ENSRNOG00000004242	131	84	120	99	97	133
ENSRNOG00000004245	1280.47	1084.7	1316.56	1273.26	1190.47	1561.48
ENSRNOG00000004246	1421	1187.92	1374.52	1350.12	1367.61	1715.26
ENSRNOG00000004247	78.4358	54.6287	88.28	47.9275	47.7774	81.2881
ENSRNOG00000004249	2	5	4	6	4	5
ENSRNOG00000004252	4745	4230	4863	4852	4678	6179
ENSRNOG00000004255	963	878	1059	920	875	1124
ENSRNOG00000004257	490	442	474	452	413	586
ENSRNOG00000004258	167	136	181	147	137	187
ENSRNOG00000004259	925	810	1033	967	903	1073
ENSRNOG00000004262	1.26512	2.50261	2.56219	4.03249	1.3058	0
ENSRNOG00000004263	1062.14	957.529	1035.41	1053.64	1036.65	1093.26
ENSRNOG00000004265	4	1	0	2	1	2
ENSRNOG00000004268	608.923	497.631	527.6	498.892	486.701	724.566
ENSRNOG00000004269	3	0	0	1	0	0
ENSRNOG00000004273	522	545	620	603	588	825.447
ENSRNOG00000004275	238	207	214.0005	216.9996	241.0002	278.9995
ENSRNOG00000004276	1028	879.0493	918.9999	953.9264	944.718	947
ENSRNOG00000004278	5.15938	6.24403	5.17715	5.16855	5.12416	3.11346
ENSRNOG00000004279	1209.197	1056.744	1093.401	1084.65	989.0004	1186.5853
ENSRNOG00000004280	895	808	878	807	920	967
ENSRNOG00000004281	326	295	362	325	275	375
ENSRNOG00000004282	425	437	466	472	423	591
ENSRNOG00000004283	1152	915	1048	918	943	881
ENSRNOG00000004284	2559	2408	2378	2269	2048	2424
ENSRNOG00000004287	261.693	263.141	267.155	300.409	248.386	315.403
ENSRNOG00000004288	556.33	472.962	556.978	521.384	509.633	716.665
ENSRNOG00000004290	7994	6865	6836	7647	6829	8045
ENSRNOG00000004291	8302	7251	6958	7956	7418	9126
ENSRNOG00000004292	605	526	652	672	603	816
ENSRNOG00000004294	0	1	0	0	0	0
ENSRNOG00000004296	0	1	7	3	3	1
ENSRNOG00000004298	0	0	2	0	0	0
ENSRNOG00000004300	1303	1188	1167	1282	1157	1502
ENSRNOG00000004301	618	608	680	718	660	847
ENSRNOG00000004302	0	0	0	0	0	0
ENSRNOG00000004303	676	552	622	706	652	674
ENSRNOG00000004304	1109	973	1029	1125	1060	1413
ENSRNOG00000004305	453	390	394	444	399	443
ENSRNOG00000004306	373	348	320	378	341	388
ENSRNOG00000004307	288	250	283	275	260	307
ENSRNOG00000004310	1009	903	1034	863	892	870
ENSRNOG00000004311	71	55	70	77	54	91
ENSRNOG00000004312	815	781	860	900	864	1146
ENSRNOG00000004314	108	106	112	103	105	128.0004
ENSRNOG00000004316	67.4983	57.5995	83.7409	127.944	77.9387	108.874
ENSRNOG00000004317	18.6122	31.2981	27.2548	19.8547	20.2566	30.4214
ENSRNOG00000004319	0	0	0	0	0	0
ENSRNOG00000004320	81.8484	76.4205	93.6728	109.547	60.2462	109.348
ENSRNOG00000004322	5106.995	4553.9957	4730.9957	4952.9957	4863.9979	6027.002
ENSRNOG00000004327	2996.999	2736.003	2825.002	3015.0035	2707.9969	3512.0032
ENSRNOG00000004328	92	106	118	112	82	128
ENSRNOG00000004330	46.56	28.314	35.1443	37.5024	37.3299	49.6167
ENSRNOG00000004332	274	236	208	240	218	210
ENSRNOG00000004333	1286	1125	1297	1242	1247	1320
ENSRNOG00000004337	2126.78	1821.82	1889.15	1985.6	1928.85	2274.06
ENSRNOG00000004339	1270	1101	1253	1169	1086	1384
ENSRNOG00000004341	0	3	2	1	3	2
ENSRNOG00000004342	235	249	225	204	201	211
ENSRNOG00000004344	1130.9966	1037.9997	1262.9973	1150.0046	1113.0037	1380.0036
ENSRNOG00000004345	1817	1627	1586	1653	1464	1897
ENSRNOG00000004346	1853.64	1578.43	1802	1589	1655	1374.94
ENSRNOG00000004351	88	74	78	70	79	105
ENSRNOG00000004353	0	0	0	2	1	1
ENSRNOG00000004356	2	1	1	0	2	0
ENSRNOG00000004359	1787.57	1463.87503	1717.40138	1822.81026	1727.0951	2030.3824
ENSRNOG00000004360	285	264	296	255	275	318
ENSRNOG00000004361	490	420	441	440	399	406
ENSRNOG00000004362	510	473	472	504	509	619
ENSRNOG00000004364	711	635	710	605	651	775
ENSRNOG00000004367	490.074	466.411	511.683	480.554	508.64	550.14
ENSRNOG00000004372	0	0	0	0	0	0
ENSRNOG00000004373	691.0002	617.0003	746.9998	738.0003	681.9998	858
ENSRNOG00000004377	904	737	788	836	800	877
ENSRNOG00000004378	488	451.9999	450.0004	509	491	642
ENSRNOG00000004380	0	0	0	0	0	1
ENSRNOG00000004381	0	0	0	0	0	0
ENSRNOG00000004382	1197	1095	1080	1131	1038	1166
ENSRNOG00000004387	130	111	152	121	127	131
ENSRNOG00000004390	1	3	0	4	2	2
ENSRNOG00000004391	1.73415	2	0	0	1.04136	0
ENSRNOG00000004392	10	10	22	12	19	18
ENSRNOG00000004393	2	0	1	1	0	0
ENSRNOG00000004395	1548.3113	1302.0493	1464.0025	1569.5423	1586.9949	1761.2407
ENSRNOG00000004398	66.99997	35.99998	38.00001	55.00004	44	58.99998
ENSRNOG00000004399	10.2933	7.30172	12.2272	11.5057	20.7477	16.6013
ENSRNOG00000004400	2	1	2	4	6	4
ENSRNOG00000004401	1183.3	1055.76	1239.38	1216.54	1264.51	1566.3
ENSRNOG00000004402	1282	1095	1128	1154	1100	1310.47
ENSRNOG00000004403	297	238	291	313	274	375
ENSRNOG00000004404	1	0	0	2	1	4
ENSRNOG00000004405	1.01066	1.01249	1	0	3.00735	2.00272
ENSRNOG00000004409	8	5	3	5	3	4
ENSRNOG00000004410	3	2	0	1	1	1
ENSRNOG00000004411	21	19	10	19	10	24
ENSRNOG00000004412	230.7	214.241	227.623	198.459	221.491	273.702
ENSRNOG00000004414	374.08	293.601	366.95	379.195	342.914	417.279
ENSRNOG00000004415	644	547.0004	617	576	543	712
ENSRNOG00000004417	281	254	283	274	249	306
ENSRNOG00000004419	76.5039	35.1629	41.4589	36.5088	62.0166	61.7818
ENSRNOG00000004420	2764	2572	2486	2807	2587	3187
ENSRNOG00000004421	457	451	531	461	477	564
ENSRNOG00000004423	534	460	482	514	474	578
ENSRNOG00000004424	223.904	198.98	236.117	229.006	206.649	246.342
ENSRNOG00000004425	126.9995	112	129.9995	116	136.999567	177.9997
ENSRNOG00000004426	0	0	0	0	0	0
ENSRNOG00000004430	981	804	971	892	848	985
ENSRNOG00000004437	250	220	224	242	281	308
ENSRNOG00000004438	1	4	6.000005	5	3	8
ENSRNOG00000004440	568	532	484	531	443	720
ENSRNOG00000004441	0	2	2	1	1	4
ENSRNOG00000004442	484.653	451.445	423.762	427.491	414.665	519.589
ENSRNOG00000004443	0	0	0	0	0	0
ENSRNOG00000004444	6	11	6	6	9	22.00004
ENSRNOG00000004448	388	359	389	360	385	460
ENSRNOG00000004449	1946	1672	1797	1762	1724	2070
ENSRNOG00000004451	8	8	12	4	7	16
ENSRNOG00000004452	1	0	0	1	0	0
ENSRNOG00000004453	2.83621	1.5264	1.50037	0	0	1.61981
ENSRNOG00000004456	3	8	5	5	4	4
ENSRNOG00000004457	1.00225	0	0	0	1.00418	0
ENSRNOG00000004458	91	73	78	85	72	96
ENSRNOG00000004459	180.307	158.775	154.581	158.03	117.909	224.916
ENSRNOG00000004461	146	120	155	147	149	183
ENSRNOG00000004464	2685.909	2508.214	2618.9508	2562.549	2515.592	2723.752
ENSRNOG00000004466	572	442	459	510	481	557
ENSRNOG00000004470	0	0	0	1	0	0
ENSRNOG00000004471	588	491	592	569	579	709
ENSRNOG00000004473	683.571	563.339	613.948	568.716	521.934	695.011
ENSRNOG00000004474	874.105	762.593	907.191	887.015	876.275	1087.66
ENSRNOG00000004476	394	308	393	390	309	377
ENSRNOG00000004477	915	836	830	904	850	1141
ENSRNOG00000004479	573	495	486	503	518	547
ENSRNOG00000004481	1210	1056	1078	1314	1174	1636
ENSRNOG00000004482	554	578	575	607	498	542
ENSRNOG00000004483	7	4	6	7	8	5
ENSRNOG00000004484	481	400	484	501	478	569
ENSRNOG00000004487	83.6151	75.7778	78.5906	70.8756	68.7994	91.1753
ENSRNOG00000004488	0	4	2	3	4	1
ENSRNOG00000004489	647	649	627	593	577	646
ENSRNOG00000004492	426.616	385.536	386.13	388.567	388.986	520.725
ENSRNOG00000004493	115	93	110.99973	87.99997	94	157.9998
ENSRNOG00000004494	1266	1170	1263	1421	1208	1611
ENSRNOG00000004496	3657	3341.004	3411.999	3088.997	3014.001	4612.003
ENSRNOG00000004498	4	3	0	1	2	1
ENSRNOG00000004499	14	14	13	14	18	27
ENSRNOG00000004500	229.99978	231.00001	231.9997	207.0004	227.99966	211.9996
ENSRNOG00000004501	0	0	0	1	0	0
ENSRNOG00000004502	0	0	0	0	0	0
ENSRNOG00000004503	175	129	145	135	148	140
ENSRNOG00000004505	2469	1860	2278	1736	1913	1649
ENSRNOG00000004509	687	591	660	675	677	887
ENSRNOG00000004510	2020	1854	2139	2077	2032	2644
ENSRNOG00000004512	607	471	630	543	588	732
ENSRNOG00000004515	1201	1125	1287	1268	1220	1340
ENSRNOG00000004516	448	418	401	387	435	454
ENSRNOG00000004517	246.60089	225.46344	211.00325	218.79035	226.15377	263
ENSRNOG00000004518	210.0004	184.9999	226.9998	155.9999	155.9998	182.0001
ENSRNOG00000004519	1825.19	1621.24	1592.41	1606.42	1476.57	1648.51
ENSRNOG00000004520	229.9995	184.9996	202.9999	181.99987	180.9996	252.0005
ENSRNOG00000004521	1004	874	928	872	820	1247
ENSRNOG00000004524	649.99962	614.99982	689.00008	816.99965	735.0003	832.99955
ENSRNOG00000004526	3775	3293	3726	3743	3675	4607
ENSRNOG00000004527	0	0	1	0	1	1
ENSRNOG00000004531	89	70	80	68	104	105
ENSRNOG00000004532	422.516	357.783	390.484	394.389	360.878	397.429
ENSRNOG00000004534	69	66	67	78	78	82
ENSRNOG00000004535	0	1	0	1	0	0
ENSRNOG00000004537	669.9995	553	626	611	619.0002	614
ENSRNOG00000004538	1171	992	1131	1150	1074	1171
ENSRNOG00000004540	63	47	50	71	41	47
ENSRNOG00000004542	228.9998	183.99971	242.00034	209.9995	205	254.99992
ENSRNOG00000004544	1483.0048	1406.0043	1399.9976	1263.99958	1158.0047	1433.0041
ENSRNOG00000004549	901	899	874	993	926	1277
ENSRNOG00000004553	1005	928	1101	1045	1017	1384
ENSRNOG00000004554	3175	2724	2919	2776	2812	3399
ENSRNOG00000004555	56.4449	45.49658	59.14411	61.54549	32.3104176	61.6836
ENSRNOG00000004556	1386	1244	1383	1348	1369	1503
ENSRNOG00000004560	107	66	89	71	61	69
ENSRNOG00000004563	904	718	759	681	734	710
ENSRNOG00000004564	2	0	2	1	1	0
ENSRNOG00000004566	130.2416	136.9948	149.5095	140.8862	151.276	146.1419
ENSRNOG00000004571	123.888	124.565	132.652	115.706	113.929	126.942
ENSRNOG00000004572	96	89	104	130	103	129
ENSRNOG00000004574	306	299	280	303	259	375
ENSRNOG00000004575	1	2.999997	1	2	4	2
ENSRNOG00000004577	1213	1084	1205	1287	1172	1451
ENSRNOG00000004578	395	337	366	350	326	399
ENSRNOG00000004581	454	473	453	453	376	533
ENSRNOG00000004582	2	2	0	0	1	0
ENSRNOG00000004583	13838	12807	13495	12240	11188	14532
ENSRNOG00000004585	76	70	81	80	64	77
ENSRNOG00000004588	620	536	580	653	613	751
ENSRNOG00000004589	142	130	161	146	101	130
ENSRNOG00000004591	280	202	224	197	219	276
ENSRNOG00000004595	73	65	81	42	58	85
ENSRNOG00000004598	514	446	564	525	510	574
ENSRNOG00000004601	0	0	0	0	0	0
ENSRNOG00000004602	1324	1131	1304	1325	1227	1492
ENSRNOG00000004603	90	84	80	63	77	73
ENSRNOG00000004604	1892	1711	1898	1751	1628	1803
ENSRNOG00000004606	544	466	468	457	427	566
ENSRNOG00000004608	792	716.971	844.979	794	775	1014.97
ENSRNOG00000004610	2667	2252	2348	2432	2321	3010
ENSRNOG00000004612	8028	7510	7675	8627	8116	11122
ENSRNOG00000004613	299.0004	242.9996	235.0003	270.9995	261.9998	305.9997
ENSRNOG00000004614	0	0	0	2	1	0
ENSRNOG00000004616	8350.475	7834.331	8851.364	8736.61	8429.793	11823.03
ENSRNOG00000004621	14221.02	11577.96681	12341.999	12071.9934	10454.9912	13216.993
ENSRNOG00000004623	24	18	13	6	5	15
ENSRNOG00000004624	826	789	837	867	848	1165
ENSRNOG00000004626	0	0	0	0	0	0
ENSRNOG00000004628	1582	1400	1517	1534	1475	1845
ENSRNOG00000004629	2698	2396	2886	2750	2619	3342
ENSRNOG00000004630	0	2	0	0	0	1
ENSRNOG00000004632	8.0918	0	0	0	0	0
ENSRNOG00000004633	0	1	0	0	0	0
ENSRNOG00000004635	0	0	0	0	0	0
ENSRNOG00000004637	745	653	726	686.0001	738	796.9996
ENSRNOG00000004639	354	317	282	321	332	339
ENSRNOG00000004640	192	132	209	161	179	190
ENSRNOG00000004641	2	0	1	2	2	4
ENSRNOG00000004642	0	0	1.0013	1.00298	2.00281	0
ENSRNOG00000004645	55	53	81	71	60	58
ENSRNOG00000004646	0	0	0	0	0	0
ENSRNOG00000004647	0	0	0	0	0	0
ENSRNOG00000004649	6	1	4	5	5	5
ENSRNOG00000004650	62	71	77	52	58	56.99998
ENSRNOG00000004657	1374.00302	1182.99568	1292.00459	1386.00184	1319.00351	1669.9994
ENSRNOG00000004659	643	592	636	608	635	746
ENSRNOG00000004660	882.409	825.849	803.255	876.252	858.454	1005.43
ENSRNOG00000004661	0	0	0	0	0	0
ENSRNOG00000004662	45.445	51.7242	56.5293	52.348	51.1283	56.4262
ENSRNOG00000004666	115	95	87	97	69	108
ENSRNOG00000004667	102	106	82	100	99	130
ENSRNOG00000004668	55	48	72	77	51	67
ENSRNOG00000004670	556.99988	454.99974	550	564.0004	532.9999	658.9997
ENSRNOG00000004672	63	38	41	58	43	55
ENSRNOG00000004673	62	68	75	53	76	104
ENSRNOG00000004676	15	9	12	10	19	16.99997
ENSRNOG00000004677	486.001	441	485	506.001	447	619.001
ENSRNOG00000004678	1	1	3	0	0	1
ENSRNOG00000004679	173	142	133	140	131	163
ENSRNOG00000004680	148.9999	117	129	130	107	163.0002
ENSRNOG00000004681	1072	944	1075	1009	998	1401
ENSRNOG00000004682	97.018	120.6994	77.3247	77.0923	84.0974	105
ENSRNOG00000004685	437.9995	404.0005	423.0003	455.0002	412.0005	514.00045
ENSRNOG00000004686	1091.34	949.098	981.246	1103.948	949.032	1223.823
ENSRNOG00000004687	117	104	115	122	132	159
ENSRNOG00000004688	1367	1164	1241	1264	1098	1270
ENSRNOG00000004692	0	0	0	0	0	0
ENSRNOG00000004693	970	841	898	873	916	1022
ENSRNOG00000004695	19.2337	19.2384	24.1807	7.10842	18.2042	17.1773
ENSRNOG00000004696	1365	1155	1216	1157.9989	1127	1656.00031
ENSRNOG00000004697	184.065	180.43	195.376	180	185.365	215.059
ENSRNOG00000004698	18.99997	24	30	27	27.99995	31
ENSRNOG00000004699	242	195	200	179	162	213
ENSRNOG00000004700	282	251	339	304	266	381
ENSRNOG00000004703	9.33044	5.03024	0	3.21147	5.68589	7.52978
ENSRNOG00000004704	0.299498	0.651617	0.300382	1	0	0
ENSRNOG00000004706	0	0	0	2	2	1
ENSRNOG00000004708	116	98	103	106	64	99
ENSRNOG00000004709	650.8834	540.9161	578.0982	555.0367	499.5992	575.858
ENSRNOG00000004710	105	101	94	125	111	137
ENSRNOG00000004711	1770.995	1523	1637.003	1424	1457	1649.996
ENSRNOG00000004712	17.00005	16.99999	4	9	16	11
ENSRNOG00000004713	0	0	0	0	0	0
ENSRNOG00000004717	46.00002	27	42	50	33	47
ENSRNOG00000004719	162.788	112.349	167.995	151.501	165.017	242.615
ENSRNOG00000004720	433	337	361	351	396	409
ENSRNOG00000004723	567	505	583	580	493	744
ENSRNOG00000004725	4	1	2	11	2	7
ENSRNOG00000004726	5863.86	5188	5605	5353	5225	6108
ENSRNOG00000004727	285.5321	263.5612	241.4766	254.7519	250.1837	318.139
ENSRNOG00000004730	1045.623	862.601	943	910	797.164	989.138
ENSRNOG00000004731	75	73	64	79	79	97
ENSRNOG00000004733	194	152	196	205	166	207
ENSRNOG00000004735	694	626	646	724	706	890
ENSRNOG00000004736	300.99986	263.9996	289.99992	271.0005	282	343.0004
ENSRNOG00000004737	392	371	466	396	419	513
ENSRNOG00000004740	924.9999	867	1023	864	863	1132.999
ENSRNOG00000004741	17279.6	15617.1	18927.1	18451.3	17456.4	24173.9
ENSRNOG00000004742	1994.84	1765.66	1841.13	2099.32	1829.83	2307.23
ENSRNOG00000004743	4.14985	7.06827	7.19774	3.00965	2.04364	5.18857
ENSRNOG00000004744	33	34	40	44	40	40
ENSRNOG00000004747	3.0385	1	0	1	3.04147	1.03495
ENSRNOG00000004749	1027	908.779	1006	1058	956	1147.02
ENSRNOG00000004751	665	591	645	634	633	669
ENSRNOG00000004752	14.0000000309092	18.999966655	21	19	14	19.99995604
ENSRNOG00000004753	71	68	63	64	58	85
ENSRNOG00000004754	11	6	10	5	11	14
ENSRNOG00000004755	962	822	994	904	861	1179
ENSRNOG00000004756	2	0	3	1	2	3
ENSRNOG00000004757	213	191	264	202	140	158
ENSRNOG00000004760	568	468	519	485	409	552
ENSRNOG00000004763	646.3503	545.8395	586.0109	565.0788	571.9757	508.1753
ENSRNOG00000004766	1432	1148	1332	1042	1073	1084
ENSRNOG00000004768	0	0	0	0	0	0
ENSRNOG00000004772	6	19	12	14	11	22
ENSRNOG00000004773	939	733	846	883	783	913
ENSRNOG00000004774	84	86	83	108	102	107
ENSRNOG00000004775	807	700	784	825	753	935
ENSRNOG00000004776	234.354	203.211	217.263	198.183	213.299	227.338
ENSRNOG00000004777	878	778	898	835	726	1275
ENSRNOG00000004778	0	1	0	1	1	0
ENSRNOG00000004779	0	0	0	0	0	0
ENSRNOG00000004781	96	108	109	82	107	103
ENSRNOG00000004783	198	172	199	175	200	226
ENSRNOG00000004784	383	367	432	464	424	524
ENSRNOG00000004786	12	16	6	14	14	14
ENSRNOG00000004787	157.674	109.152	150.778	130.242	130.888	162.582
ENSRNOG00000004789	512.655	467.308	495.138	464.419	451.139	571.289
ENSRNOG00000004791	1686	1581	1638	1483	1385	1778
ENSRNOG00000004793	2554	2293	2636	2317	2386	2464
ENSRNOG00000004794	299.9997	256.0003	268	248.0002	238.0002	256.0003
ENSRNOG00000004795	1	0	0	0	0	0
ENSRNOG00000004805	72	67	67	81	82.00003	68.00003
ENSRNOG00000004806	958	875	870	968	887	1103
ENSRNOG00000004807	770	620	675	670	741	841
ENSRNOG00000004808	0	0	0	0	0	0
ENSRNOG00000004809	0	0	0	0	0	0
ENSRNOG00000004810	38	43	44	36.00003	41	47.00001
ENSRNOG00000004812	647.39	564.042	557.83	513.688	566.613	574.778
ENSRNOG00000004813	1779.03	1563.91	1846.75	1796.69	1777.94	2145.13
ENSRNOG00000004814	3410.99	3213	3561	3510	3401	4446.99
ENSRNOG00000004819	268	246	272	272	245	295
ENSRNOG00000004820	1553	1452	1615	1593	1586	2002
ENSRNOG00000004821	132.588	109.195	127.804	128.366	131	165
ENSRNOG00000004823	258	240	218.0004	232.9997	222.0002	193
ENSRNOG00000004826	756.056	670	642	647.045	565	678.038
ENSRNOG00000004827	2994.0015	2684.9965	2737.9966	2800.9965	2712.0023	3277.99947
ENSRNOG00000004828	20	11	15	15	11	23
ENSRNOG00000004829	396	400	406	415	395	589
ENSRNOG00000004831	1200.16	1127.1	1061.06	1056.14	981.093	1085
ENSRNOG00000004834	630	521	587	577	532	542
ENSRNOG00000004837	1089	933	991	1013	999	1262
ENSRNOG00000004839	4	5.74602	10.4785	8	8	7
ENSRNOG00000004841	1452	1160	1042	1153	1025	1212
ENSRNOG00000004842	120	139	151	139	162	203
ENSRNOG00000004843	128.322	115.468	186.394	174.201	108.971	163.329
ENSRNOG00000004844	427	376	437	386	392	535
ENSRNOG00000004846	1384	1152	1283	1278	1202	1541
ENSRNOG00000004852	1	0	0	1	0	0
ENSRNOG00000004854	46	44	33	55	64	48
ENSRNOG00000004857	333.799	285.734	324.28	377.305	266.19	398.586
ENSRNOG00000004858	2	3.03959	1	1.01193	0	1.00967
