gene	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6
ENSRNOG00000000279	1037	808	985	990	949	1180
ENSRNOG00000000281	331	283.0003	341	348	347	298
ENSRNOG00000000282	0	0	0	0	0	0
ENSRNOG00000000283	574	510	587	528	523	659
ENSRNOG00000000288	602	524	593	484	443	540
ENSRNOG00000000299	1005.9995	833.0002	801.9996	832.9996	792.0004	850.99989
ENSRNOG00000000302	1245.9979	1119	1157.9978	1177	1153.00000001702	1426.00397
ENSRNOG00000000303	324	234	275	314	281	306
ENSRNOG00000000304	6034	5366	5723	5894	5492	6793
ENSRNOG00000000306	337	282	336	285	263	320
ENSRNOG00000000307	398	332	326	360	329	455
ENSRNOG00000000308	256.095	261.34	310.381	316.948	283.86	384.483
ENSRNOG00000000312	559	482	564	552	538	679
ENSRNOG00000000314	1903.002	1741.002	1709	1886.005	1697.995	2158.999
ENSRNOG00000000316	308	255	338	218	207	211
ENSRNOG00000000320	1	0	0	0	0	0
ENSRNOG00000000321	83	56	78	68	55	90
ENSRNOG00000000322	688	658	726	696	684	868
ENSRNOG00000000323	88.99993	121	109.99997	125.0002	111	120.0002
ENSRNOG00000000327	669	609	587	653	617	717
ENSRNOG00000000335	12	12	12	7	9	5
ENSRNOG00000000340	2798.004	2768.9955	3131.9967	2911.9977	2859.0021	3834.9953
ENSRNOG00000000341	2947.61	2607.47	2779.98	2484.36	2525.27	2423.15
ENSRNOG00000000345	0	0	0	0	0	0
ENSRNOG00000000368	3	4	3	4	6	4
ENSRNOG00000000373	385	311	313	324	265	371
ENSRNOG00000000376	0	0	0	0	0	0
ENSRNOG00000000378	381.107	341.712	327.301	321.984	241.945	373.891
ENSRNOG00000000383	841	682.00005426	719	691	725	680
ENSRNOG00000000384	1	0	2	0	0	1
ENSRNOG00000000386	38	28	45	43	40	43
ENSRNOG00000000387	661.609	585.06	668.579	665.456	606.266	823.789
ENSRNOG00000000390	127.5	107	110.5	117	108.5	151.5
ENSRNOG00000000392	757.0002	620.0001	737.9999	786.9995	697	843.9999
ENSRNOG00000000394	44.6857	31.90402	54.15479	60.01992	40.40037	63.6171
ENSRNOG00000000395	1444	1275	1365	1408	1389	1602
ENSRNOG00000000396	1035.9998	920.000000615267	925.0003	1042.0002	903.99978	1203.9982
ENSRNOG00000000397	1937	1636	1794	1701	1605	1967
ENSRNOG00000000398	365	351	413	385	394	488
ENSRNOG00000000401	0	0	0	0	0	1
ENSRNOG00000000405	0	0	0	0	0	0
ENSRNOG00000000406	30.99999	33	23.00001	20	14	28.00003
ENSRNOG00000000407	238	213	273	257	270	271
ENSRNOG00000000408	956.471	928.765	935.231	1069.17	930.728	1210.89
ENSRNOG00000000410	1	1	0	0	0	0
ENSRNOG00000000411	1348.03	1316.99	1429.89	1423.06	1272.05	1749.38
ENSRNOG00000000412	54	45	57	59	54	81
ENSRNOG00000000413	35182	31839	33884	32936	31110	42381
ENSRNOG00000000414	198.99984	148.99957	176	199.0003	174	229.0001
ENSRNOG00000000415	754	717	773	816	732	930
ENSRNOG00000000417	3280.58	2915.13	3006.73	2933.79	2771.39	2901.97
ENSRNOG00000000418	211	195	204	200	182	182
ENSRNOG00000000419	18.72924	31.0618	18.2119	40.5296	2.68019	0
ENSRNOG00000000420	785.9995	709.0004	828.9999	719.0004	765.0001	912.0005
ENSRNOG00000000421	1180	1019	1169	1096	1063	1197
ENSRNOG00000000422	392	394	443	449	421	433
ENSRNOG00000000423	139	109	125	109	149	137
ENSRNOG00000000428	6	4	12	9	3	2
ENSRNOG00000000431	1520.99783	1373.99731228136	1567.00444	1403.99688	1330.00240873598	1539.0028
ENSRNOG00000000432	351	293	344	331	303	402
ENSRNOG00000000433	10.000000161661	9	6	10.999979	4	5.999996
ENSRNOG00000000435	669.99959	563.00042	640.00033	653.99999	668.99976100076	637.99991
ENSRNOG00000000436	26.99996	7	21.00004	15	8	21.00004
ENSRNOG00000000437	2060.9999	1765.00433	2006.99565	1697.99769	1807.0027	2002.00034
ENSRNOG00000000438	1108	982.99972	1192	1063.9987	929.00012	1221.99687
ENSRNOG00000000439	24.00004	17.00001	26.999991	26	18.999998733	18
ENSRNOG00000000440	726.00048	606.00028	710	609	617.00007	720.00026
ENSRNOG00000000441	32	39	28	21	26	30
ENSRNOG00000000442	206	198	239	197	191	125
ENSRNOG00000000443	38.345	47.8901	43.957	35.8337	48.9158	26
ENSRNOG00000000446	0	0	0	0	0	0
ENSRNOG00000000451	5	2.999997	5.999999	9	15	11
ENSRNOG00000000454	3	0	0	1	0	2
ENSRNOG00000000455	143.284	143.064	209.745	173.072	179.483	167.654
ENSRNOG00000000456	98.067	83.27394	105.03405	87	88.19938	116.02331
ENSRNOG00000000457	430.17448	423.9012	446.5378	425.1451	406.72912	489.7017
ENSRNOG00000000459	202.9996	177	191.0001	156.9997	178	177.9999
ENSRNOG00000000461	9400.00358	8148.002	9426.9978	8860.00338	8693.9954	9798.9987
ENSRNOG00000000463	18.69349	28	26	29	41.99996	33
ENSRNOG00000000464	978.9995	942.00002	1001.99957	1018.000302	922.99958	1038.0005
ENSRNOG00000000465	2825.00209	2476.00394	2904.9989	2721.0029	2593.00448	3048.99662
ENSRNOG00000000466	713.00003	574.00046	746.99986	648.99987	600.9996	690.0002
ENSRNOG00000000467	796	766	862	841	805	881
ENSRNOG00000000470	2077.53101	1940.799	2027.63217	1928.32823	1876.3208	2026.52541
ENSRNOG00000000471	112	93	90	82	82	124
ENSRNOG00000000473	1026.99953	924.00042	1178.9996	1112.99979	962.9997	1297.00341
ENSRNOG00000000474	1062.5709	933.54438	1039.729	990.40961	916.20722	1017.40378
ENSRNOG00000000476	935	864	942	928	745	945
ENSRNOG00000000477	657.0622	558.94324	662.0005	639.41562	579.9257	647.15655
ENSRNOG00000000479	385	348	414	385	389	486
ENSRNOG00000000480	347.0002	309.0004	356.99962	285.99976	329.00043	343.00043
ENSRNOG00000000481	1262.9993	1057.9993	1269.0009	1248.0003	1206.0009	1477
ENSRNOG00000000483	789.0003	648.0004	749.9996	639.9997	626	591.0002
ENSRNOG00000000485	1180.99788	971	1234.99517	1131.99694	1050.00396	1307.99721
ENSRNOG00000000486	7	1	5	5	10	6
ENSRNOG00000000488	1604	1628	1781	1614	1431	1785.88
ENSRNOG00000000490	3246.99	2996.95	3664.21	3619.92	3376.57	4618.14
ENSRNOG00000000491	7	4	9	1	7	6
ENSRNOG00000000493	642.572	605.65	705.513	666.342	651.662	854.579
ENSRNOG00000000495	1405	1257	1405	1404	1329	1440
ENSRNOG00000000498	1097	973	1013	908	926	925
ENSRNOG00000000499	2	1	0	5	1	1
ENSRNOG00000000500	111	78	60	72	77	84
ENSRNOG00000000501	905	812	910	919	756	1013
ENSRNOG00000000502	134.405	107.441	134.433	113.786	120.903	159.562
ENSRNOG00000000503	1413.0744	1168.2571	1349.9411	1109.0962	1141.4767	1203.1128
ENSRNOG00000000504	603	515	560	539	523	619
ENSRNOG00000000505	10674.7	9195.36	11102.2	10537.4	10667	14051.3
ENSRNOG00000000506	1067.42	886.623	1001.32	909.877	885.734	965.971
ENSRNOG00000000507	0	0	0	2	1	2
ENSRNOG00000000508	0	0	0	0	0	0
ENSRNOG00000000510	0	0	0	1	0	0
ENSRNOG00000000511	875	866	831	871.9999	861.99988	1007.99685
ENSRNOG00000000512	91	89	98	111	84.9999	95
ENSRNOG00000000513	2245.003	2026.002	2157.999	2259.998	2092.998	2569
ENSRNOG00000000515	24.3111	16.9355	17.5344	14.1607	8.50071	13.6338
ENSRNOG00000000516	0	5	0	1	0	3.000001
ENSRNOG00000000517	387.00047	330.9998	333.00012	370.00044	353.99953	387.0001
ENSRNOG00000000519	1089.2967712	1022.3399	1008.96742	1048.3465	1008.91542	1164.86976
ENSRNOG00000000520	4428.007	3984.475	4606.805	4607.713	4556.02	5685.092
ENSRNOG00000000521	4621	4244.62	4701	4500.95	4116	5020
ENSRNOG00000000522	22.0843	28.9457	24	17	22.5339	17.527
ENSRNOG00000000523	593	480	585	526	549.00017	701
ENSRNOG00000000524	1491.00024	1362.68817	1456.0003	1453.99939	1369.99992	1825.9994
ENSRNOG00000000525	90.00005	88.00002	95.99997	96.00005	102.000023	110
ENSRNOG00000000527	7725.0014	6917.9955	7620.00336	7205.9996	6424.99481	8217.99887
ENSRNOG00000000528	5	7	8	3	4	4
ENSRNOG00000000529	259	221	251	244	228	261
ENSRNOG00000000531	239	206	196	218	152	243
ENSRNOG00000000532	2446.0032	2145.0017	2284.9988	2342.003	2233.9981	2575.0014
ENSRNOG00000000536	100	79	85	88.9429	89.3972	80.2452
ENSRNOG00000000540	290	235	283	269	288	286
ENSRNOG00000000541	2658	2360	2651	2672	2557	3204
ENSRNOG00000000542	10	1	3.999998	6	7	7.999997
ENSRNOG00000000543	100.513	75	107.221	86.291	74	101.354
ENSRNOG00000000546	179	153	189	168	142	226
ENSRNOG00000000547	124	129	148	142	128	177
ENSRNOG00000000549	1833	1635	1781	1895	1755	2139
ENSRNOG00000000551	131	108	106	117	106	122
ENSRNOG00000000552	27.00004	13	18.99998	34	22.00003	18.00003
ENSRNOG00000000556	0	0	0	1	0	0
ENSRNOG00000000557	4369.0003	4061.9996	4369	4578	4419.999	5603
ENSRNOG00000000559	1	1	2	5	0	0
ENSRNOG00000000560	584.99998	444	564	521	566.9996	655.9996
ENSRNOG00000000561	470	432.99963	450	449.00000397357	415.00014	461.99998
ENSRNOG00000000562	18	27	24	14	28	18
ENSRNOG00000000563	138.0002	117	109	113	98	127
ENSRNOG00000000564	2	3	1	5	5	3
ENSRNOG00000000565	1197	1144	1119	1182	1000	1151
ENSRNOG00000000566	267	241	315	245	258	391
ENSRNOG00000000567	2307.25	1930.94	2182.29	2048.45	2017.13	2131.35
ENSRNOG00000000568	264.176	225.028	235.502	231.2	197.56	288.719
ENSRNOG00000000569	38	36	50	41	37	48
ENSRNOG00000000571	12422	10628	11698	11000	10665	11394
ENSRNOG00000000572	305.888	284.373	311.464	270.966	244.991	284.026
ENSRNOG00000000574	0	0	0	2.00381	1.00124	1.0008
ENSRNOG00000000576	679	581	676	738	702	745
