gene	DMSO1_24	DMSO1_24	DMSO1_24	DMSO1_24	DMSO1_24	DMSO1_24
ENSRNOG00000000588	317	292.0001	326	313.9998	314	239.9997
ENSRNOG00000000589	14.9122	13.5887	14.6412	13.2308	10.6966	7.3441
ENSRNOG00000000590	15.8446	12.0686	11.9766	14.2533	12.8219	10.7469
ENSRNOG00000000593	1401.058	1141.7	1340.19	1247.12	1065.660139934	980.884
ENSRNOG00000000595	80	108	125	115	81	90
ENSRNOG00000000596	896.0008619	876.00036	977.9996	993.9996	748.99961	740.9998
ENSRNOG00000000597	2.76476	0	0	0	2.76444	1.58091
ENSRNOG00000000598	178.235	126	147	130	112.236	97.4191
ENSRNOG00000000599	5559	7030	7171	6795	6259	5929
ENSRNOG00000000604	2404	2225	2651	2589	2372	2338
ENSRNOG00000000605	10	7	5	11	4	1
ENSRNOG00000000606	1	1	3	1	2	1
ENSRNOG00000000607	0	1	0	0	1	0
ENSRNOG00000000609	323.188	273.137	332.123	307.963	269.258	270.148
ENSRNOG00000000610	2755	2119	2572	2400	2083	2021
ENSRNOG00000000611	671	530	494	519	496	505
ENSRNOG00000000613	1072	732	846	875	767	758
ENSRNOG00000000614	1740.996	2012.998	2270	2142.997	1689.998	1529.997
ENSRNOG00000000618	2	2	0	1	1	4
ENSRNOG00000000620	2	0	2	1	3	0
ENSRNOG00000000622	5594	3879	5144	4996	4196	4138.77
ENSRNOG00000000630	0	0	0	0	0	0
ENSRNOG00000000632	377	275.99997	350.00001	291.99963	296.9995	281.00028
ENSRNOG00000000633	772.6495	788.2643	859.2013	889.33315	699.311107	723.90195
ENSRNOG00000000634	729	634	751	745	616	635
ENSRNOG00000000636	37	37	37	32.99999	29.00001	33
ENSRNOG00000000638	150.976	130.464	126.446	122.447	96.0106	102.791
ENSRNOG00000000639	290	230	293	252	276	167
ENSRNOG00000000640	275	191	261	212	153	188
ENSRNOG00000000641	365.627	282.767	330.245	302.304	270.646	231.544
ENSRNOG00000000645	1831	2071	2339	2212	1903	1794
ENSRNOG00000000648	1999	2037	2072	2144	1676	1445
ENSRNOG00000000650	0	0	0	0	0	0
ENSRNOG00000000653	15	16	25	17	12	23
ENSRNOG00000000655	100.4381	95.6607	106.94	125.527200048771	87.4716	73.3555
ENSRNOG00000000657	728	562.0001	617	611	459	378
ENSRNOG00000000658	9703.99616912	8928.0021837	8803.0053364	8769.99747834	7538.999267	7006.995483536
ENSRNOG00000000661	331	317	301	282.0003	245	217.0003
ENSRNOG00000000662	120	80	87	99	75	85
ENSRNOG00000000663	795	730	754	739	568	631
ENSRNOG00000000664	811	662	729	723	600	543
ENSRNOG00000000665	1520.001	1467	1791	1693.001	1327	1249
ENSRNOG00000000691	0	0	0	0	0	1
ENSRNOG00000000692	282	285	353	287	285	266
ENSRNOG00000000693	94.9472	5	8	7	5	5
ENSRNOG00000000695	578	566	518	518	444	406
ENSRNOG00000000697	1552	1759	2179	2071	1553	1457
ENSRNOG00000000699	79	78	81	68	68	58
ENSRNOG00000000700	290	448	581	484	377	356
ENSRNOG00000000701	2146	1402	1744	1698	1372	1405
ENSRNOG00000000702	1185	845	1006	958	855	869
ENSRNOG00000000704	212.488	226.492	284.137	283.802	179.649	174.883
ENSRNOG00000000708	4	1	5	4	3	7
ENSRNOG00000000713	0	0	0	0	0	0
ENSRNOG00000000715	1	1	0	0	0	0
ENSRNOG00000000716	1	3	1	1	1	3
ENSRNOG00000000718	1734	1625	1927	1810	1815	1791
ENSRNOG00000000720	309	235	297	308	290	227
ENSRNOG00000000723	589.9284	163.346	216.331	201.02414	231.62085	211.74
ENSRNOG00000000726	0	0	0	0	0	0
ENSRNOG00000000728	404	456	563	555	428	460
ENSRNOG00000000729	384	314	365.0441	409.044500027432	314.0465	311.13
ENSRNOG00000000746	0	0	0	0	0	0
ENSRNOG00000000747	0	0	0	0	0	0
ENSRNOG00000000748	3.47589	5.2835	4.86621	1.75521	3.38763	1.59805
ENSRNOG00000000749	0	0	0	0	0	0
ENSRNOG00000000759	0	0	0	0	0	0
ENSRNOG00000000763	105.1848	99.2494	106.165	96.3153	83.1399	77.1306
ENSRNOG00000000765	0	0	0	0	0	0
ENSRNOG00000000767	0	0	0	0	3	0
ENSRNOG00000000768	1	0	0	0	0	0
ENSRNOG00000000774	1876.24696	1680.2311	1789.8866	1899.9294	1572.9629	1451.9575
ENSRNOG00000000775	98	93	114	102	80.7045	69
ENSRNOG00000000777	370.31485	228.36285	260.94173	241.10858	202.89569	217.6063
ENSRNOG00000000778	168.32714	161.33137	181.70353	179.40866	158.13766	161.28081
ENSRNOG00000000779	223.9998	195.00002	243.0004	199.99948	213.00043	235.00029
ENSRNOG00000000780	609.0005	532.0003	720.99961	749.00019	576.0002	498.99961
ENSRNOG00000000781	57.99997	38.99999	58.00002	61	35	45.00004
ENSRNOG00000000782	1	4	1	4	3	5
ENSRNOG00000000783	0	0	0	0	0	0
ENSRNOG00000000785	251.88365	259.02287	292.770677	280.44272	214.35746	247.6711
ENSRNOG00000000786	266.00056	186.99963	269.00016	257.00025	165.00003	171.00004
ENSRNOG00000000787	14.9609	5.7773	5.61069	6.04545	16.3636	9.78016
ENSRNOG00000000795	113	125.088	120.941	132.026	79.9526	114.953
ENSRNOG00000000796	4355.002	3559.004	4315.001	4365	3586.003	3524.998
ENSRNOG00000000798	1058.9995	996.99979	1279.99847	1101.0027	925.00017	1078.00269
ENSRNOG00000000799	3590.003	2848.9979	3261.9961	3166.0014	2515.00032	2562.00077
ENSRNOG00000000800	972.00064	1027.99995	1202.00053	1132	965	1031.9991
ENSRNOG00000000801	83	83	90	107	67	77
ENSRNOG00000000802	194	149	143	131	97	84
ENSRNOG00000000804	611.5766	539.38941	668.20122	560.36359	552.60104	511.12142
ENSRNOG00000000805	19629.4	18384.9	18175.9	20726.6	15693.5	14863.2
ENSRNOG00000000808	1540	1104	1448	1346	1225	1139
ENSRNOG00000000809	691.000031	544.0003557	574.9996959	597.99983026	518.9989632	452.999195
ENSRNOG00000000811	8.17985	6.12292	2.03984	2.03323	0	3.04937
ENSRNOG00000000812	695.7333	591.58349	624.35095	572.70632	481.61836	424.46769
ENSRNOG00000000814	0	0	0	0	0	0
ENSRNOG00000000815	603	507	603	629	530	475
ENSRNOG00000000816	698	715.0002	816.999934	857.0003408465	690.9998	751
ENSRNOG00000000818	136.9996	149.0004	163.00042	161.56138	100.00006	130.00007
ENSRNOG00000000823	520	403	519	415	378	412
ENSRNOG00000000824	277.9997	367.0001	452.000178338	418.999744	343.9996	322.0001
ENSRNOG00000000825	2	0	2	2	6	1
ENSRNOG00000000826	4502.99676	3299.99674	3781.00174	3460.00081	2941.9973	2830.00248
ENSRNOG00000000827	847	535.0003	600.9995	540.0001	439.0002	432.9997
ENSRNOG00000000831	395.0003	325.0001	352	364.9997	288	286.0005
ENSRNOG00000000833	689	715	638.013	698	646.0004	596.0004
ENSRNOG00000000836	3	4	6	5	8	7
ENSRNOG00000000837	0.0350141	0.0499733	0.0135968	0.0815234	0.0044144	0.0146321
ENSRNOG00000000838	0	0	0	0	0	0
ENSRNOG00000000839	271.09597	235.41919	330.99962	301.99965	271.9997	228.4582
ENSRNOG00000000840	662.90414	613.58053	643.0001	637.99955	544.99977	498.542
ENSRNOG00000000841	4915.2953	4314.60672	4726.92638	4776.20088	3695.874	3425.54466
ENSRNOG00000000842	1603.9958	1311.0018	1739.0015	1653.9984	1379.9998	1378.9996
ENSRNOG00000000843	1	1	2	0	0	1
ENSRNOG00000000844	1	1	0	1	0	0
ENSRNOG00000000846	0	0	0	0	1	0
ENSRNOG00000000847	2271.9987	1557.9997	1899.996	1775.00205	1550.99604	1632.00119
ENSRNOG00000000848	378	336.0002	403	343	271.9999	278.9999
ENSRNOG00000000850	16.00001	27.00003	18	21.99999	26	19.00001
ENSRNOG00000000851	6175.57	5189.87	5656.986	5300.902	4237.33	3818.839
ENSRNOG00000000852	8103.9967	9570.99345	7831.99837	7810.00034	8077.00152	7980.00046
ENSRNOG00000000853	53.00004	36	48.99996	36.99996	41.99997	38.99998
ENSRNOG00000000854	14	12	14	9	8	6
ENSRNOG00000000855	10	5	9	4	9	7
ENSRNOG00000000857	11	17	25.00002	19	26.00004	17
ENSRNOG00000000858	53.00003	61.00001	86.99997	49.00001	63	67.99996
ENSRNOG00000000860	340	410	428	343	320	275
ENSRNOG00000000861	11.4005	12.2508	14.5941	8.10879	17.5438	8.15239
ENSRNOG00000000866	561	591	805	793	627	585
ENSRNOG00000000867	1563.0019493	1890.99985099	2193.00380113079	2031.99661614504	1709.99640094869	1660.004951
ENSRNOG00000000869	505	515	548	512	523	450
ENSRNOG00000000871	19.0051	20.0036	17.0061	15.0015	15.0017	9.00008
ENSRNOG00000000873	0	0	0	0	0	0
ENSRNOG00000000875	7992.0013	5210.997	6038.9982	3970.0003	4249.0013	3456.0001
ENSRNOG00000000878	1	3	3	0	0	1
ENSRNOG00000000879	838.476	659.023	784.114	716.039	625.561	647
ENSRNOG00000000881	744.348	541.039	624.741	592.442	496.401	537.406
ENSRNOG00000000885	641	749	529	581	487	484
ENSRNOG00000000886	0	0	0	0	0	0
ENSRNOG00000000887	0	1.00072	0	0	0	0
ENSRNOG00000000888	1164	827	1014	1047	932	878
ENSRNOG00000000889	2.00904	1.07778	1.00272	4.00394	1.002426796	3
ENSRNOG00000000891	396.289	379.942	460.411	387.144	317.966	391.469
ENSRNOG00000000893	911	836.00048	976	948	757	740
ENSRNOG00000000894	3859.0041	3891.99700023763	3515.7614	3773.739	3256.002	3000.0028
ENSRNOG00000000895	377	295	345	306	267	281
ENSRNOG00000000896	0	0	0	1.00007	0	0
ENSRNOG00000000897	0	0	0	3	1	2
ENSRNOG00000000900	260.9997	333.9998	367.999	365.0005	283.9997	305.0007
ENSRNOG00000000901	318	283	377.0003	350	247.9998	224.0002
ENSRNOG00000000902	944	850	962	1045	812	796
ENSRNOG00000000903	432	413	539	497	375	361
ENSRNOG00000000904	0	0	1	1	0	1
ENSRNOG00000000905	12	16	17	17	15	10
ENSRNOG00000000906	86	50	49	65	59	50
ENSRNOG00000000907	14	20	18	15	17	10
ENSRNOG00000000909	431.9995	345.0003	410.0003	443.0002	359.0002	341
ENSRNOG00000000913	581.0387	486.0855	580	591.9999	446	513.0344
ENSRNOG00000000916	9.8754	22.7817	11.4804	21.0575	0	44.5624
ENSRNOG00000000917	97	106	112	111	92	77
ENSRNOG00000000918	781.008	605.384	806.467	719.334	672.797	715.118
ENSRNOG00000000920	80	35	45	45	49	35
ENSRNOG00000000921	1820	1455	1682	1808	1592	1556
ENSRNOG00000000922	442.9993	321.0004	380.9997	325.9993	309	285.99997
ENSRNOG00000000923	2644.00085	2165.99695	2618.99544	2650.9963	2105.99968	1994.00259
ENSRNOG00000000924	560.9999	595.9995	760.000000114389	712.9999	595.9999	549
