gene	DMSO1_24	DMSO1_24	DMSO1_24	DMSO1_24	DMSO1_24	DMSO1_24
ENSRNOG00000000001	4	5	20	17	4	10
ENSRNOG00000000007	1	1	0	2	7	1
ENSRNOG00000000008	41.1569	59.4878	31.3148	50.4341	23.1356	18.3722
ENSRNOG00000000009	2	0	1	1	0	1
ENSRNOG00000000010	2	5	7	5	7	4
ENSRNOG00000000012	16.5649	30.0969	21.5201	45.0173	27.0613	43.3088
ENSRNOG00000000017	29	44	49	52	48	32
ENSRNOG00000000021	264	249.501	282.577	278.532	195.904	159
ENSRNOG00000000024	394	404	464	402	349	268
ENSRNOG00000000033	518	517	582	526	456	449
ENSRNOG00000000034	187	142	174	201	169	172
ENSRNOG00000000035	0	0	0	0	1	0
ENSRNOG00000000036	181	164	207	269	169	169
ENSRNOG00000000040	725.99957	835.0005	900.00027	870.99969	733.9997	701.99946
ENSRNOG00000000041	58.1719	64.0338	60	90.1533	56.0647	42.1081
ENSRNOG00000000042	1638.9989	1499.002	1734.998	1764.0004	1454.999	1373.9962
ENSRNOG00000000043	1109.83	1241.97	1207	1534.85	1140.94	1031.89
ENSRNOG00000000044	493	506	604	557	444	456
ENSRNOG00000000047	1092	1090	1333	1229	1032	886
ENSRNOG00000000048	882	1012	1123	1020	926	859
ENSRNOG00000000053	218.702	179.331	190.86616	172.91478	144.689	132.332
ENSRNOG00000000054	1333	1091	1358	1265	1045	1003
ENSRNOG00000000055	1	0	0	0	0	0
ENSRNOG00000000060	38	34	46	36	23	19
ENSRNOG00000000062	630	554	700	579	398	424
ENSRNOG00000000064	4973	3246	4205	3965	3314	3551
ENSRNOG00000000065	0	0	0	0	0	0
ENSRNOG00000000066	529	418	508	487	392	405
ENSRNOG00000000068	3754	3363	4202	4349	3693	3541
ENSRNOG00000000070	970.204	863.31	1021.78	895	890.298	937
ENSRNOG00000000073	215	154	162	166	119	136
ENSRNOG00000000075	488	364	454	413	340	360
ENSRNOG00000000081	1350	1465	1636	1594	1273	1266
ENSRNOG00000000082	3769.509	3677.389	4527.943	4632.469	4057.208	3942.043
ENSRNOG00000000091	134.669	118.195	118.335	189.386	125.304	119.824
ENSRNOG00000000095	777	724	831	841	675	610
ENSRNOG00000000096	216	201	246	206	155	137
ENSRNOG00000000097	1	0	1	2	0	1
ENSRNOG00000000098	1663	1392	1641	1556	1349	1178
ENSRNOG00000000104	712	558	726	639	570	635
ENSRNOG00000000105	267	318	372.99952	378.99998	293	244
ENSRNOG00000000108	677	587	645	656	586	620
ENSRNOG00000000109	0	0	0	0	0	0
ENSRNOG00000000111	222	130	219	180	172	169
ENSRNOG00000000112	688.54	626.61	705.881	640.853	555.378	588.199
ENSRNOG00000000113	163.776	133.929	180.974	166.086	170.841	161.747
ENSRNOG00000000121	366.5872	307.3128	336.6473	326.1594	301.5159	273.929
ENSRNOG00000000122	1332	1191	1522.84	1468	1284	1269
ENSRNOG00000000123	1019	746	850	768	752	713
ENSRNOG00000000124	0	0	0	0	0	0
ENSRNOG00000000127	2154.002	1888.997	1903.998	1849.999	1532.999	1500.997
ENSRNOG00000000129	25	36	38	27	24	24
ENSRNOG00000000130	667	496.9997	580.9997	600.9997	407.0003	397.9998
ENSRNOG00000000133	1187	1009	1151	1298	1104	1057
ENSRNOG00000000137	3	3	5	5	1	5
ENSRNOG00000000138	12	18	16	15	9	8
ENSRNOG00000000142	305	449	524	521	367	314
ENSRNOG00000000145	857	749	938	755	707	682
ENSRNOG00000000150	401	436	580	437	436	417
ENSRNOG00000000151	273	218	274	275	196	154
ENSRNOG00000000155	496	461	493	542	461	436
ENSRNOG00000000156	98.9999736	165.9994849	223.00030165998	265.9999233	198.9996474	200.9998865
ENSRNOG00000000157	670	567	647	679	565	607
ENSRNOG00000000158	56	34	50	46	31	48
ENSRNOG00000000161	412	326	445	419	317.0000063	330
ENSRNOG00000000164	4355	2845	3489	3598	2839	2657
ENSRNOG00000000165	10	10.0000000331256	13.99997	21	6	7
ENSRNOG00000000166	141	88	88	88	79	91
ENSRNOG00000000167	3	4	2	3	6	5
ENSRNOG00000000168	289	294	318	324	263	247
ENSRNOG00000000169	211.062	185.314	154.776	159.834	156.07	127.772
ENSRNOG00000000170	1228	928	1201	1113	952	962
ENSRNOG00000000172	197	142.00022	224	206	178	177
ENSRNOG00000000175	606	535	519	566	456.9996	404.0002
ENSRNOG00000000177	94	85	95	100	96	77
ENSRNOG00000000184	21	24	31	25	13	14
ENSRNOG00000000185	1184	1184	1390	1418	1283	1264
ENSRNOG00000000186	788	724	855	804	615	589
ENSRNOG00000000187	60	82	94	109	82	68
ENSRNOG00000000190	562	566	492	550	511	395
ENSRNOG00000000195	429.139	316.599	405.691	521.286	313.977	396.271
ENSRNOG00000000196	9.30556	9.44726	12.7032	12.911	4.46136	7.6437
ENSRNOG00000000199	0	0	0	0	0	0
ENSRNOG00000000201	32.9731	25.0069	40.7716	24.8401	26.3121	24.6647
ENSRNOG00000000204	1478.9733	1250.9943	1660.983	1511.999	1249.9951	1263.0007
ENSRNOG00000000219	1116	1069	1225	1210	956	938
ENSRNOG00000000221	583	510	545	517	447	514
ENSRNOG00000000230	396.147	419.633	523.287	507.584	363.791	357.336
ENSRNOG00000000231	479	535	553	541	425	391
ENSRNOG00000000233	37.331	45.4596	32.2196	37.9471	9.00478	27.8515
ENSRNOG00000000236	1793	1597	1981	1929	1350	1181
ENSRNOG00000000237	220	228	266	258	245	235
ENSRNOG00000000239	166	119	92	121	105	136
ENSRNOG00000000244	172	119	204	136	138	98
ENSRNOG00000000245	187	146.9999	156.9999	149	167.0001	131.9999
ENSRNOG00000000246	1461	1246	1384	1416	1136	1178
ENSRNOG00000000247	724	689	737	739	634	611
ENSRNOG00000000248	2265	2525	2838	3069	2489	2477
ENSRNOG00000000249	143	145	196	161	115	151
ENSRNOG00000000250	553	327	360	418	325	288
ENSRNOG00000000251	2	0	1	1	1	1
ENSRNOG00000000252	0	0	1	0	1	0
ENSRNOG00000000257	18	18	14	18	13	10
ENSRNOG00000000258	444	418	504	469	379	439
ENSRNOG00000000262	438	419	459	491	391	405
ENSRNOG00000000264	645	552	588	595	499	434
ENSRNOG00000000274	14	7	12	15	14.00003	8
ENSRNOG00000000275	8	29	28	29	22	15
ENSRNOG00000000277	430	420	456	499.000000013006	341	319
ENSRNOG00000000279	714	645	711	687	611	608
ENSRNOG00000000281	262	257	258	270.9999	225.0003	219.9996
ENSRNOG00000000282	0	0	0	0	0	0
ENSRNOG00000000283	527	375	444	442	317	294
ENSRNOG00000000288	710	995	1202	1248	982	966
ENSRNOG00000000299	1090.9958	954.9996	1036.0025	937.9996	740.0002	725.0002
ENSRNOG00000000302	1027.9997	1009.9998	1131.9973	1174.0021	996	938
ENSRNOG00000000303	245	210	201	219	160	184
ENSRNOG00000000304	5946	5338	6319	6181	5147	5373
ENSRNOG00000000306	349	240	255	271	221	256
ENSRNOG00000000307	383	378	444	469	334	369
ENSRNOG00000000308	263.513	235.135	281.312	256.875	193.409	205.001
ENSRNOG00000000312	516	565	622	573	505	488
ENSRNOG00000000314	1642.997	1818.659	2119.998	2016.996	1631	1665
ENSRNOG00000000316	257	305	313	300	244	219
ENSRNOG00000000320	0	0	0	0	0	0
ENSRNOG00000000321	92	81	168	145	88	92
ENSRNOG00000000322	502	406	517	500	416	379
ENSRNOG00000000323	158	186.00024	174.00033	165	127.00046	139
ENSRNOG00000000327	438	376	459	416	379	337
ENSRNOG00000000335	7	14	13	12	17	13
ENSRNOG00000000340	2547.9957	2107.9956	2697.0012	2653.9997	1841.001	1782.9989
ENSRNOG00000000341	2961.59	3998.94	4007.59	4257.62	3434.98	3428.15
ENSRNOG00000000345	0	0	0	0	0	0
ENSRNOG00000000368	3.9999992	4.0000029	5.99999795	5	7.00000127	4
ENSRNOG00000000373	432	476	503	519	358	328
ENSRNOG00000000376	0	0	0	0	0	0
ENSRNOG00000000378	445.122	364.843	473.594	488.889	360.29	353.481
ENSRNOG00000000383	1617	1598.00000005947	1567	1486	1365.9969354	1185.00339973
ENSRNOG00000000384	0	1	1	1	1	0
ENSRNOG00000000386	40	52	63	62	53	43
ENSRNOG00000000387	539.722	377.7557	435.663	451.501	380.4133	449.978
ENSRNOG00000000390	181.5	147	172.5	203.5	153	133
ENSRNOG00000000392	787.0004	575.0001	657.0004	675.0002	595.0004	611.0003
ENSRNOG00000000394	32.2495	23.985	41.6255	30.8956	29.27594	44.37305
ENSRNOG00000000395	1271	1067	1241	1153	892	900
ENSRNOG00000000396	933.000000176787	1066.0007	1253.0039	1269	1191.9951	1153
ENSRNOG00000000397	2225	1647	1755	1787	1452	1365
ENSRNOG00000000398	442	320	386	442	308	294
ENSRNOG00000000401	0	0	0	0	0	0
ENSRNOG00000000405	0	0	1	0	0	0
ENSRNOG00000000406	57	127	130.0002	137	91	76.00002
ENSRNOG00000000407	213	231	270	231	197	203
ENSRNOG00000000408	621.964	691.455	779.282	740.323	683.229	632.383
ENSRNOG00000000410	0	0	0	0	1	0
ENSRNOG00000000411	1057.88	942.39	1216.25	1145.93	956.1	941.155
ENSRNOG00000000412	45	17	41	22	22	27
ENSRNOG00000000413	45319	37675	45555	46387	33923	30849
ENSRNOG00000000414	138	136.99959	159	157	111	114.99969
ENSRNOG00000000415	667	517	613	620	556	483
ENSRNOG00000000417	6227.83	4562.74	4905.82	4731.89	3895.23	3725.82
ENSRNOG00000000418	232	262	345	343	225	226
ENSRNOG00000000419	30.95216	5.60723	2.9946	26.61547	0	16.21758
ENSRNOG00000000420	600.00036	526.9995	673.0002	593.0002	516.9997	552.99958
ENSRNOG00000000421	884	773	980	886	723	725
ENSRNOG00000000422	235	190	207	202	150	183
ENSRNOG00000000423	111	97	133	133	77	99
ENSRNOG00000000428	2	8	1	8	7	9
ENSRNOG00000000431	939.00028	1216.99628	1221.99908	1182.995945983	1022.99953	941.99993
ENSRNOG00000000432	239	193	236	213	150	164
ENSRNOG00000000433	20.00003	28	25	9	7	19.99996
ENSRNOG00000000435	834.00036	731.99991	701.99987	736.9998964	667.00039	636.99966
ENSRNOG00000000436	31.01852	35.99995	19	30.00003	23.99996	15.99998
ENSRNOG00000000437	1970.98362	1705.9972	1918.00496	1816.99806	1448.00276	1481.99623
ENSRNOG00000000438	1003.9998	788	1044	971.0001	792.00047	746
ENSRNOG00000000439	63.00007	33.999974	45.99999	54.99994	26.99998	26.99997
ENSRNOG00000000440	875.00002	905	1014	1028	755.99957	827
ENSRNOG00000000441	28	40	32	46	39	35
ENSRNOG00000000442	255	364	429	380	342	334
ENSRNOG00000000443	59.9643	125.3284	69.9662	91.3452	98.1108	78.6622
ENSRNOG00000000446	0	0	0	0	0	0
ENSRNOG00000000451	3	5	4	8.000003	4.000002	2
ENSRNOG00000000454	1	2	1	0	1	1
ENSRNOG00000000455	229.536	154.525	201.552	173.496	155.811	170.735
ENSRNOG00000000456	139.11482	122.02932	135.35152	127.03723	97.01343	109.0355
ENSRNOG00000000457	802.94928	273.56594	326.6071	273.5302	279.939	256.8289
ENSRNOG00000000459	192.00026	128	182.00014	143.0001	139	113.99952
ENSRNOG00000000461	3845.9993	3479.9968	3660.0008	3463.0016	3106.00352	2922.9973
ENSRNOG00000000463	34.00002	86	73.00002	84.99996	78.2029	58.3796
ENSRNOG00000000464	1128.00004	1013.99963	1205.00356	1113.00008	889.99971	886.9997
ENSRNOG00000000465	2150.0025	2658.00005	3173.9986	3043.00392	2420.00437	2276.0026
ENSRNOG00000000466	563.00007	512.00026	570.99998	597.99981	486.99956	503.99984
ENSRNOG00000000467	809	677	937.99965	826	699	698
ENSRNOG00000000470	1985.2039	1883.4641	2163.1884	2267.3731	1743.67421	1629.2274
ENSRNOG00000000471	72	78	109	122	64	80
ENSRNOG00000000473	929.9999	665.00026	840.9998	789.00017	610.99968	556.00025
ENSRNOG00000000474	940.694	996.73576	1161.30669	1113.06422	893.15242	913.62432
ENSRNOG00000000476	773	712	849	867	590	577
ENSRNOG00000000477	584.38817	537.82111	625.78356	544.1853	525.101000337901	464.14065
ENSRNOG00000000479	271	238	262	240	237	210
ENSRNOG00000000480	810.00022	503.9996	534.9999	532.00041	491.0001	448.0005
ENSRNOG00000000481	1064.9998	807.9999	1077.9997	1062.9998	937.0004	953.0001
ENSRNOG00000000483	1468.9999	1396.0029	1299.9962	1265.9984	1128.0003	969.9993
ENSRNOG00000000485	965.00024	912.00014	1081.9953	1074.9987	777.00042	766.9999
ENSRNOG00000000486	2	5	2	6	12	2
ENSRNOG00000000488	916	969.846	1045.89	983.705	713	729
ENSRNOG00000000490	2381.42	1894.47	2494.75	2504.11	2115.96	2119.1
ENSRNOG00000000491	0	0	8	1	0	0
ENSRNOG00000000493	536.199	390.44	424.434	446.742	352.105	354.695
ENSRNOG00000000495	1070	970	1090	937	856	656
ENSRNOG00000000498	1224	1479.003	1360	1563.002	1203	1124
ENSRNOG00000000499	0	2	3	1	1	2
ENSRNOG00000000500	121	67	47	54	33	26
ENSRNOG00000000501	616	688.0002	878	818	596	533
ENSRNOG00000000502	178.502	75.5233	93.1944	100.43	76.5776	78.0072
ENSRNOG00000000503	926.6965	997.0086	864.5629	981.151	700.2451	670.8854
ENSRNOG00000000504	415	358	357	389	341	352
ENSRNOG00000000505	4842.77	6942.81	9297.58	8381.29	5863.83	5516.83
ENSRNOG00000000506	1515.48	1152.33	1262.07	1239.99	1021.24	888.796
ENSRNOG00000000507	1	0	2	4	0	3
ENSRNOG00000000508	0	0	0	0	0	0
ENSRNOG00000000510	0	0	0	0	0	0
ENSRNOG00000000511	695.99974	599	693	692.00028	589	516.99964
ENSRNOG00000000512	101	116.000048212	130	111	98.9999538	101
ENSRNOG00000000513	1560	1798.996	2036	1969.001	1654	1595
ENSRNOG00000000515	20.9087	29.2657	27.4552	26.6769	17.913	27.1235
ENSRNOG00000000516	0	0	3	1	0	1
ENSRNOG00000000517	385.00012	455.99996	385.00029	357.0005	352.0002	332.0001
ENSRNOG00000000519	1172.67773	1076.59449	1224.56968	1158.58982	974.7145832	1071.8221
ENSRNOG00000000520	2781.236	2380.707	2784.301	2859.997	2585	2740
ENSRNOG00000000521	13358	1896.328	2166.343	1830.004	1797.999	1633.998
ENSRNOG00000000522	62.3904	99.0509	88.7741	113.384	80.8224	89.8604
ENSRNOG00000000523	560	441	587	576	449	419
ENSRNOG00000000524	1296.1448	1220.99949	1317.9993	1365.99957	1192.00009	1140.0005
ENSRNOG00000000525	165.00042	208.9998	251.99969	213.0001	181.9998	168.99955
ENSRNOG00000000527	5508.99326	5341.00036	6529.99695	6864.00673	5598.99895	5547.9997
ENSRNOG00000000528	18	17	25	18	21	11
ENSRNOG00000000529	253	239	253	242	184	193
ENSRNOG00000000531	288	222	262	284	254	252
ENSRNOG00000000532	2092.004	2132.998	2369.002	2229.004	1924.002	1769.0025
ENSRNOG00000000536	72	103.316	73	84	77	68.3318
ENSRNOG00000000540	223	209	234	208	170	159
ENSRNOG00000000541	2633	1991	2494	2512	2185	2244
ENSRNOG00000000542	10	4	10	6	10	13
ENSRNOG00000000543	108.355	158.802	151.764	128.517	120.597	108.08
ENSRNOG00000000546	181	142	180	171	158	115
ENSRNOG00000000547	77	74	126	101	78	93
ENSRNOG00000000549	2069	1732	2190	1946	1843	1727
ENSRNOG00000000551	69	68	72	82	43	49
ENSRNOG00000000552	15	19.00001	24	31	20.00003	19
ENSRNOG00000000556	5	0	0	0	0	0
ENSRNOG00000000557	3475.0004	3231.0002	3866.9997	3876.9997	3231.9997	3412.9964
ENSRNOG00000000559	1	1	3	1	1	0
ENSRNOG00000000560	542.0001	645	759.99961	676.0005	597	495
ENSRNOG00000000561	451.99979	500.000187	456.999716	485	403.000000021911	410.9996
ENSRNOG00000000562	21	23	22	26	17	15
ENSRNOG00000000563	142	213.9996	240.9997	220.0004	170.0002	199.9995
ENSRNOG00000000564	1	3	2	9	0	0
ENSRNOG00000000565	1348.997	1129	1198	1176	1055	992
ENSRNOG00000000566	228	215	282	269	200	168
ENSRNOG00000000567	2566.44	2704.48	3128	3071.23	2460.49	2455.06
ENSRNOG00000000568	245.557	241.131	268.1	293.188	241.084	221.166
ENSRNOG00000000569	115	144	146	157	120	97
ENSRNOG00000000571	13528	12532	12941	13159	12108	12587
ENSRNOG00000000572	212.968	281.173	304.824	315.03	237.376	213.838
ENSRNOG00000000574	0	0	2.0041	0	0	0
ENSRNOG00000000576	640	590	655	657	508	544
ENSRNOG00000000579	1139.97	2025.95	2656	2924	2528	2638.98
ENSRNOG00000000580	9	6	9	5	3	7
ENSRNOG00000000581	768	530.0003	538.0001	652.9996	486.9996	525.9994
ENSRNOG00000000582	4	0	0	3	0	2
ENSRNOG00000000583	802	717	798	593	602	613
ENSRNOG00000000585	1094	927	1276	1133	1061	1129
ENSRNOG00000000586	559	463	562	565	414	384
ENSRNOG00000000587	233	162	213	210	194	201.993
