base_pfba	1.209	1.174	1.274	1.187	1.175	1.434	1.252	1.202	1.219	1.446	1.228	1.354	1.252	1.241	1.178	1.19	1.372	1.164	1.263	1.43	1.413	1.259	1.325	1.162	1.159	1.263	1.226	1.286	1.417	1.162	1.34	1.401	1.264	1.169	1.196	1.259	1.303	1.376	1.205	1.16	1.179	1.199	1.221	1.365	1.352	1.26	1.202	1.175	1.379	1.174	1.28	1.175	1.277	1.21	1.191	1.411	1.175	1.24	1.426	1.178	1.388	1.182	1.365	1.167	1.247	1.443	1.175	1.219	1.437	1.257	1.292	1.318	1.347	1.228	1.334	1.163	1.175	1.159	1.234	1.423	1.296	1.206	1.412	1.307	1.193	1.231	1.393	1.362	1.175	1.207	1.259	1.378	1.412	1.185	1.159	1.362	1.3	1.177	1.246	1.419	1.231	1.396	1.17	1.239	1.159	1.314	1.31	1.171	1.295	1.382	1.229	1.283	1.223	1.332	1.232	1.289	1.196	1.178	1.385	1.279	1.173	1.186	1.356	1.369	1.361	1.267	1.159	1.44	1.191	1.329	1.421	1.228	1.256	1.343	1.195	1.25	1.166	1.17	1.338	1.338	1.407	1.178	1.186	1.321	1.336	1.289	1.18	1.206	1.345	1.195	1.2	1.431	1.161	1.159	1.301	1.175	1.271	1.213	1.236	1.403	1.426	1.351	1.253	1.31	1.241	1.391	1.241	1.19	1.4	1.287
m9_gluc_aerobic	1.145	1.183	1.332	1.145	1.145	1.368	1.335	1.145	1.166	1.367	1.145	1.157	1.199	1.271	1.145	1.145	1.194	1.145	1.292	1.302	1.385	1.341	1.145	1.145	1.145	1.346	1.217	1.145	1.145	1.145	1.145	1.145	1.15	1.145	1.21	1.145	1.247	1.145	1.145	1.248	1.169	1.145	1.145	1.145	1.261	1.145	1.21	1.145	1.145	1.145	1.145	1.145	1.352	1.145	1.168	1.145	1.145	1.145	1.145	1.145	1.361	1.145	1.145	1.145	1.145	1.192	1.145	1.145	1.145	1.145	1.145	1.145	1.145	1.291	1.145	1.145	1.278	1.145	1.145	1.249	1.258	1.145	1.145	1.145	1.145	1.146	1.414	1.145	1.145	1.145	1.145	1.145	1.199	1.145	1.145	1.145	1.145	1.329	1.145	1.18	1.145	1.145	1.226	1.254	1.145	1.145	1.175	1.265	1.145	1.145	1.145	1.171	1.145	1.145	1.213	1.145	1.145	1.259	1.145	1.145	1.145	1.145	1.207	1.145	1.145	1.145	1.302	1.406	1.145	1.401	1.145	1.231	1.145	1.145	1.211	1.145	1.145	1.145	1.155	1.165	1.145	1.145	1.325	1.153	1.145	1.307	1.145	1.145	1.145	1.145	1.195	1.145	1.258	1.145	1.145	1.145	1.206	1.145	1.145	1.145	1.145	1.145	1.364	1.145	1.351	1.145	1.145	1.281	1.145	1.386
m9_gluc_anaerobic	1.304	1.145	1.166	1.182	1.142	1.142	1.142	1.142	1.363	1.261	1.142	1.289	1.142	1.142	1.142	1.142	1.142	1.189	1.172	1.142	1.334	1.142	1.142	1.142	1.357	1.345	1.28	1.142	1.142	1.142	1.142	1.142	1.142	1.185	1.411	1.142	1.142	1.142	1.171	1.142	1.142	1.178	1.142	1.379	1.208	1.15	1.142	1.142	1.401	1.142	1.218	1.142	1.374	1.142	1.142	1.357	1.142	1.142	1.412	1.142	1.297	1.142	1.142	1.142	1.331	1.165	1.142	1.187	1.142	1.142	1.142	1.385	1.331	1.142	1.142	1.142	1.142	1.353	1.142	1.142	1.142	1.142	1.356	1.192	1.237	1.142	1.248	1.142	1.142	1.142	1.274	1.142	1.142	1.142	1.231	1.142	1.36	1.142	1.142	1.142	1.142	1.142	1.142	1.353	1.225	1.142	1.142	1.142	1.142	1.142	1.142	1.161	1.179	1.177	1.344	1.241	1.142	1.142	1.182	1.142	1.142	1.224	1.142	1.142	1.284	1.142	1.142	1.142	1.164	1.142	1.386	1.315	1.142	1.142	1.185	1.142	1.376	1.258	1.334	1.142	1.142	1.317	1.268	1.192	1.231	1.214	1.324	1.204	1.265	1.142	1.224	1.142	1.152	1.142	1.142	1.298	1.286	1.142	1.15	1.248	1.142	1.142	1.368	1.142	1.142	1.142	1.142	1.142	1.376	1.34
lb_aerobic	1.158	1.16	1.419	1.17	1.308	1.256	1.395	1.229	1.413	1.165	1.192	1.238	1.398	1.25	1.154	1.302	1.166	1.358	1.174	1.252	1.268	1.157	1.155	1.21	1.292	1.201	1.371	1.289	1.416	1.339	1.377	1.183	1.155	1.367	1.232	1.168	1.313	1.188	1.186	1.21	1.265	1.393	1.24	1.347	1.221	1.176	1.268	1.341	1.239	1.251	1.154	1.312	1.212	1.331	1.222	1.236	1.159	1.16	1.209	1.305	1.274	1.316	1.246	1.206	1.193	1.271	1.317	1.285	1.431	1.296	1.354	1.4	1.177	1.28	1.437	1.403	1.217	1.276	1.386	1.163	1.154	1.244	1.413	1.279	1.323	1.249	1.335	1.389	1.386	1.305	1.205	1.327	1.178	1.434	1.217	1.361	1.296	1.426	1.245	1.397	1.262	1.371	1.202	1.259	1.429	1.298	1.198	1.171	1.286	1.424	1.16	1.315	1.223	1.364	1.39	1.339	1.339	1.225	1.213	1.249	1.229	1.179	1.408	1.371	1.377	1.294	1.188	1.383	1.228	1.405	1.16	1.38	1.365	1.425	1.31	1.32	1.238	1.313	1.27	1.44	1.18	1.241	1.194	1.154	1.356	1.173	1.21	1.235	1.285	1.249	1.352	1.154	1.334	1.343	1.238	1.255	1.199	1.42	1.281	1.374	1.37	1.218	1.201	1.385	1.272	1.293	1.352	1.329	1.41	1.191
