	EX_mn2_e	EX_ca2_e	EX_adocbl_e	EX_h2o_e	EX_co2_e	EX_h_e	EX_zn2_e	EX_so4_e	EX_cu2_e	EX_mg2_e	EX_glyclt_e	EX_cl_e	EX_o2_e	EX_k_e	EX_for_e	EX_glyc_e	EX_nh4_e	EX_mobd_e	EX_cobalt2_e	EX_ni2_e	EX_ac_e
0	-0.013087665372698926	-0.0984956214674849	-0.004435485377069697	1000.0	1000.0	1000.0	-0.0064443823415721154	-10.265312257690308	-0.01340590647598644	-0.1641527390894897	0.017741941508276012	-0.09849562146748493	-707.0905309183476	-3.69338690434113	992.5151005915252	0.12757490228038132	-239.53885264238392	-0.0027249394468993205	-0.0004773616549312679	-0.006106251169329133	738.927608467727
1	-0.005416717849192317	-0.04076532946686819	-0.0018357569610483865	1000.0	1000.0	1000.0	-0.0026671984546174942	-14.668666028404584	-0.005548431353124048	-0.06793947174678175	0.0073430278441940135	-0.04076532946686821	-704.6290542470019	-1.5286175340676	987.2731862407624	0.05280065088862937	-188.1464165934397	-0.0011277968774153762	-0.0001975702558975922	-0.0025272528566900325	750.109058376652
2	-2.609709166458731e-05	-0.0001964024284544625	-8.844455077816065e-06	1000.0	1000.0	1000.0	-1.2850239664629617e-05	-0.009993956609353764	-2.6731671401112236e-05	-0.00032732416034625996	2.0074433250209172e-29	-0.00019640242845446254	-820.1487472082197	-0.0073646944547070175	866.2090063262209	0.0	-162.1357685156255	-5.433588993994623e-06	-9.518696047873793e-07	-1.2175998694571892e-05	529.7711546346262
3	-0.013565935308594235	-0.10218624208572068	-8.844455077816065e-06	1000.0	1000.0	1000.0	-0.006694622200044333	-4.951468226021252	-0.013919317125605377	-0.1703104034762012	0.013134024198917101	-0.10218624208572072	-609.3709505565906	-3.832092055991947	945.0956772359579	0.0	-302.2695681061854	-0.0025325696885798213	-0.000490808079182136	-0.006341240383033198	926.6076023483758
4	-0.0029712008432345237	-0.022380753095565403	-8.844455077816065e-06	1000.0	1000.0	1000.0	-0.0014662510673559663	-1.084466808498066	-0.0030485982602797067	-0.03730125515927568	0.0028766040001793327	-0.02238075309556541	-541.2132007107261	-0.8393018902944666	918.7412163896571	0.0	-524.999505131715	-0.0005546814888238112	-0.00010749641256275413	-0.0013888536503107833	504.9193564118666
5	-2.609709166458731e-05	-0.0001964024284544625	-8.844455077816065e-06	1000.0	1000.0	1000.0	-1.2850239664629617e-05	-0.009993956609353764	-2.6731671401112236e-05	-0.00032732416034625996	99.78720978278842	-0.00019640242845446254	-526.9362330510518	-0.0073646944547070175	944.4289428598076	0.0	-590.8417436980038	-5.433588993994623e-06	-9.518696047873793e-07	-1.2175998694571892e-05	493.72635126801094
6	-2.609709166458731e-05	-0.0001964024284544625	-8.844455077816065e-06	1000.0	1000.0	1000.0	-1.2850239664629617e-05	-0.009993956609353764	-2.6731671401112236e-05	-0.00032732416034625996	0.0	-0.00019640242845446254	-841.1219968871434	-0.0073646944547070175	676.0075067776576	0.0	-266.639901666673	-5.433588993994623e-06	-9.518696047873793e-07	-1.2175998694571892e-05	287.5757995713158
7	-2.609709166458731e-05	-0.0001964024284544625	-8.844455077816065e-06	1000.0	1000.0	1000.0	-1.2850239664629617e-05	-0.009993956609353764	-2.6731671401112236e-05	-0.00032732416034625996	0.0	-0.00019640242845446254	-565.3571549243828	-0.0073646944547070175	822.8986758062172	0.0	-641.0299958917277	-5.433588993994623e-06	-9.518696047873793e-07	-1.2175998694571892e-05	517.6744409741367
8	-2.609709166458731e-05	-0.0001964024284544625	-8.844455077816065e-06	768.0846388163811	1000.0	1000.0	-1.2850239664629617e-05	-0.009993956609353764	-2.6731671401112236e-05	-0.00032732416034625996	0.0	-0.00019640242845446254	-633.5423194081887	-0.0073646944547070175	1000.0	0.0	-364.3061357702494	-5.433588993994623e-06	-9.518696047873793e-07	-1.2175998694571892e-05	1000.0
9	-2.609709166458731e-05	-0.0001964024284544625	-8.844455077816065e-06	862.948750346177	1000.0	1000.0	-1.2850239664629617e-05	-0.009993956609353764	-2.6731671401112236e-05	-0.00032732416034625996	0.0	-0.00019640242845446254	-739.0002589031355	-0.0073646944547070175	1000.0	0.0	-417.20031062908623	-5.433588993994623e-06	-9.518696047873793e-07	-1.2175998694571892e-05	1000.0
10	-2.609709166458731e-05	-0.0001964024284544625	-8.844455077816065e-06	867.3606003324901	1000.0	1000.0	-1.2850239664629617e-05	-0.009993956609353764	-2.6731671401112236e-05	-0.00032732416034625996	0.0	-0.00019640242845446254	-723.2499293347827	-0.0073646944547070175	1000.0	0.0	-448.08827715099363	-5.433588993994623e-06	-9.518696047873793e-07	-1.2175998694571892e-05	1000.0
11	-2.609709166458731e-05	-0.0001964024284544625	-8.844455077816065e-06	809.3730963043257	1000.0	1000.0	-1.2850239664629617e-05	-0.009993956609353764	-2.6731671401112236e-05	-0.00032732416034625996	0.0	-0.00019640242845446254	-566.0839111875248	-0.0073646944547070175	1000.0	0.0	-168.32653652533548	-5.433588993994623e-06	-9.518696047873793e-07	-1.2175998694571892e-05	1000.0
