	EX_dgsn_e	EX_hdcea_e	EX_fe2_e	EX_lipoate_e	EX_lys__L_e	EX_nh4_e	EX_skm_e	EX_xtsn_e	EX_pyr_e	EX_val__L_e	EX_mn2_e	EX_inost_e	EX_mobd_e	EX_arg__L_e	EX_for_e	EX_h2o_e	EX_ca2_e	EX_ade_e	EX_gam_e	EX_mg2_e	EX_ni2_e	EX_pro__L_e	EX_met__L_e	EX_zn2_e	EX_feenter_e	EX_pnto__R_e	EX_cobalt2_e	EX_thm_e	EX_ile__L_e	EX_ptrc_e	EX_leu__L_e	EX_gly_e	EX_cu_e	EX_his__L_e	EX_asn__L_e	EX_ser__L_e	EX_tyr__L_e	EX_nmn_e	EX_adocbl_e	EX_mmet_e	EX_h_e	EX_no3_e	EX_succ_e	EX_phe__L_e	EX_akg_e	EX_ac_e	EX_cgly_e	EX_spmd_e	EX_amp_e	EX_thr__L_e	EX_thymd_e	EX_ump_e	EX_so4_e	EX_cit_e	EX_btn_e	EX_trp__L_e	EX_cytd_e	EX_gthrd_e	EX_glyc_e	EX_asp__L_e	EX_minohp_e	EX_pydx_e	EX_colipa_e	EX_ocdcea_e	EX_LalaDgluMdap_e	EX_o2_e	EX_xan_e	EX_ala__L_e	EX_cl_e	EX_k_e	EX_co2_e	EX_thym_e	EX_hdca_e
0	-18.22770460692834	-7.269938087617788	-1.179242087727289	-0.00023116350394047913	-25.693669345825356	218.9550503254601	-0.13746523029931268	-38.38112612918235	602.4197472731214	66.11064201026932	-0.05070186184821068	7.098556034332091	-0.010556466676575837	-22.1470047604937	0.17183153787436822	367.9145622249947	-0.3815738903832653	0.10309892272471188	-4.2498639640953115	-0.635930799138464	-0.023655731895814824	-16.551152767881604	-11.421095235561666	-0.024965658417727354	-0.017183153787527772	-0.044383392742474825	-0.0018493080309553989	-0.017183153787527772	-21.75294804090163	-2.5636032578860295	-33.73276546531008	-38.799253034066396	-0.051934733868847616	-7.093329170662969	-18.04862994593259	-23.622675514680054	-10.324763791221244	-0.1756072084386915	-0.017183153787527772	-0.10309892272471188	219.4883393160727	-568.3359055470545	444.77205361269273	-13.871428376553013	-39.93056722199174	999.9999999999997	-7.019510958428327	-0.5196555566932375	-15.366131592551369	-18.99439689475423	-983.6306958551598	-10.795412685094675	-0.3179268723185942	-444.77205361269284	-0.00015410900243750802	-4.256028324198269	-11.975656481338774	-0.017183153787527772	0.4942275712676292	-17.97989733078282	-7.098556034331978	-0.017183153787414085	-0.6280712400068751	-3.746852179679763	-2.1249319820477695	-83.85236842864106	38.38112612918246	150.9289531384095	-0.3815738903831516	-14.308250344360545	1000.0	981.7193589506853	-9.346865115361538
1	-16.20600542960119	-6.463603545342494	-1.0484481775757786	-0.00020552434227738559	-22.84389361711237	260.6713241632973	-0.12221847548289588	-248.36004050896213	666.7785385225075	112.20357153342684	-0.04507833905154257	6.311230081653775	-0.009385611626271384	-19.69060214315391	0.15277309435384723	459.11056259555846	-0.3392521808256106	0.09166385661239929	-3.778496522870796	-0.5653974653380374	-0.02103199101645714	-14.71540588388143	-10.154341174102115	-0.02219662895561214	-0.015277309435418829	-0.03946067369895445	-0.0016441947374232768	-0.015277309435646202	-19.340251647850664	-2.279264954779478	-29.991345157002456	-34.495890672682094	-0.04617446887652932	-6.306582947916354	-16.04679257252519	-21.00260103551898	-9.179607727254961	-0.15612999194365784	-0.015277309435418829	-0.09166385661239929	43.93166790088583	-490.5377186111751	480.26675397649626	-12.332899201213309	-145.91093865458822	632.3547651533501	-6.240952174647305	-0.46201872122128407	-13.66181959774417	-16.887661164499036	-619.5556682359585	-9.598055287934017	-0.2826644786118777	-369.85754212522045	-0.0001370162281091325	-3.783977171995616	-10.647394070992618	-0.015277309435418829	0.43941104358134453	-15.98568333478363	-6.311230081651956	-0.015277309435418829	-0.5584096377037895	-3.3312755542856394	-1.8892482614354549	-70.04190885889852	248.3600405089594	0.0	-0.3392521808254969	-12.721271699819908	1000.0	617.8563244666975	-8.31017125171752
2	-16.20600542960119	-6.463603545342494	-1.0484481775757786	-0.00020552434227738559	-22.84389361711237	185.1245021825266	-0.12221847548289588	-49.38171049028699	663.258299709858	19.96995542083789	-0.04507833905154257	6.311230081654571	-0.009385611626271384	-19.69060214315391	0.15277309435384723	308.01691863398287	-0.3392521808256106	0.09166385661239929	-3.778496522870796	-0.5653974653380374	-0.02103199101645714	-14.71540588388143	-10.154341174102115	-0.02219662895561214	-0.015277309435418829	-0.03946067369895445	-0.0016441947374232768	-0.015277309435646202	-19.340251647850664	-2.279264954779478	-29.991345157002456	-34.495890672682094	-0.04617446887652932	-6.306582947916354	-16.04679257252519	-21.00260103551898	-9.179607727254961	-0.15612999194365784	-0.015277309435418829	-0.09166385661239929	519.789840409125	-420.08032994143366	280.95872950635385	-12.332899201213309	-35.50172680331252	876.8301532048785	-6.240952174647305	-0.46201872122128407	-13.661819597753947	-16.887661164499036	-862.2764264701775	-9.598055287934017	-0.2826644786118777	-280.95872950635373	-0.0001370162281091325	-3.783977171995616	-10.647394070992618	-0.015277309435418829	0.43941104358134453	-15.98568333478363	-6.311230081654571	-0.015277309435418829	-0.5584096377037895	-3.3312755542856394	-1.8892482614354549	-188.20815718197093	49.38171049028335	97.3230494236185	-0.3392521808254969	-12.721271699819908	621.3141766157094	860.5770827009164	-8.31017125171752
3	-16.20600542960119	-6.463603545342494	-1.0484481775757786	-0.00020552434227738559	-22.84389361711237	199.40789005125578	-0.12221847548289588	-48.260255784997184	596.8335994487823	63.56775549721442	-0.04507833905154257	6.31123008165639	-0.009385611626271384	-19.69060214315391	0.15277309435384723	336.58369437143574	-0.3392521808256106	0.09166385661239929	-3.778496522870796	-0.5653974653380374	-0.02103199101645714	-14.71540588388143	-10.154341174102115	-0.02219662895561214	-0.015277309435418829	-0.03946067369895445	-0.0016441947374232768	-0.015277309435646202	-19.340251647850664	-2.279264954779478	-29.991345157002456	-34.495890672682094	-0.04617446887652932	-6.306582947916354	-16.04679257252519	-21.00260103551898	-9.179607727254961	-0.15612999194456734	-0.015277309435418829	-0.09166385661239929	236.29654374739425	-558.3099293877447	448.5027411603121	-12.332899201213309	-35.50172680331252	979.8185557732503	-6.240952174647305	-0.46201872122128407	-13.661819597757017	-16.887661164499036	-965.2648290385483	-9.598055287934017	-0.2826644786118777	-448.5027411603121	-0.0001370162281091325	-3.783977171995616	-10.647394070992618	-0.015277309435418829	0.43941104358134453	-15.98568333478363	-6.3112300816562765	-0.015277309435418829	-0.5584096377037895	-3.3312755542856394	-1.8892482614354549	-97.57482109694752	48.26025578499582	177.67146092482403	-0.3392521808254969	-12.721271699819908	1000.0	963.5654852692874	-8.31017125171752
4	-16.20600542960119	-6.463603545342494	-1.0484481775757786	-0.00020552434227738559	-22.84389361711237	144.77793669269784	-0.12221847548289588	-107.814632605969	572.1870468403524	0.0	-0.04507833905154257	6.311230081656959	-0.009385611626271384	-19.69060214315391	0.15277309435384723	227.3237876543202	-0.3392521808256106	0.09166385661239929	-3.778496522870796	-0.5653974653380374	-0.02103199101645714	-14.71540588388143	-10.154341174102115	-0.02219662895561214	-0.015277309435418829	-0.03946067369895445	-0.0016441947374232768	-0.015277309435646202	-19.340251647850664	-2.279264954779478	-29.991345157002456	-34.495890672682094	-0.04617446887652932	-6.306582947916354	-16.04679257252519	-21.00260103551898	-9.179607727254961	-0.15612999194365784	-0.015277309435418829	-0.09166385661239929	248.8167648995102	-591.8942841348344	627.4489665082085	-12.332899201213309	-329.82642200188036	880.5612610716272	-6.240952174647305	-0.46201872122128407	-13.661819597756335	-16.887661164499036	-866.0075343369264	-9.598055287934017	-0.2826644786118777	-333.12427130963874	-0.0001370162281091325	-3.783977171995616	-10.647394070992618	-0.015277309435418829	0.43941104358134453	-15.98568333478363	-6.311230081656959	-0.015277309435418829	-0.5584096377037895	-3.3312755542856394	-1.8892482614354549	-0.23806569635860342	107.81463260596786	329.4535245276876	-0.3392521808254969	-12.721271699819908	1000.0	864.3081905676653	-8.31017125171752
5	-16.20600542960119	-6.463603545342494	-1.0484481775757786	-0.00020552434227738559	-22.84389361711237	243.7815191042289	-0.12221847548289588	-392.0156974690924	829.36154926958	0.0	-0.04507833905154257	6.31123008165639	-0.009385611626271384	-19.69060214315391	0.15277309435384723	425.3309524773895	-0.3392521808256106	0.09166385661239929	-3.778496522870796	-0.5653974653380374	-0.02103199101645714	-14.71540588388143	-10.154341174102115	-0.02219662895561214	-0.015277309435418829	-0.03946067369895445	-0.0016441947374232768	-0.015277309435646202	-19.340251647850664	-2.279264954779478	-29.991345157002456	-34.495890672682094	-0.04617446887652932	-6.306582947916354	-16.04679257252519	-21.00260103551898	-9.179607727254961	-0.15612999194365784	-0.015277309435418829	-0.09166385661239929	241.12129526641957	-433.72336411713445	777.0800982782532	-12.332899201213309	-629.0886855419715	406.8928196330894	-6.240952174647305	-0.46201872122128407	-13.661819597753038	-16.887661164499036	-392.3390928983889	-9.598055287934017	-0.2826644786118777	-183.49313953959233	-0.0001370162281091325	-3.783977171995616	-10.647394070992618	-0.015277309435418829	0.43941104358134453	-15.98568333478363	-6.31123008165639	-0.015277309435418829	-0.5584096377037895	-3.3312755542856394	-1.8892482614354549	-208.33293622710198	392.0156974690906	72.2790220984532	-0.3392521808254969	-12.721271699819908	1000.0	390.63974912912795	-8.31017125171752
6	-17.5333787448277	-6.993013146219255	-1.134322647959948	-0.00022235807261949958	-24.714951536656372	203.14069727644187	-0.13222893387091972	-53.42638177278161	587.3588649618737	28.267292561434374	-0.048770537268524095	6.828159341798596	-0.010154351984510868	-21.303385747300467	0.16528616733842227	338.9521113471709	-0.3670390585923542	0.09917170040318979	-4.087979046366286	-0.611707057868216	-0.022754642768063604	-15.920689763233668	-10.986045295562576	-0.024014671846543933	-0.016528616733921808	-0.04269274994965144	-0.0017788645811833703	-0.016528616733921808	-20.924339352784614	-2.4659510257207558	-32.447824109949124	-37.32132010764042	-0.049956446989426695	-6.82313157871215	-17.361125357878905	-22.722845563758938	-9.931475076327274	-0.16891801585848043	-0.016528616733921808	-0.09917170040318979	137.5568153269744	-610.2973478771518	465.4874957783928	-13.34304086568352	-38.409540515202025	974.2450426978701	-6.75212523417872	-0.49986094732366837	-14.780808163451184	-18.270866352459734	-960.3976196040526	-10.384196112248787	-0.30581646925531913	-465.48749577839294	-0.00014823871504177077	-4.09390859497023	-11.519482311857018	-0.016528616733921808	0.47540155933165806	-17.29501089094356	-6.828159341798482	-0.016528616733921808	-0.6041468833979025	-3.604127880272813	-2.0439895231831997	-0.25756476748699697	53.42638177278104	251.58921320676734	-0.3670390585923542	-13.763223503639892	1000.0	958.5590889400006	-8.990826309647332
7	-16.20600542960119	-6.463603545342494	-1.0484481775757786	-0.00020552434227738559	-22.84389361711237	263.14354778706115	-0.12221847548289588	-180.23033079687957	534.4720241976872	394.74475239835647	-0.04507833905154257	6.311230081690724	-0.009385611626271384	-19.69060214315391	0.15277309435384723	464.0550098430524	-0.3392521808256106	0.0916638566122856	-3.778496522870796	-0.5653974653380374	-0.02103199101645714	-14.71540588388143	-10.154341174102115	-0.02219662895561214	-0.015277309435418829	-0.03946067369895445	-0.0016441947374232768	-0.015277309435646202	-19.340251647850664	-2.279264954779478	-29.991345157002456	-34.495890672682094	-0.04617446887652932	-6.306582947916354	-16.04679257252519	-21.00260103551898	-9.179607727254961	-0.15612999194365784	-0.015277309435418829	-0.0916638566122856	260.9174481055719	-353.2301654735386	282.9142427098383	-12.332899201213309	-35.50172680331525	759.8684307534986	-6.240952174647305	-0.46201872122128407	-13.661819597792828	-16.887661164499036	-745.3147040187989	-9.598055287934017	-0.2826644786118777	-282.9142427098384	-0.0001370162281091325	-3.783977171995616	-10.64739407099296	-0.015277309435418829	0.43941104358134453	-15.98568333478363	-6.311230081690724	-0.015277309435418829	-0.5584096377037895	-3.3312755542856394	-1.8892482614354549	-200.99000033947868	180.23033079688355	-422.3209576264113	-0.3392521808254969	-12.721271699819908	1000.0	743.6153602495381	-8.31017125171752
8	-17.809966855996322	-7.1033275542771435	-1.1522165270133655	-0.00022586575937566522	-25.104828574199132	227.32460081977808	-0.1343148382243271	-54.26918008542623	558.5727590246488	213.86507080798265	-0.049539889883362775	6.935873189929453	-0.01031453634357149	-21.639445517131207	0.16789354778074994	386.2578025952515	-0.3728290800947889	0.1007361286684727	-4.15246669700025	-0.6213567039625332	-0.02311359603982055	-16.171837792041856	-11.159349572036263	-0.024393502009388612	-0.01678935477809773	-0.04336622579489813	-0.001806926074777948	-0.01678935477821142	-21.254419686031497	-2.504851271153484	-32.959686798408484	-37.91006193459339	-0.05074450726647228	-6.930766114135963	-17.634996181089036	-23.081297236213118	-10.088143564041957	-0.17158268853540903	-0.01678935477809773	-0.10073612866858639	309.9118012654375	-476.9762456924633	371.84076576332643	-13.553526621109995	-39.0154489608384	974.8914906223639	-6.858639648318558	-0.5077462270110118	-15.01397462107957	-18.559088291162425	-959.7728941731768	-10.548006250071467	-0.31064070768798047	-371.84076576332654	-0.00015057717291711015	-4.158489783916366	-11.70120152870902	-0.01678935477821142	0.48290099348287185	-17.567838761976645	-6.935873189929453	-0.01678935477809773	-0.6136772681445564	-3.660982804661444	-2.076233348500409	-159.30830531778986	54.26918008542805	-93.5217237384137	-0.3728290800945615	-13.98033761768852	1000.0	957.9053607863127	-9.132656113418761
9	-16.20600542960119	-6.463603545342494	-1.0484481775757786	-0.00020552434227738559	-22.84389361711237	187.19124257530575	-0.12221847548289588	-32.11170554121986	506.8181917722479	46.07071577324973	-0.04507833905154257	6.311230081653775	-0.009385611626271384	-19.69060214315391	0.15277309435384723	312.1503994194944	-0.3392521808256106	0.0916638566122856	-3.778496522870796	-0.5653974653380374	-0.02103199101645714	-14.71540588388143	-10.154341174102115	-0.02219662895561214	-0.015277309435418829	-0.03946067369895445	-0.0016441947374232768	-0.015277309435646202	-19.340251647850664	-2.279264954779478	-29.991345157002456	-34.495890672682094	-0.04617446887652932	-6.306582947916354	-16.04679257252519	-21.00260103551898	-9.179607727254961	-0.15612999199549904	-0.015277309435418829	-0.0916638566122856	232.02175821284334	-430.07199999372665	607.9053050680366	-12.332899201213309	-336.8098148949143	783.1990768612276	-6.240952174647305	-0.46201872122128407	-13.66181959774417	-16.887661164499036	-768.6453501265262	-9.598055287934017	-0.2826644786118777	-306.5972169764375	-0.0001370162281091325	-3.783977171995616	-10.64739407099296	-0.015277309435418829	0.43941104358134453	-15.98568333478363	-6.311230081651956	-0.015277309435418829	-0.5584096377037895	-3.3312755542856394	-1.8892482614354549	-219.48175645256947	32.111705541219294	79.1472187309904	-0.3392521808254969	-12.721271699819908	1000.0	766.9460063572652	-8.31017125171752
