	EX_dgsn_e	EX_hdcea_e	EX_fe2_e	EX_lipoate_e	EX_lys__L_e	EX_nh4_e	EX_skm_e	EX_xtsn_e	EX_pyr_e	EX_val__L_e	EX_mn2_e	EX_inost_e	EX_mobd_e	EX_arg__L_e	EX_for_e	EX_h2o_e	EX_ca2_e	EX_ade_e	EX_gam_e	EX_mg2_e	EX_ni2_e	EX_pro__L_e	EX_met__L_e	EX_zn2_e	EX_feenter_e	EX_pnto__R_e	EX_cobalt2_e	EX_thm_e	EX_ile__L_e	EX_ptrc_e	EX_leu__L_e	EX_gly_e	EX_cu_e	EX_his__L_e	EX_asn__L_e	EX_ser__L_e	EX_tyr__L_e	EX_nmn_e	EX_adocbl_e	EX_mmet_e	EX_h_e	EX_no3_e	EX_succ_e	EX_phe__L_e	EX_akg_e	EX_ac_e	EX_cgly_e	EX_spmd_e	EX_amp_e	EX_thr__L_e	EX_thymd_e	EX_ump_e	EX_so4_e	EX_cit_e	EX_btn_e	EX_trp__L_e	EX_cytd_e	EX_gthrd_e	EX_glyc_e	EX_asp__L_e	EX_minohp_e	EX_pydx_e	EX_colipa_e	EX_ocdcea_e	EX_LalaDgluMdap_e	EX_o2_e	EX_xan_e	EX_ala__L_e	EX_cl_e	EX_k_e	EX_co2_e	EX_thym_e	EX_hdca_e
0	0.0	0.0	249.3009986142355	0.0	0.0	-150.255400224652	0.0	0.0	0.0	0.0	-0.006515343049242201	0.0	-0.0013565379904957168	0.0	187.153901149851	834.7203323636263	-0.049033402400983854	0.0	0.0	-0.08171903675592081	-0.0030398333071692337	0.0	0.0	-0.0032081628388365858	0.0	0.0	-0.0002376416917656731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0022080873859893786	0.0	1000.0	0.0	459.92334531922523	0.0	0.0	1000.0	0.0	4.393949019917368	0.0	0.0	0.0	0.0	-8.114490797530955	0.0	0.0	0.0	0.0	1.2254723436056791	0.0635097421243761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.04903340240098386	-1.838653572665326	1000.0	0.0	0.0
1	0.0	0.0	294.9039484571072	0.0	0.0	-100.07093234758415	0.0	0.0	0.0	0.0	-0.00017819044757247246	0.0	-3.710044273165461e-05	0.0	100.67789207012595	629.7525168026406	-0.0013410320613660848	0.0	0.0	-0.0022349631668930328	-8.313748845706542e-05	0.0	0.0	-8.774119302960653e-05	0.0	0.0	-6.499347631822707e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.038977174568598e-05	0.0	1000.0	0.0	588.8506082723557	0.0	0.0	1000.0	0.0	0.08665580196236827	0.0	0.0	0.0	0.0	-0.15489434839118243	0.0	0.0	0.0	0.0	0.0	0.001736950654604618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.001341032061366085	-0.050285994239714915	1000.0	0.0	0.0
2	0.0	0.0	254.9412383774375	0.0	0.0	-150.98686771551758	0.0	0.0	0.0	0.0	-0.006769641417173842	0.0	-0.0012640570071410723	0.0	172.30741971301828	826.1038164262237	-0.05099265909203722	0.0	0.0	-0.08498775903351398	-0.003164380447132246	0.0	0.0	-0.0033407216405094333	0.0	0.0	-0.0002449254639966376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.40297465396614e-06	0.0	1000.0	0.0	474.6014234615202	0.0	0.0	1000.0	0.0	3.297384019076166	0.0	0.0	0.0	0.0	-5.768471121854919	0.0	0.0	0.0	0.0	0.0	0.00011775875826454433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.05099265909203724	-1.9122783190181114	1000.0	0.0	0.0
3	0.0	0.0	127.63212125019429	0.0	0.0	-75.4629981847133	0.0	0.0	0.0	0.0	-0.003314754823107061	0.0	-0.0006901541197046616	0.0	86.7538540939287	414.4132565854991	-0.024946300735602073	0.0	0.0	-0.04157548868556622	-0.0015465497426958475	0.0	0.0	-0.0016321893049949662	0.0	0.0	-0.00012090291148110864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0011233895525119676	0.0	1000.0	0.0	237.4564577059889	0.0	0.0	1000.0	0.0	1.6119985187647492	0.0	0.0	0.0	0.0	-2.881393449753711	0.0	0.0	0.0	0.0	0.0	0.03231130309332628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.02494630073560208	-0.9354359013719608	1000.0	0.0	0.0
4	0.0	0.0	132.9092983456892	0.0	0.0	-29.12606959497285	0.0	0.0	0.0	7.888920360008211e-13	-1.2991736871344033e-05	0.0	-2.7049664914500494e-06	4.626768567051465e-13	94.57330290930037	820.7250427837247	-9.777367931139155e-05	0.0	0.0	-0.00016294955075866615	-6.06149425456325e-06	3.1953575727943424e-13	0.0	-6.39714703087457e-06	0.0	0.0	-4.73862743027746e-07	0.0	3.112575156334915e-13	2.7649444018136632e-14	5.140205111606963e-13	0.0	0.0	0.0	0.0	0.0	1.749628512823044e-13	0.0	-4.40297465396614e-06	0.0	1000.0	0.0	265.8185966913865	0.0	216.77638334283554	546.5310895607532	0.0	0.0	0.0	2.9181904967992353e-13	0.0	0.0	-0.0049750257062054284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-9.777367931139158e-05	-0.0036663155313675895	1000.0	0.0	0.0
5	0.0	0.0	239.39122598176561	0.0	0.0	-399.9483678628563	0.0	0.0	0.0	0.0	-1.2991736871344033e-05	0.0	-2.7049664914500494e-06	0.0	0.0	999.9996015998986	-9.777367931139155e-05	0.0	0.0	-0.00016294955075866615	-6.06149425456325e-06	0.0	0.0	-6.39714703087457e-06	0.0	0.0	-4.73862743027746e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.40297465396614e-06	0.0	1000.0	0.0	487.58418461466437	0.0	291.15954324600494	557.2862516226957	0.0	0.0	0.0	0.0	0.0	0.0	-0.0049750257062054284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-9.777367931139158e-05	-0.0036663155313675895	1000.0	0.0	0.0
6	0.0	0.0	260.9397003290215	0.0	0.0	-667.9045931972184	0.0	0.0	0.0	0.0	-1.2991736871344033e-05	0.0	-2.7049664914500494e-06	1.4989620489776546e-14	0.0	999.9996015998986	-9.777367931139155e-05	0.0	0.0	-0.00016294955075866615	-6.06149425456325e-06	0.0	0.0	-6.39714703087457e-06	0.0	0.0	-4.73862743027746e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.40297465396614e-06	0.0	1000.0	0.0	648.6354712309029	0.0	0.0	508.5310600832282	0.0	0.0	0.0	0.0	0.0	0.0	-0.0049750257062054284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-9.777367931139158e-05	-0.0036663155313675895	1000.0	0.0	0.0
7	0.0	0.0	106.98434994844935	0.0	0.0	-513.5107648620021	0.0	0.0	0.0	0.0	-1.2991736871344033e-05	0.0	-2.7049664914500494e-06	0.0	0.0	868.4284484697787	-9.777367931139155e-05	0.0	0.0	-0.00016294955075866615	-6.06149425456325e-06	0.0	0.0	-6.39714703087457e-06	0.0	0.0	-4.73862743027746e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3143782357597442e-15	0.0	-4.40297465396614e-06	0.0	1000.0	0.0	318.06127325106064	0.0	0.0	426.9290668679475	0.0	0.0	0.0	0.0	0.0	0.0	-0.0049750257062054284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.574734657865896	0.0	0.0	0.0	-9.777367931139158e-05	-0.0036663155313675895	1000.0	0.0	0.0
8	0.0	0.0	123.91661176408678	0.0	0.0	-458.7196663112162	0.0	0.0	0.0	0.0	-1.2991736871344033e-05	0.0	-2.7049664914500494e-06	0.0	0.0	798.2323120955916	-9.777367931139155e-05	0.0	0.0	-0.00016294955075866615	-6.06149425456325e-06	0.0	0.0	-6.39714703087457e-06	0.0	0.0	-4.73862743027746e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3299722568117157e-15	0.0	-4.40297465396614e-06	0.0	1000.0	0.0	344.54479205183424	0.0	0.0	498.3437977051884	0.0	0.0	0.0	0.0	0.0	0.0	-0.0049750257062054284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-9.777367931139158e-05	-0.0036663155313675895	1000.0	0.0	0.0
9	0.0	0.0	185.8175438596519	0.0	0.0	-354.4070175438614	0.0	0.0	0.0	0.0	-1.2991736871344033e-05	0.0	-2.7049664914500494e-06	0.0	2.2966938614586573e-16	829.4877192982575	-9.777367931139155e-05	0.0	0.0	-0.00016294955075866615	-6.06149425456325e-06	0.0	0.0	-6.39714703087457e-06	0.0	0.0	-4.73862743027746e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.40297465396614e-06	0.0	1000.0	0.0	561.2982456140395	0.0	0.0	666.6666666666741	0.0	0.0	0.0	0.0	0.0	0.0	-0.0049750257062054284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-9.777367931139158e-05	-0.0036663155313675895	1000.0	0.0	0.0
